sha256	path	role
d51c637251f9cc0a6bb27bc71d3bf6aa61462a85cc551fada8f866749587a843	udt_g165_conformal_fiber_rank_audit_2026-08-18/SOURCE_FREEZE_CURRENT_SCIENTIFIC_PREMISES.tsv	preregistration-time exact premise authority
d8dd1dbb1ad9c9225f42d0eb2bb8e5337084cf1051d830a6f019007bb45bab40	udt_g129_copresent_relational_network_faithfulness_2026-08-16/AUDIT_REPORT.md	rank-complete reconstruction
9aa11fffc1f789500fbd7e91fd42a3b10ce35eef06dcf39be7fa711c25293c92	udt_g145_copresent_relation_history_descent_equivalence_2026-08-17/AUDIT_REPORT.md	relation-network equivalence and counterfamily
e9dd2cad59ebd8982dd3d2af4f65d94589f3b6d9491429bc4443871057c0a79f	udt_g154_shared_xmax_asymptotic_response_classification_2026-08-18/udt_g154_common_scale_checks.py	prior exact conformal algebra
921bd14a2c94888f6740d49138aa247dec033c2e7e02edc46bfdb8516457895d	udt_g154_shared_xmax_asymptotic_response_classification_2026-08-18/udt_g154_common_scale_checks_output.txt	prior conformal check output
2c4d58048842b0bac290490294ecab05e8003ced46f4b743708f0e7144e87fb1	udt_g155_scale_sector_closure_whiteboard_2026-08-18/AUDIT_REPORT.md	41-source rank-zero adjudication
02cf55ad80b219c5caa5c00e1406290fdace3b5efb1239669f3676c29f6db65e	udt_g155_scale_sector_closure_whiteboard_2026-08-18/EQUATION_ROLE_LEDGER.tsv	complete through-G154 role ledger
ab0368a0981d843826bdd3290de61db6a37c31d5843a9b288740fef6bf22c812	udt_g155_scale_sector_closure_whiteboard_2026-08-18/SOURCE_MANIFEST.tsv	G155 frozen-source provenance
14498cb47337face0529524c83e0241a3124a50ff072aa760e2e2133513be843	udt_g156_three_observer_scale_carry_audit_2026-08-18/AUDIT_REPORT.md	half-density and scale carry
e45bfa382664cfbaf94451d9fcdb48c10df6cbae71306f3c28525ab77c9bd452	udt_g156_three_observer_scale_carry_audit_2026-08-18/CLAIM_LEDGER.tsv	G156 claim boundary
e31bdb39d09883fb191ecc0ca1ef720dfa0014c3eea8f81724188baec99f760f	udt_g157_regime_dependent_channel_balance_regrading_2026-08-18/AUDIT_REPORT.md	base balance regrading
fe6d457770371b5811e46b153745d5060d3d1b20283669ef19775bb8818a74de	udt_g158_complete_coframe_semidirect_score_audit_2026-08-18/AUDIT_REPORT.md	complete score
ab6390013e02d7a1c3b4e895894201eac5008f829d38198c7c446f583e0917ba	udt_g159_complete_score_terminal_descent_2026-08-18/AUDIT_REPORT.md	terminal descent
da7a358c5669e02b8004e496d25a2ac2f2a4cd8c2ccd52da27ceb5baafdb6aa7	udt_g160_three_observer_timelive_first_jet_carry_2026-08-18/AUDIT_REPORT.md	first-jet carry
1a340f4688026745f8ea894624bf2f72b0397e6affb3979968409eda3446c6b7	udt_g161_pair_carry_lorentz_quotient_screen_resolution_2026-08-18/AUDIT_REPORT.md	Lorentz quotient
c3ed481728eeeec6fa35cbb7791cb3a4ce078cd5433458e51ef883c7ee128637	udt_g162_lambda_dependence_frontier_census_2026-08-18/AUDIT_REPORT.md	rapidity census
e7eda779c8496f269a0e94060a5824dd79b2b147af8186277236982ec2708670	udt_g163_xmax_dependency_reversal_audit_2026-08-18/AUDIT_REPORT.md	Xmax dependency reversal
5425a8d0bf76cb0489ec103334aba211891c5fb550bc4a6a672fc5c8c7187bee	udt_g164_scaffold_subtraction_anchor_sufficiency_whiteboard_2026-08-18/AUDIT_REPORT.md	scaffold-subtraction lead
dadfb9976ae572b1c5ae8a15595f2c347eb45e949d00d4beedc4c70b255e1575	udt_g164_scaffold_subtraction_anchor_sufficiency_whiteboard_2026-08-18/NEXT_TEST.md	controlling test proposal
