candidate_id	source_scope	candidate_statement	pre_outcome_test
C01	G155 frozen 41-source ledger	Any active physical-history condition through G154	Recheck every row under the G165 ownership filter.
C02	G156 pair half-density	The metric supplies a positive half-density section	Exclude if evaluator only.
C03	G156 supplied scale character	A typed carry has one-half log absolute determinant character	Exclude unless the physical cross-query carry is source-owned.
C04	G156 flat carry subfamilies	Chart rechart genuine overlap and Levi-Civita carry are scale-flat	Exclude unless they propagate physical nonisometric relative scale.
C05	G157 base semidirect composition	Common reciprocal and shift coordinates compose exactly	Exclude if representation or supplied-history kinematics.
C06	G158 complete semidirect score	The gauge-fixed ten-channel coframe group and supplied score close	Exclude if representation or evaluator.
C07	G159 terminal first-jet descent	Complete score and live query motion descend to h and dot h	Exclude if evaluator of supplied first jets.
C08	G160 three-observer first-jet carry	Supplied GLplus2 carry and rates compose	Exclude unless physical carry values are selected.
C09	G161 Lorentz quotient	The regular metric-pair quotient has a positive section	Exclude if presentation quotient.
C10	G162 rapidity census	Residual rapidity is absent from the scalar gate	Exclude if input-independence classification.
C11	G163 Xmax dependency reversal	The native scalar kernel is X-free	Exclude if dependency classification rather than metric restriction.
C12	G164 scaffold whiteboard	A relative-scale or global-admissibility restriction may be sufficient	Exclude because it is a proposed open gate.
C13	G129 rank-complete faithfulness	Complete supplied pair pullbacks reconstruct g	Classify as valued-network reconstruction if the scale function is input.
C14	G145 relation-network equivalence	A compatible rank-complete valued atlas is equivalent to one g	Classify as valued-network reconstruction if values are input.
C15	observed c_E and G_obs	Calibration anchors restrict the absolute metric scale	Retain only if an owned typed bridge to g is present.
C16	normalized reciprocal and causal data	chi pair c_eff ratio and positive causal structure restrict common scale	Test exact conformal variation.
C17	unvalued co-presence incidence	Global observer incidence restricts common scale	Retain only if an invariant valued scale condition is source-owned.
C18	finite anchor neighborhoods	Finite observed calibration loci determine the whole conformal function	Test compactly supported f away from all anchors.
