condition_id	condition	owner_class	source_path	property_distinguishes_families	owned_selection_power	finding
C01	Lorentz regularity and nondegeneracy	KINEMATIC_ADMISSIBILITY	udt_cmb_G85_mixed_timelive_completion_atlas_2026-08-12/EXACT_DERIVATION.md	false	false	Regularity classifies all three constructive families but supplies no history owner.
C02	Exact G75 north-cell preservation	KINEMATIC_ADMISSIBILITY	udt_cmb_G85_mixed_timelive_completion_atlas_2026-08-12/PROFILE_ARCHETYPE_ATLAS.tsv	false	false	Every regular family preserves the authoritative cell exactly.
C03	Time orientation and local bidirectional causal admissibility	KINEMATIC_ADMISSIBILITY	udt_copresent_causal_pair_functor_selector_audit_2026-08-10/AUDIT_REPORT.md	false	false	Causal admissibility evaluates a supplied family and does not choose the ambient family.
C04	Observer reversal Reciprocity and matched carry	QUERY_CONDITIONAL	udt_founding_pair_relation_functor_ownership_audit_2026-08-09/AUDIT_REPORT.md	false	false	Reciprocity constrains covariance reversal and matched composition; not existence or uniqueness.
C05	Typed complete observer query	QUERY_CONDITIONAL	udt_common_query_pair_immersion_reconstruction_2026-08-11/AUDIT_REPORT.md	false	false	A query types and evaluates supplied realizations; the physical query and branch remain open.
C06	Co-presence as whole-solution membership	NECESSARY_NOT_SUFFICIENT	udt_copresent_causal_pair_functor_selector_audit_2026-08-10/AUDIT_REPORT.md	false	false	Co-presence contributes no local selector or signalling rule.
C07	Finite-domain and seam-type distinction	NECESSARY_NOT_SUFFICIENT	CURRENT_SCIENTIFIC_PREMISES.tsv	true	false	The distinction prevents conflating asymptote seam boundary and variational data; it selects none.
C08	Observer-pair X_max asymptote	NECESSARY_NOT_SUFFICIENT	udt_xmax_asymptotic_limit_frame_correction_2026-08-05/STATUS_AND_WORKFLOW.md	true	false	The limit is required, but its law value angular completion and identification with this seam are open.
C09	Observer re-centering and frame sharing	OPEN_UNOWNED	udt_cmb_G84_am_global_completion_pair_diameter_audit_2026-08-12/EXACT_DERIVATION.md	false	false	Only the zero-mixing central-geodesic isometry orbit is proved; none of the mixed families is adjudicated.
C10	Global topology and smooth complete-tensor candidate	CONDITIONAL_CANDIDATE	udt_cmb_G85_mixed_timelive_completion_atlas_2026-08-12/EXACT_DERIVATION.md	false	false	All three have conditional smooth witnesses on the declared arena; physical topology is not selected.
C11	Geodesic or global causal completeness	OPEN_UNOWNED	udt_cmb_G85_mixed_timelive_completion_atlas_2026-08-12/STATUS_LEDGER.tsv	false	false	G85 complete-metric regularity is not geodesic completeness and no family has this proof.
C12	Low-z SNe compatibility anchor	NECESSARY_NOT_SUFFICIENT	udt_sne_native_observer_query_replay_2026-08-11/AUDIT_REPORT.md	false	false	All families are identical on the inherited cell and no complete SNe query owns a correction.
C13	Cartan Maurer-Cartan and Bianchi compatibility	IDENTITY_ONLY	udt_complete_timelive_orchestra_compatibility_audit_2026-08-10/AUDIT_REPORT.md	false	false	These identities hold for every smooth full-rank coframe movie and select no history.
C14	Native history or global nonidentity restriction	OPEN_UNOWNED	udt_native_history_restriction_from_scratch_2026-08-10/AUDIT_REPORT.md	false	false	No owned nonidentity history restriction was found in the controlling source census.
