gate_id	requirement	failure_effect
F01	exactly_21_frozen_sources_with_matching_sha256	fail_closed
F02	exactly_three_unique_regular_G85_family_rows	fail_closed
F03	each_candidate_condition_has_exactly_one_owner_class	fail_closed
F04	selection_requires_OWNED_NONIDENTITY_SELECTOR	fail_closed
F05	identity_readout_necessary_gate_or_query_input_cannot_select	fail_closed
F06	physical_Xmax_cannot_be_identified_with_candidate_seam_by_name	fail_closed
F07	uniform_null_causal_type_cannot_be_used_as_unowned_merit_filter	fail_closed
F08	SNe_anchor_cannot_rank_families_identical_on_authoritative_cell	fail_closed
F09	complete_metric_regularity_cannot_be_called_geodesic_completeness	fail_closed
F10	generated_G86_records_cannot_influence_selection	fail_closed
F11	bootstrap_action_source_matter_fit_and_GPU_remain_inactive	fail_closed
F12	all_frozen_source_bytes_unchanged_after_audit	fail_closed
