premise_id	object	status	use	forbidden_promotion
P01	c_E	OBSERVED_CALIBRATION	clock_ruler_units_and_terminal_reference_only	path_history_or_completion_selector
P02	Reciprocity_and_order_reversal	DERIVED_ON_SUPPLIED_DEPTH_OR_QUERY	covariance_reversal_and_matched_composition_gate	existence_uniqueness_or_history_law
P03	complete_observer_query	QUERY_CONDITIONAL	types_a_supplied_pair_realization	physical_query_or_completion_selected
P04	copresence	WORKING_SEMANTIC_FRAME	whole_solution_membership_only	causal_access_signalling_or_selector
P05	G75_north_cell	INHERITED_CONTROL	exact_byte_and_geometry_preservation_gate	global_authority_beyond_x_le_1
P06	G84_doubled_S3	CONDITIONAL_CANDIDATE	common_bounded_global_arena	unique_or_physical_topology
P07	three_G85_regular_families	FREE_AND_EXPLORED	full_preregistered_candidate_set	one_family_ranked_by_desired_shape
P08	X_max	WORKING_FOUNDATIONAL_FRAME_OPEN_REALIZATION	necessary_observer_pair_asymptote_gate	candidate_seam_wall_horizon_or_value
P09	uniform_null_seam	DERIVED_PROPERTY_WITHIN_G85	classify_taper_family	physical_merit_or_Xmax_identity
P10	timelike_seam	DERIVED_PROPERTY_WITHIN_G85	classify_shift_and_lapse_families	physical_failure_or_success
P11	SNe_P1	COMPATIBILITY_ANCHOR_ONLY	check_preserved_authoritative_cell	physical_completion_selector
P12	global_or_native_history_law	OPEN_NOT_SUPPLIED	test_whether_any_existing_source_owns_one	invented_equation_or_post_hoc_filter
P13	geodesic_completeness	OPEN_NOT_PROVED	type_guard_only	complete_tensor_regular_called_geodesic_complete
P14	action_source_matter_bootstrap_CMB_fit	OPEN_INACTIVE	none	used_to_select_family
