condition_id	family_id	family_label	evaluation	owned_exclusion
C01	A03_RADIAL_SHIFT_TIMELIVE	SHIFT_SUPPORTED_NONUNIFORM_SEAM	PASS_CONDITIONAL_NONVANISHING_SHIFT	false
C01	A04_LAPSE_LIFT_TIMELIVE	LAPSE_LIFTED_TIMELIKE_SEAM	PASS_CONSTRUCTIVE_NEGATIVE_CLOCK_NORM	false
C01	A05_MIXING_TAPER_BEFORE_SEAM	TAPERED_UNIFORMLY_NULL_SEAM	PASS_CONDITIONAL_REGULAR_CHART_TAPER	false
C02	A03_RADIAL_SHIFT_TIMELIVE	SHIFT_SUPPORTED_NONUNIFORM_SEAM	PASS_EXACT_SAME_INHERITED_CELL	false
C02	A04_LAPSE_LIFT_TIMELIVE	LAPSE_LIFTED_TIMELIKE_SEAM	PASS_EXACT_SAME_INHERITED_CELL	false
C02	A05_MIXING_TAPER_BEFORE_SEAM	TAPERED_UNIFORMLY_NULL_SEAM	PASS_EXACT_SAME_INHERITED_CELL	false
C03	A03_RADIAL_SHIFT_TIMELIVE	SHIFT_SUPPORTED_NONUNIFORM_SEAM	ADMISSIBLE_ON_SUPPLIED_REGULAR_FAMILY__NO_FAMILY_TEST	false
C03	A04_LAPSE_LIFT_TIMELIVE	LAPSE_LIFTED_TIMELIKE_SEAM	ADMISSIBLE_ON_SUPPLIED_REGULAR_FAMILY__NO_FAMILY_TEST	false
C03	A05_MIXING_TAPER_BEFORE_SEAM	TAPERED_UNIFORMLY_NULL_SEAM	ADMISSIBLE_ON_SUPPLIED_REGULAR_FAMILY__NO_FAMILY_TEST	false
C04	A03_RADIAL_SHIFT_TIMELIVE	SHIFT_SUPPORTED_NONUNIFORM_SEAM	NOT_EVALUATED_DIFFERENTIALLY__QUERY_RULE_OPEN	false
C04	A04_LAPSE_LIFT_TIMELIVE	LAPSE_LIFTED_TIMELIKE_SEAM	NOT_EVALUATED_DIFFERENTIALLY__QUERY_RULE_OPEN	false
C04	A05_MIXING_TAPER_BEFORE_SEAM	TAPERED_UNIFORMLY_NULL_SEAM	NOT_EVALUATED_DIFFERENTIALLY__QUERY_RULE_OPEN	false
C05	A03_RADIAL_SHIFT_TIMELIVE	SHIFT_SUPPORTED_NONUNIFORM_SEAM	REALIZATION_CAN_BE_QUERY_SUPPLIED__NOT_QUERY_SELECTED	false
C05	A04_LAPSE_LIFT_TIMELIVE	LAPSE_LIFTED_TIMELIKE_SEAM	REALIZATION_CAN_BE_QUERY_SUPPLIED__NOT_QUERY_SELECTED	false
C05	A05_MIXING_TAPER_BEFORE_SEAM	TAPERED_UNIFORMLY_NULL_SEAM	REALIZATION_CAN_BE_QUERY_SUPPLIED__NOT_QUERY_SELECTED	false
C06	A03_RADIAL_SHIFT_TIMELIVE	SHIFT_SUPPORTED_NONUNIFORM_SEAM	WHOLE_SOLUTION_MEMBERSHIP_COMPATIBLE__NO_SELECTOR	false
C06	A04_LAPSE_LIFT_TIMELIVE	LAPSE_LIFTED_TIMELIKE_SEAM	WHOLE_SOLUTION_MEMBERSHIP_COMPATIBLE__NO_SELECTOR	false
C06	A05_MIXING_TAPER_BEFORE_SEAM	TAPERED_UNIFORMLY_NULL_SEAM	WHOLE_SOLUTION_MEMBERSHIP_COMPATIBLE__NO_SELECTOR	false
C07	A03_RADIAL_SHIFT_TIMELIVE	SHIFT_SUPPORTED_NONUNIFORM_SEAM	SEAM_TIMELIKE_OFF_AXIS_NULL_ON_AXIS	false
C07	A04_LAPSE_LIFT_TIMELIVE	LAPSE_LIFTED_TIMELIKE_SEAM	SEAM_TIMELIKE_EVERYWHERE	false
C07	A05_MIXING_TAPER_BEFORE_SEAM	TAPERED_UNIFORMLY_NULL_SEAM	SEAM_UNIFORMLY_NULL	false
C08	A03_RADIAL_SHIFT_TIMELIVE	SHIFT_SUPPORTED_NONUNIFORM_SEAM	CANDIDATE_LAPSE_DIVERGENCE_PRESENT__GLOBAL_JOIN_OPEN	false
C08	A04_LAPSE_LIFT_TIMELIVE	LAPSE_LIFTED_TIMELIKE_SEAM	DIVERGENCE_REMOVED_AT_THIS_SEAM__OTHER_REALIZATION_OPEN	false
C08	A05_MIXING_TAPER_BEFORE_SEAM	TAPERED_UNIFORMLY_NULL_SEAM	CANDIDATE_LAPSE_DIVERGENCE_PRESENT__GLOBAL_JOIN_OPEN	false
C09	A03_RADIAL_SHIFT_TIMELIVE	SHIFT_SUPPORTED_NONUNIFORM_SEAM	UNTESTED_FOR_MIXED_FAMILY	false
C09	A04_LAPSE_LIFT_TIMELIVE	LAPSE_LIFTED_TIMELIKE_SEAM	UNTESTED_FOR_MIXED_FAMILY	false
C09	A05_MIXING_TAPER_BEFORE_SEAM	TAPERED_UNIFORMLY_NULL_SEAM	UNTESTED_FOR_MIXED_FAMILY	false
C10	A03_RADIAL_SHIFT_TIMELIVE	SHIFT_SUPPORTED_NONUNIFORM_SEAM	CONDITIONAL_SMOOTH_WITNESS_ON_DECLARED_ARENA	false
C10	A04_LAPSE_LIFT_TIMELIVE	LAPSE_LIFTED_TIMELIKE_SEAM	CONDITIONAL_SMOOTH_WITNESS_ON_DECLARED_ARENA	false
C10	A05_MIXING_TAPER_BEFORE_SEAM	TAPERED_UNIFORMLY_NULL_SEAM	CONDITIONAL_SMOOTH_WITNESS_ON_DECLARED_ARENA	false
C11	A03_RADIAL_SHIFT_TIMELIVE	SHIFT_SUPPORTED_NONUNIFORM_SEAM	NOT_PROVED	false
C11	A04_LAPSE_LIFT_TIMELIVE	LAPSE_LIFTED_TIMELIKE_SEAM	NOT_PROVED	false
C11	A05_MIXING_TAPER_BEFORE_SEAM	TAPERED_UNIFORMLY_NULL_SEAM	NOT_PROVED	false
C12	A03_RADIAL_SHIFT_TIMELIVE	SHIFT_SUPPORTED_NONUNIFORM_SEAM	SAME_AUTHORITATIVE_CELL__NO_RANKING_POWER	false
C12	A04_LAPSE_LIFT_TIMELIVE	LAPSE_LIFTED_TIMELIKE_SEAM	SAME_AUTHORITATIVE_CELL__NO_RANKING_POWER	false
C12	A05_MIXING_TAPER_BEFORE_SEAM	TAPERED_UNIFORMLY_NULL_SEAM	SAME_AUTHORITATIVE_CELL__NO_RANKING_POWER	false
C13	A03_RADIAL_SHIFT_TIMELIVE	SHIFT_SUPPORTED_NONUNIFORM_SEAM	PASS_IDENTITY_FOR_SMOOTH_FULL_RANK_COFRAME	false
C13	A04_LAPSE_LIFT_TIMELIVE	LAPSE_LIFTED_TIMELIKE_SEAM	PASS_IDENTITY_FOR_SMOOTH_FULL_RANK_COFRAME	false
C13	A05_MIXING_TAPER_BEFORE_SEAM	TAPERED_UNIFORMLY_NULL_SEAM	PASS_IDENTITY_FOR_SMOOTH_FULL_RANK_COFRAME	false
C14	A03_RADIAL_SHIFT_TIMELIVE	SHIFT_SUPPORTED_NONUNIFORM_SEAM	NO_OWNED_HISTORY_RULE_TO_APPLY	false
C14	A04_LAPSE_LIFT_TIMELIVE	LAPSE_LIFTED_TIMELIKE_SEAM	NO_OWNED_HISTORY_RULE_TO_APPLY	false
