id	claim_to_test	falsifier	maximum_if_passed
F01	self_adjoint_pair_readouts_have_complete_solution_B_zero	nonzero_B_solution	adjoint_classification
F02	inverting_isometric_pair_readouts_have_complete_mixed_family	missed_Lorentzian_solution_or_wrong_constraint	isometry_classification
F03	no_Lorentzian_readout_is_both_causally_aligned_self_adjoint_and_inverting_isometric	valid_counterexample	aligned_physical_twist_no_go
F04	positive_conformal_isometry_does_not_repair_opposite_causal_swap	positive_factor_counterexample	causal_no_go
F05	mixed_isometric_family_relocates_or_nullifies_physical_clock_relative_to_eigenlines	one_timelike_one_spacelike_reciprocal_eigenline_counterexample	mixed_readout_interpretation
F06	c_E_calibration_alone_does_not_select_alignment	unique_alignment_from_scale_only	scale_solder_separation
F07	complete_4D_self_adjoint_block_classification_is_exhaustive	missed_cross_block_or_inertia_stratum	complete_local_readout_atlas
F08	rejecting_physical_twisted_isometry_does_not_select_ordinary_holonomy_or_lambda	current_premise_supplies_reduction	global_authority_ruling
F09	all_routes_and_readout_strata_are_covered	missing_or_duplicate_row	bounded_completeness
F10	internal_twisted_descent_remains_distinct_from_physical_metric_holonomy	type_correct_equivalence_from_current_sources	ontology_boundary
