id	object	status	exact_scope_or_premises	what_is_not_claimed
S01	founding_aligned_readout	DERIVED_GIVEN_LOCAL_READOUT_PREMISE	dimension_matched_c_E_dt_dr_pair_and_diagonal_Lorentz_metric	universal_complete_4D_solder
S02	pair_self_adjoint_readout	DERIVED_COMPLETE_CLASS	B_zero_and_Lorentz_AC_negative	self_adjointness_required_globally
S03	reciprocal_inverting_isometric_readout	DERIVED_COMPLETE_CLASS	C_equals_A_b_squared_and_B_squared_greater_than_A_squared_b_squared	founding physical readout
S04	positive_conformal_extension	NO_ENLARGEMENT	involutive_F_and_positive_factor	CSN reactivated
S05	aligned_self_adjoint_physical_swap	OBSTRUCTED_NO_LORENTZIAN_SOLUTION	opposite_causal_reciprocal_eigenlines	internal twisted descent refuted
S06	mixed_physical_swap	CONDITIONAL_EXISTS	physical clock is mixed and X has strain_plus_metric_skew_parts	selected complete UDT solder
S07	dual_null_limit	CONDITIONAL_PHI_INVISIBLE	both reciprocal eigenchannels null	calibrated clock_ruler alignment
S08	complete_self_adjoint_readout_dimensions	DERIVED	generic_5_zero_5_plus_one_7_minus_one_7	global branch selection
S09	c_E_calibration	OBSERVED_SCALE_NONSELECTING	exists_after_Lorentz_frame_choice	reciprocal channel alignment derived from scalar alone
S10	ordinary_lambda_family	OPEN_UNCHANGED	all_lambda_under_screen_only_or_trivial_holonomy	lambda selected
S11	twisted_lambda_zero	CONDITIONAL_INTERNAL_OR_MIXED_READOUT	not_aligned_physical_Levi_Civita_holonomy	eliminated from all ontologies
S12	complete_readout_authority	OPEN_FORK	aligned_global_vs_mixed_vs_internal_vs_ordinary	a new premise invented
S13	scalar_anchors	NO_SOLDER_SELECTOR	c_E_G_obs_provisional_hbar	hbar activated
S14	action_carrier_source_boundary_density_bootstrap_mass	OPEN_UNCHANGED	excluded	physics closure
S15	overall	VERIFIED_WITH_CAVEATS	43_exact_23_independent_12_routes_17_strata_no_fresh_external_model	global_readout_holonomy_or_lambda_selected
