stratum_id	outcome	status
Q01	LORENTZIAN_SELF_ADJOINT_OPPOSITE_CAUSAL_CHANNELS	DERIVED_GIVEN_FOUNDING_SLICE
Q02	ALL_AC_MINUS_B_SQUARED_NEGATIVE	DERIVED_COMPLETE_CLASS
Q03	B_ZERO_AND_AC_NEGATIVE	DERIVED_COMPLETE_SELF_ADJOINT_CLASS
Q04	C_EQUALS_A_b_SQUARED_AND_B_SQUARED_GREATER_THAN_A_SQUARED_b_SQUARED	DERIVED_COMPLETE_ISOMETRIC_CLASS
Q05	POSITIVE_FACTOR_ONE_AND_SAME_AS_Q04	DERIVED_NO_CONFORMAL_ENLARGEMENT
Q06	EMPTY_LORENTZIAN_INTERSECTION	DERIVED_NO_GO
Q07	EMPTY_LORENTZIAN_INTERSECTION	DERIVED_NO_GO
Q08	RECIPROCAL_EIGENLINES_HAVE_SAME_CAUSAL_SIGN	DERIVED_MIXED
Q09	BOTH_RECIPROCAL_EIGENLINES_NULL	DERIVED_DUAL_LIMIT
Q10	FIVE_DIMENSIONAL_BLOCK_1_PLUS_1_PLUS_2	DERIVED
Q11	FIVE_DIMENSIONAL_BLOCK_1_PLUS_1_PLUS_2	DERIVED
Q12	SEVEN_DIMENSIONAL_BLOCK_1_PLUS_3	DERIVED
Q13	SEVEN_DIMENSIONAL_BLOCK_3_PLUS_1	DERIVED
Q14	NO_ALIGNED_PHYSICAL_INVERTING_ISOMETRY	DERIVED_NO_GO
Q15	MIXED_NONSELFADJOINT_INVERTING_ISOMETRY_EXISTS	CONDITIONAL
Q16	ALL_LAMBDA_FOR_SCREEN_ONLY_OR_TRIVIAL;PLUS_ONE_OR_MINUS_ONE_FOR_LARGER_REDUCTIONS	OPEN_BRANCH_CONDITIONAL
Q17	INVERSION_TEST_VACUOUS	DERIVED_ZERO_DEPTH_GUARD
