route_id	outcome	status	decisive_reason	remaining_open
R01	ALIGNED_OPPOSITE_CAUSAL_SELF_ADJOINT_READOUT	DERIVED_GIVEN_FOUNDING_LOCAL_READOUT	eta_pair_diag_minus_one_plus_one_and_c_E_calibration	whether_every_complete_extension_preserves_channel_alignment
R02	COMPLETE_THREE_PARAMETER_SYMMETRIC_FAMILY	DERIVED_CLASSIFICATION	H_equals_A_B_B_C_with_AC_minus_B_squared_negative	physical_solder_and_channel_roles
R03	B_EQUALS_ZERO	DERIVED_IFF	X_transpose_H_equals_H_X	whether_self_adjointness_is_required_beyond_founding_slice
R04	C_EQUALS_A_b_squared_WITH_B_squared_GREATER_THAN_A_squared_b_squared	DERIVED_COMPLETE_LORENTZIAN_F_ISOMETRY_FAMILY	F_transpose_H_F_equals_H	physical_clock_not_aligned_with_reciprocal_eigenline
R05	POSITIVE_CONFORMAL_FACTOR_REDUCES_TO_ONE	DERIVED_NO_REPAIR	F_squared_equals_identity_implies_Omega_fourth_equals_one_and_positive_Omega_squared_equals_one	negative_or_nonmetric transformations not physical causal readout
R06	NO_LORENTZIAN_INTERSECTION	DERIVED_NO_GO	self_adjoint_requires_B_zero_while_F_isometry_requires_C_equals_A_b_squared_giving_positive_determinant	whether_complete UDT mandates aligned self_adjoint interpretation
R07	MIXED_ISOMETRIC_READOUT_EXISTS	CONDITIONAL	B_nonzero_gives_Lorentz_signature_and_F_isometry	reciprocal eigenchannels same causal sign or null and physical clock is mixed
R08	SELF_ADJOINT_BLOCK_DIMS_5_5_7_7	DERIVED	generic_zero_plus_one_minus_one_eigenvalue_multiplicities	global branch holonomy and inertia assignment
R09	CALIBRATION_EXISTS_WITHOUT_ALIGNMENT	DERIVED_NONSELECTION	mixed_H_has_an_orthonormal_Lorentz_frame_but_X_is_mixed_in_it	metric principle selecting reciprocal solder
R10	ALL_LAMBDA_ORDINARY_SCREEN_OR_TRIVIAL_BRANCHES_SURVIVE	OPEN_GLOBAL	physical_twisted_no_go_does_not_change_holonomy_centralizer_atlas	complete branch and actual holonomy
R11	INTERNAL_TWISTED_DESCENT_SURVIVES_CONDITIONALLY	CONDITIONAL_NONMETRIC_OR_MIXED	F_normalizes_reciprocal_bundle_even_when_not_aligned_metric_isometry	physical complete coframe/readout join
R12	NO_ALIGNMENT_OR_SOLDER_SELECTOR	NO_TYPED_SELECTOR	c_E_G_obs_and_hbar_are_scalars	native global readout law
