stratum_id	readout_class	causal_or_lambda_class	must_test
Q01	DIAGONAL_ALIGNED	A_negative_C_positive	yes
Q02	GENERAL_LORENTZIAN	AC_minus_B_squared_negative	yes
Q03	SELF_ADJOINT_X	B_zero_Lorentzian	yes
Q04	F_b_ISOMETRIC	C_equals_A_b_squared_Lorentzian	yes
Q05	F_b_POSITIVE_CONFORMAL	Omega_squared_positive_Lorentzian	yes
Q06	SELF_ADJOINT_AND_F_b_ISOMETRIC	Lorentzian_intersection	yes
Q07	SELF_ADJOINT_AND_F_b_POSITIVE_CONFORMAL	Lorentzian_intersection	yes
Q08	MIXED_F_b_ISOMETRIC	A_nonzero	yes
Q09	NULL_EIGENLINE_F_b_ISOMETRIC	A_zero_B_nonzero	yes
Q10	COMPLETE_SELF_ADJOINT	lambda_generic	yes
Q11	COMPLETE_SELF_ADJOINT	lambda_zero	yes
Q12	COMPLETE_SELF_ADJOINT	lambda_plus_one	yes
Q13	COMPLETE_SELF_ADJOINT	lambda_minus_one	yes
Q14	TWISTED_COMPLETE_LIFT	lambda_zero_opposite_causal_eigenlines	yes
Q15	TWISTED_COMPLETE_LIFT	lambda_zero_mixed_nonselfadjoint	yes
Q16	ORDINARY_HOLONOMY	lambda_plus_one_minus_one_or_zero	yes_source_audit
Q17	ZERO_DEPTH	phi_zero	yes
