path	role	git_blob	sha256	bytes
CURRENT_SCIENTIFIC_PREMISES.md	CURRENT_PREMISE_PRECEDENCE	1a25dc1d354e0065c527374767f11aa9d06d62de	63fe502793db25c9ddbf078c393fecc449d43648984d63504b49a4b9fbe72491	2493
CURRENT_SCIENTIFIC_PREMISES.tsv	CURRENT_PREMISE_PRECEDENCE	ed1de6dd9025b2709ee5127166288fa07411df2e	c05647b1498073b79f2cad56608befd43cb8f0052ea286a39cdb30a00c236ddf	5277
UDT_RECIPROCAL_C_FOUNDING_POSTULATE_DERIVATION_RESULTS.md	FOUNDED_ALIGNED_LOCAL_READOUT	a8d29384a514f9d3be588dad1818c4c614dc6d70	b2bdf9dd427871c6e951c6b47748b7663aa4a6264fcfcbff59b51f1ea2272003	11418
udt_founded_phi_complete_coframe_extension_audit_2026-07-25/AUDIT_REPORT.md	PHI_IDENTITY_AND_EXTENSION_SCOPE	3f134a87767bfeefbe98a8464ba115dfed788239	3c7fed27fae474c8718ffe8f09dad858c12b0aba068494e2a8248fe19f642783	5790
udt_covariant_reciprocal_coframe_lift_atlas_2026-07-26/AUDIT_REPORT.md	COMPLETE_LIFT_FAMILY	69f8244a39fb7e01802f29c43dd85e3283ea691b	b338fa5538e54951d3bcea8325b7c3a00940a45b2287805f766bf772ab2713ef	5702
udt_covariant_reciprocal_coframe_lift_atlas_2026-07-26/DERIVATION_RESULT.json	LIFT_STABILIZER_AND_METRIC_RESPONSE	99f309dd1a4ce75865eb440ed1350d95c5ef847a	6dce53f5918117ad85166be74379c3168f3a7759ca250ca20ae97b0ef573921d	1737
udt_reciprocal_transport_holonomy_atlas_2026-07-26/AUDIT_REPORT.md	PARENT_THREE_WAY_GLOBAL_ATLAS	6574a2ed2f5c66f143c4d572e8eb31dc8e5effe3	64ca175da25fbed41531acdcca1106ec6eccc5368178634b1965553296f55f29	6204
udt_reciprocal_transport_holonomy_atlas_2026-07-26/DERIVATION_RESULT.json	PARENT_EXACT_HOLONOMY_ALGEBRA	e3b29ca34806e3947ae40f03d60d6f3ac92560fc	16cdbdb7d9061c77fc1713eb3cf8fdfb9127525258744ff7e4790129fa0296ce	4157
udt_global_coframe_cocycle_audit_2026-07-20/AUDIT_REPORT.md	MIXED_READOUT_AND_NORMALIZER_FAMILY	51bc7db847772cac5afa70bb3b417eb1a40c7914	cfb733d40271bcdb0259c91c631caaa4a80d96cd54350df61ca8c4e4f149819e	8500
udt_global_coframe_cocycle_audit_2026-07-20/COCYCLE_CLASSIFICATION.tsv	READOUT_TRADEOFF_STATUS	a631af2da39f38427b4157a427886b31d6dc4055	b78b2c5762ca1438e68c4d8e07849fa6809a5f4a862ea1b69753743a5543ef3a	2003
udt_reciprocal_seam_descent_audit_2026-07-23/AUDIT_REPORT.md	INTERNAL_TWISTED_DESCENT_STATUS	9a10538af3c89ee74a01a86e2a07f619efb82e20	43ac1ef41a2e99e156078ff4de460ff2e1f233fd4da8bb52a7692cad99e45d63	7903
udt_metric_pure_frame_rederivation_2026-07-23/AUDIT_REPORT.md	CALIBRATED_OBSERVER_FRAME_STATUS	07189dba876b8289ce2201bef0e78d3758c2b5ba	e616102b06e32fbbbc36d189cbc12ff75bec0f4b0341e74192781dd775c81294	8668
udt_common_scale_neutrality_provenance_audit_2026-07-24/STATUS_LEDGER.tsv	CALIBRATION_AND_CSN_STATUS	2afe2ca39ade32cc9c9873f6100239f2681ea37a	18076d2145bfb954b7a998c71de1f0eedad919c63c59ec75dcbf408a4432e0c6	3555
udt_complete_coframe_native_selector_audit_2026-07-26/AUDIT_REPORT.md	COMPLETE_SELECTOR_RANK	fed10038348e7bb06d3074a852b586504ed8798a	260979d6e5449844c5ed4676f3cebc331934dfa17d9df3e92f6fabeb86ada507	5108
udt_global_local_relational_closure_audit_2026-07-25/STATUS_LEDGER.tsv	GLOBAL_CLOSURE_STATUS	a77c5ef6e6a5cb77ced5c7a49cfc7dfdcddb59d4	54f055a4800e0650e17f2a5ec842ed3a7b97fd13ef6b7a124d0c29a640c6e4dd	3260
native_action_final_adjudication_2026-07-18/FINAL_STATUS_LEDGER.tsv	ACTION_SOURCE_BOUNDARY_AUTHORITY	bc30820893a31b1458a1e086eabfef7dd3ed7959	70cab9d5e10b03e0e3418129b67155e01d9f805c4397c69ef8795c4d2aaa5dfd	8676
