catch_id	corruption	expected	result
C01	missing_route	REJECT	PASS
C02	duplicate_route	REJECT	PASS
C03	missing_readout_stratum	REJECT	PASS
C04	calibration_called_alignment	REJECT	PASS
C05	c_E_called_cross_term_selector	REJECT	PASS
C06	mixed_isometric_readout_called_self_adjoint	REJECT	PASS
C07	simultaneous_Lorentzian_solution_invented	REJECT	PASS
C08	positive_conformal_factor_called_repair	REJECT	PASS
C09	phi_zero_used_for_inversion_selection	REJECT	PASS
C10	internal_normalizer_called_Levi_Civita_holonomy	REJECT	PASS
C11	physical_twist_no_go_used_to_eliminate_ordinary_lambda_zero_or_generic	REJECT	PASS
C12	plus_or_minus_one_forced_without_holonomy	REJECT	PASS
C13	mixed_readout_promoted_to_founding_frame	REJECT	PASS
C14	scalar_anchor_called_solder_selector	REJECT	PASS
C15	physics_closure_imported	REJECT	PASS
C16	production_check_corrupted	REJECT	PASS
C17	independent_check_corrupted	REJECT	PASS
C18	source_identity_corrupted	REJECT	PASS
