path	positive_capability	limitation_for_this_audit
CURRENT_SCIENTIFIC_PREMISES.md	founded_phi_pair_action_and_calibrated_metric_precedence	complete_extension_and_physical_assignment_open
CURRENT_SCIENTIFIC_PREMISES.tsv	exact_G01_G02_G06_G08_G16_status	no_global_readout_solder
UDT_RECIPROCAL_C_FOUNDING_POSTULATE_DERIVATION_RESULTS.md	aligned_diagonal_local_metric_readout_with_c_E	SR_continuity_and_readout_declared;complete_extension_open
udt_founded_phi_complete_coframe_extension_audit_2026-07-25/AUDIT_REPORT.md	phi_identity_derived_and_extension_class_open	no_unique_4D_solder
udt_covariant_reciprocal_coframe_lift_atlas_2026-07-26/AUDIT_REPORT.md	conditional_X_lambda_family_and_metric_response	lambda_unselected
udt_covariant_reciprocal_coframe_lift_atlas_2026-07-26/DERIVATION_RESULT.json	exact_local_stabilizer_and_self_adjoint_controls	no_global_readout
udt_reciprocal_transport_holonomy_atlas_2026-07-26/AUDIT_REPORT.md	plus_one_minus_one_zero_conditional_global_atlas	global_structure_unselected
udt_reciprocal_transport_holonomy_atlas_2026-07-26/DERIVATION_RESULT.json	exact_centralizer_and_twisted_normalizer_algebra	readout compatibility open
udt_global_coframe_cocycle_audit_2026-07-20/AUDIT_REPORT.md	complete_mixed_pair_readout_family_and_F_isometry	anchor_basis_to_observed_c_frame_open
udt_global_coframe_cocycle_audit_2026-07-20/COCYCLE_CLASSIFICATION.tsv	diagonal_vs_dual_readout_tradeoff	full_metric_solder_join required
udt_reciprocal_seam_descent_audit_2026-07-23/AUDIT_REPORT.md	internal_value_character_twisted_descent	physical_metric_and_connection_glue open
udt_metric_pure_frame_rederivation_2026-07-23/AUDIT_REPORT.md	calibrated_local_observer_reciprocity	no_global preferred frame or phi_rapidity join
udt_common_scale_neutrality_provenance_audit_2026-07-24/STATUS_LEDGER.tsv	c_E_G_obs_observed_anchors_and_CSN_inactive	no_directional_solder from scale
udt_complete_coframe_native_selector_audit_2026-07-26/AUDIT_REPORT.md	complete_selector_rank obstruction	no unique readout extension
udt_global_local_relational_closure_audit_2026-07-25/STATUS_LEDGER.tsv	global_local_section_and_response gaps	action_source closure open
native_action_final_adjudication_2026-07-18/FINAL_STATUS_LEDGER.tsv	complete_action_source_boundary authority	no action import allowed
