# STAMP: Stage T2 time-live pointwise ledger. Contract = PREREGISTRATION.md (frozen first). EVERYTHING-ON; registered chart's time extension (T-L1 CHOSE); bigraded jets <= (2,2), higher TYPED; BOTH lock-reading branches at the same depth; registered stationary presentation (general arenas TYPED); polynomial/formal in (k10,C); theta ABSENT; no census reading adopted; no fork resolved; no solve.
# STAMP: layered character rule (TU-1): K4 (t spectator) x T1-translations (bare-t excluded) x METRIC-LAYER T-parity Z2 (conditional: coframe layer imposes nothing) x STRATUM-CONDITIONAL N-parity Z2 (coordinate reading, psi-branch strata). Resonance-locus contacts: OPEN-PENDING-CENSUS (F-U8).
# STAMP: static restriction column = the C-1 identity (mechanical vs banked routeA_stage2 JSON): PASS.
row	kind	content	character	tag	static_restriction	basis_checks
R_phi	COMPONENT	K4 char trivial; T-parity even (metric layer); N-parity even on psi-branch strata (coordinate reading); module over the bigraded alphabet; coordinate branch: physical content; projected branch: unchanged reading	trivial	DERIVED	banked component recovered	TU1j;TU2c;TU2d;TU2f
R_f	COMPONENT	K4 char trivial; T-parity even (metric layer); N-parity even on psi-branch strata (coordinate reading); module over the bigraded alphabet; coordinate branch: physical content; projected branch: unchanged reading	trivial	DERIVED	banked component recovered	TU1j;TU2c;TU2d;TU2f
R_bh	COMPONENT	K4 char trivial; T-parity even (metric layer); N-parity even on psi-branch strata (coordinate reading); module over the bigraded alphabet; coordinate branch: physical content; projected branch: unchanged reading	trivial	DERIVED	banked component recovered	TU1j;TU2c;TU2d;TU2f
R_lambda	COMPONENT	K4 char trivial; T-parity even (metric layer); N-parity even on psi-branch strata (coordinate reading); module over the bigraded alphabet; coordinate branch: physical content; projected branch: unchanged reading	trivial	DERIVED	banked component recovered	TU1j;TU2c;TU2d;TU2f
R_kmod	COMPONENT	K4 char trivial; T-parity even (metric layer); N-parity even on psi-branch strata (coordinate reading); module over the bigraded alphabet; coordinate branch: physical content; projected branch: unchanged reading	trivial	DERIVED	banked component recovered	TU1j;TU2c;TU2d;TU2f
R_k10	COMPONENT	K4 char chi_a; T-parity even (metric layer); N-parity even on psi-branch strata (coordinate reading); module over the bigraded alphabet; coordinate branch: physical content; projected branch: unchanged reading	chi_a	DERIVED	banked component recovered	TU1j;TU2c;TU2d;TU2f
R_c00	COMPONENT	K4 char chi_b; T-parity even (metric layer); N-parity even on psi-branch strata (coordinate reading); module over the bigraded alphabet; coordinate branch: physical content; projected branch: unchanged reading	chi_b	DERIVED	banked component recovered	TU1j;TU2c;TU2d;TU2f
R_c11	COMPONENT	K4 char chi_b; T-parity even (metric layer); N-parity even on psi-branch strata (coordinate reading); module over the bigraded alphabet; coordinate branch: physical content; projected branch: unchanged reading	chi_b	DERIVED	banked component recovered	TU1j;TU2c;TU2d;TU2f
R_c01	COMPONENT	K4 char chi_c; T-parity even (metric layer); N-parity even on psi-branch strata (coordinate reading); module over the bigraded alphabet; coordinate branch: physical content; projected branch: unchanged reading	chi_c	DERIVED	banked component recovered	TU1j;TU2c;TU2d;TU2f
R_c10	COMPONENT	K4 char chi_c; T-parity even (metric layer); N-parity even on psi-branch strata (coordinate reading); module over the bigraded alphabet; coordinate branch: physical content; projected branch: unchanged reading	chi_c	DERIVED	banked component recovered	TU1j;TU2c;TU2d;TU2f
