v_minus	v_plus	signed_determinant	p_abs_determinant	q_representative_convention	topology_class	cap_regularity	coverage_status
(0,1)	(0,1)	0	0	-	P0_DEPENDENT_CYCLES	BOTH_PRIMITIVE_BOUNDED_WITNESS	BOUNDED_ARITHMETIC_WITNESS_NOT_INFINITE_FAMILY_EXHAUSTION
(0,1)	(1,-3)	-1	1	-	S3_DETERMINANT_ONE	BOTH_PRIMITIVE_BOUNDED_WITNESS	BOUNDED_ARITHMETIC_WITNESS_NOT_INFINITE_FAMILY_EXHAUSTION
(0,1)	(1,-2)	-1	1	-	S3_DETERMINANT_ONE	BOTH_PRIMITIVE_BOUNDED_WITNESS	BOUNDED_ARITHMETIC_WITNESS_NOT_INFINITE_FAMILY_EXHAUSTION
(0,1)	(1,-1)	-1	1	-	S3_DETERMINANT_ONE	BOTH_PRIMITIVE_BOUNDED_WITNESS	BOUNDED_ARITHMETIC_WITNESS_NOT_INFINITE_FAMILY_EXHAUSTION
(0,1)	(1,0)	-1	1	-	S3_DETERMINANT_ONE	BOTH_PRIMITIVE_BOUNDED_WITNESS	BOUNDED_ARITHMETIC_WITNESS_NOT_INFINITE_FAMILY_EXHAUSTION
(0,1)	(1,1)	-1	1	-	S3_DETERMINANT_ONE	BOTH_PRIMITIVE_BOUNDED_WITNESS	BOUNDED_ARITHMETIC_WITNESS_NOT_INFINITE_FAMILY_EXHAUSTION
(0,1)	(1,2)	-1	1	-	S3_DETERMINANT_ONE	BOTH_PRIMITIVE_BOUNDED_WITNESS	BOUNDED_ARITHMETIC_WITNESS_NOT_INFINITE_FAMILY_EXHAUSTION
(0,1)	(1,3)	-1	1	-	S3_DETERMINANT_ONE	BOTH_PRIMITIVE_BOUNDED_WITNESS	BOUNDED_ARITHMETIC_WITNESS_NOT_INFINITE_FAMILY_EXHAUSTION
(0,1)	(2,-3)	-2	2	1	LENS_L_P_Q_CONVENTION	BOTH_PRIMITIVE_BOUNDED_WITNESS	BOUNDED_ARITHMETIC_WITNESS_NOT_INFINITE_FAMILY_EXHAUSTION
(0,1)	(2,-1)	-2	2	1	LENS_L_P_Q_CONVENTION	BOTH_PRIMITIVE_BOUNDED_WITNESS	BOUNDED_ARITHMETIC_WITNESS_NOT_INFINITE_FAMILY_EXHAUSTION
