claim_id	object	status	basis	limit
G01	metric-compatible projector connection	DERIVED_REGISTERED_GEOMETRIC_IDENTITY	K=sum(nabla_T P_a)P_a is metric-skew and commutator-transports every complete self-adjoint projector family	requires smooth fixed-rank projector family; not physical time
G02	all frozen identity/family paths	ACCOUNTED	95232 unique path identities; 93920 stable and 1312 transition/uncertain	17-node source remains sampled local analytic evidence
G03	dense continuous transport anchors	OBSERVED_BOUNDED_76_PASS_7_NUMERIC_MARGINS	83 deterministic populated-stratum anchors at 33/65/129 nodes	seven derivative identity margins not promoted
G04	midpoint-integrable 1+1+2 candidates	OBSERVED_ALL_1536_INTEGRABLE_AT_9_SAMPLED_NODES	13824 node rows reproduce both-side local integrability	sampled path evidence not a continuous global foliation theorem
G05	candidate provenance	OBSERVED_PHI_FIELD_ONLY	all 1536 rows are M8 PHI_FIELD-only; eight family presentations of 192 identities	not full metric-angular orchestra or independent branch count
G06	registered global completion taxonomy	CHARACTERIZED_BOUNDED_PARAMETRIC	12 families; cap and GL2Z parametric rules plus bounded witnesses	not arbitrary four-manifold classification or complete metric witnesses
G07	projector transport holonomy	OPEN_WITHOUT_EXPLICIT_CLOSED_GLUE	open analytic paths supply transport only	endpoint gluing not supplied
G08	reciprocal-toric principal connection	EXACT_CONDITIONAL	common scale cancels and finite Q=f_minus-f_plus	periods action caps orientation normalization supplied
G09	global quotient selection	OPEN_NOT_SELECTED	all seven registered selector axes remain nonselecting across multiple branches	future premise or native global law may change result
G10	quotient deformation space/action	NOT_ACTIVATED	Stage 6 selection gate failed	no carrier or L2+L4 import allowed
G11	time-live dynamics	NOT_ACTIVATED	Stage 7 native evolution-law gate failed	zero CPU time-live and zero GPU runs
G12	density as observed input	OBSERVED_OR_EXTERNAL_ANCHOR	can calibrate or compare without circularity	not a native selector
G13	density as native simultaneous bootstrap output	OPEN_POTENTIAL_FUTURE_SELECTOR	M_native/V_proper from same complete solution could enter fixed point	native mass functional varied closure response map and scale breaking absent
