identity_id	family_id	nodes_expected	nodes_recorded	integrable_nodes	nonintegrable_nodes	uncertain_or_changed_nodes	max_obstruction	max_derivative_convergence	path_status
B0_R00_1_M8	M02_H	9	9	9	0	0	0	0	SAMPLED_ALL_9_NODES_INTEGRABLE_CANDIDATE
B0_R00_1_M8	M03_R_H	9	9	9	0	0	0	0	SAMPLED_ALL_9_NODES_INTEGRABLE_CANDIDATE
B0_R00_1_M8	M10_H_RG	9	9	9	0	0	0	0	SAMPLED_ALL_9_NODES_INTEGRABLE_CANDIDATE
B0_R00_1_M8	M11_R_H_RG	9	9	9	0	0	0	0	SAMPLED_ALL_9_NODES_INTEGRABLE_CANDIDATE
B0_R00_1_M8	M18_H_WG	9	9	9	0	0	0	0	SAMPLED_ALL_9_NODES_INTEGRABLE_CANDIDATE
B0_R00_1_M8	M19_R_H_WG	9	9	9	0	0	0	0	SAMPLED_ALL_9_NODES_INTEGRABLE_CANDIDATE
B0_R00_1_M8	M26_H_RG_WG	9	9	9	0	0	0	0	SAMPLED_ALL_9_NODES_INTEGRABLE_CANDIDATE
B0_R00_1_M8	M27_R_H_RG_WG	9	9	9	0	0	0	0	SAMPLED_ALL_9_NODES_INTEGRABLE_CANDIDATE
B0_R00_3_M8	M02_H	9	9	9	0	0	0	0	SAMPLED_ALL_9_NODES_INTEGRABLE_CANDIDATE
B0_R00_3_M8	M03_R_H	9	9	9	0	0	0	0	SAMPLED_ALL_9_NODES_INTEGRABLE_CANDIDATE
B0_R00_3_M8	M10_H_RG	9	9	9	0	0	0	0	SAMPLED_ALL_9_NODES_INTEGRABLE_CANDIDATE
B0_R00_3_M8	M11_R_H_RG	9	9	9	0	0	0	0	SAMPLED_ALL_9_NODES_INTEGRABLE_CANDIDATE
B0_R00_3_M8	M18_H_WG	9	9	9	0	0	0	0	SAMPLED_ALL_9_NODES_INTEGRABLE_CANDIDATE
B0_R00_3_M8	M19_R_H_WG	9	9	9	0	0	0	0	SAMPLED_ALL_9_NODES_INTEGRABLE_CANDIDATE
B0_R00_3_M8	M26_H_RG_WG	9	9	9	0	0	0	0	SAMPLED_ALL_9_NODES_INTEGRABLE_CANDIDATE
B0_R00_3_M8	M27_R_H_RG_WG	9	9	9	0	0	0	0	SAMPLED_ALL_9_NODES_INTEGRABLE_CANDIDATE
B0_R01_1_M8	M02_H	9	9	9	0	0	0	0	SAMPLED_ALL_9_NODES_INTEGRABLE_CANDIDATE
B0_R01_1_M8	M03_R_H	9	9	9	0	0	0	0	SAMPLED_ALL_9_NODES_INTEGRABLE_CANDIDATE
B0_R01_1_M8	M10_H_RG	9	9	9	0	0	0	0	SAMPLED_ALL_9_NODES_INTEGRABLE_CANDIDATE
B0_R01_1_M8	M11_R_H_RG	9	9	9	0	0	0	0	SAMPLED_ALL_9_NODES_INTEGRABLE_CANDIDATE
B0_R01_1_M8	M18_H_WG	9	9	9	0	0	0	0	SAMPLED_ALL_9_NODES_INTEGRABLE_CANDIDATE
B0_R01_1_M8	M19_R_H_WG	9	9	9	0	0	0	0	SAMPLED_ALL_9_NODES_INTEGRABLE_CANDIDATE
B0_R01_1_M8	M26_H_RG_WG	9	9	9	0	0	0	0	SAMPLED_ALL_9_NODES_INTEGRABLE_CANDIDATE
B0_R01_1_M8	M27_R_H_RG_WG	9	9	9	0	0	0	0	SAMPLED_ALL_9_NODES_INTEGRABLE_CANDIDATE
B0_R01_3_M8	M02_H	9	9	9	0	0	0	0	SAMPLED_ALL_9_NODES_INTEGRABLE_CANDIDATE
B0_R01_3_M8	M03_R_H	9	9	9	0	0	0	0	SAMPLED_ALL_9_NODES_INTEGRABLE_CANDIDATE
B0_R01_3_M8	M10_H_RG	9	9	9	0	0	0	0	SAMPLED_ALL_9_NODES_INTEGRABLE_CANDIDATE
B0_R01_3_M8	M11_R_H_RG	9	9	9	0	0	0	0	SAMPLED_ALL_9_NODES_INTEGRABLE_CANDIDATE
B0_R01_3_M8	M18_H_WG	9	9	9	0	0	0	0	SAMPLED_ALL_9_NODES_INTEGRABLE_CANDIDATE
B0_R01_3_M8	M19_R_H_WG	9	9	9	0	0	0	0	SAMPLED_ALL_9_NODES_INTEGRABLE_CANDIDATE
B0_R01_3_M8	M26_H_RG_WG	9	9	9	0	0	0	0	SAMPLED_ALL_9_NODES_INTEGRABLE_CANDIDATE
B0_R01_3_M8	M27_R_H_RG_WG	9	9	9	0	0	0	0	SAMPLED_ALL_9_NODES_INTEGRABLE_CANDIDATE
B0_R02_1_M8	M02_H	9	9	9	0	0	0	0	SAMPLED_ALL_9_NODES_INTEGRABLE_CANDIDATE
