completion_id	projector_kato_transport	levi_civita_tangent_holonomy	torus_lattice_or_cap_data	principal_circle_characteristic_data	conflation_guard
FC01_BOUNDARY_BOUNDARY	OPEN_PATH_TRANSPORT_ONLY	PROFILE_DEPENDENT_NOT_COMPUTED_WITHOUT_COMPLETE_METRIC	BOUNDARY_T2_BASIS_IF_SUPPLIED_NO_CLOSED_MONODROMY	NOT_DEFINED_WITHOUT_FREE_ACTION	FOUR_NOTIONS_DISTINCT
FC02_ONE_CAP_BOUNDARY	OPEN_PATH_TRANSPORT_ONLY	PROFILE_DEPENDENT_NOT_COMPUTED_WITHOUT_COMPLETE_METRIC	ONE_PRIMITIVE_MERIDIAN_CYCLE	NOT_DEFINED_WITHOUT_FREE_ACTION	FOUR_NOTIONS_DISTINCT
FC03_TWO_CAP_P0	INTERVAL_TRANSPORT_PLUS_CAP_EXTENSION_REQUIRED	PROFILE_DEPENDENT_NOT_COMPUTED_WITHOUT_COMPLETE_METRIC	CAP_PAIR_DETERMINANT_P_AND_Q_CONVENTION	NOT_DEFINED_WITHOUT_FREE_ACTION	FOUR_NOTIONS_DISTINCT
FC04_TWO_CAP_P1	INTERVAL_TRANSPORT_PLUS_CAP_EXTENSION_REQUIRED	PROFILE_DEPENDENT_NOT_COMPUTED_WITHOUT_COMPLETE_METRIC	CAP_PAIR_DETERMINANT_P_AND_Q_CONVENTION	NOT_DEFINED_WITHOUT_FREE_ACTION	FOUR_NOTIONS_DISTINCT
FC05_TWO_CAP_P_GT1	INTERVAL_TRANSPORT_PLUS_CAP_EXTENSION_REQUIRED	PROFILE_DEPENDENT_NOT_COMPUTED_WITHOUT_COMPLETE_METRIC	CAP_PAIR_DETERMINANT_P_AND_Q_CONVENTION	NOT_DEFINED_WITHOUT_FREE_ACTION	FOUR_NOTIONS_DISTINCT
FC06_NONPRIMITIVE_CAP	OPEN_PATH_TRANSPORT_ONLY	PROFILE_DEPENDENT_NOT_COMPUTED_WITHOUT_COMPLETE_METRIC	NONPRIMITIVE_ISOTROPY_OR_SINGULAR_STABILIZER	NOT_DEFINED_WITHOUT_FREE_ACTION	FOUR_NOTIONS_DISTINCT
FC07_PERIODIC_TORUS_BUNDLE	CLOSED_ONLY_AFTER_ENDPOINT_GL2Z_GLUE	PROFILE_DEPENDENT_NOT_COMPUTED_WITHOUT_COMPLETE_METRIC	GENERAL_GL2Z_MONODROMY	NOT_DEFINED_WITHOUT_FREE_ACTION	FOUR_NOTIONS_DISTINCT
FC08_MIRROR_DOUBLE	Z2_GRADED_RECIPROCAL_GLUE_WITH_EVEN_REVERSAL_PARITY_ON_CLOSED_COCYCLE	PROFILE_DEPENDENT_NOT_COMPUTED_WITHOUT_COMPLETE_METRIC	ANGULAR_LIFT_DEPENDENT	NOT_DEFINED_WITHOUT_FREE_ACTION	FOUR_NOTIONS_DISTINCT
FC09_NONORIENTABLE_GLUE	W1_NONZERO_SIGN_OR_PERMUTATION_HOLONOMY_ALLOWED	PROFILE_DEPENDENT_NOT_COMPUTED_WITHOUT_COMPLETE_METRIC	DET_MINUS_ONE_GL2Z	NOT_DEFINED_WITHOUT_FREE_ACTION	FOUR_NOTIONS_DISTINCT
FC10_STRATIFIED_PROJECTOR	FINE_HOLONOMY_UNDEFINED_COARSE_STRATIFIED_TRANSPORT_ONLY	PROFILE_DEPENDENT_NOT_COMPUTED_WITHOUT_COMPLETE_METRIC	NONE_OR_OPEN	NOT_DEFINED_WITHOUT_FREE_ACTION	FOUR_NOTIONS_DISTINCT
FC11_NONINTEGRABLE_DISTRIBUTION	DISTRIBUTION_TRANSPORT_DEFINED_NO_LEAF_ORBIT_HOLONOMY	PROFILE_DEPENDENT_NOT_COMPUTED_WITHOUT_COMPLETE_METRIC	NONE_OR_OPEN	NOT_DEFINED_WITHOUT_FREE_ACTION	FOUR_NOTIONS_DISTINCT
FC12_RECIPROCAL_TORIC_DIAGONAL	DEPTH_PATH_KATO_ZERO_IN_COORDINATE_PROJECTOR_FRAME	PROFILE_DEPENDENT_NOT_COMPUTED_WITHOUT_COMPLETE_METRIC	SUPPLIED_INTEGRAL_T2_BASIS_AND_CAP_OR_GLUE_DATA	A=f dxi1+(1-f)dxi2; Q_FINITE=f_minus-f_plus; UNIT_ONLY_WITH_FULL_GLOBAL_PREMISES	FOUR_NOTIONS_DISTINCT
FC07::M_IDENTITY	CLOSED_ONLY_AFTER_THIS_EXPLICIT_GLUE	NOT_FIXED_BY_LATTICE_MONODROMY	M=[[1,0],[0,1]];H1=Z+(Z^2)	NOT_AUTOMATICALLY_DEFINED	FOUR_NOTIONS_DISTINCT
FC07::M_MINUS_IDENTITY	CLOSED_ONLY_AFTER_THIS_EXPLICIT_GLUE	NOT_FIXED_BY_LATTICE_MONODROMY	M=[[-1,0],[0,-1]];H1=Z+(Z/2+Z/2)	NOT_AUTOMATICALLY_DEFINED	FOUR_NOTIONS_DISTINCT
FC07::M_ORDER4_ROTATION	CLOSED_ONLY_AFTER_THIS_EXPLICIT_GLUE	NOT_FIXED_BY_LATTICE_MONODROMY	M=[[0,-1],[1,0]];H1=Z+(Z/2)	NOT_AUTOMATICALLY_DEFINED	FOUR_NOTIONS_DISTINCT
FC07::M_ORDER6_ELLIPTIC	CLOSED_ONLY_AFTER_THIS_EXPLICIT_GLUE	NOT_FIXED_BY_LATTICE_MONODROMY	M=[[0,-1],[1,1]];H1=Z+(0)	NOT_AUTOMATICALLY_DEFINED	FOUR_NOTIONS_DISTINCT
FC07::M_PARABOLIC	CLOSED_ONLY_AFTER_THIS_EXPLICIT_GLUE	NOT_FIXED_BY_LATTICE_MONODROMY	M=[[1,1],[0,1]];H1=Z+(Z)	NOT_AUTOMATICALLY_DEFINED	FOUR_NOTIONS_DISTINCT
FC07::M_HYPERBOLIC	CLOSED_ONLY_AFTER_THIS_EXPLICIT_GLUE	NOT_FIXED_BY_LATTICE_MONODROMY	M=[[2,1],[1,1]];H1=Z+(0)	NOT_AUTOMATICALLY_DEFINED	FOUR_NOTIONS_DISTINCT
FC07::M_EXCHANGE	CLOSED_ONLY_AFTER_THIS_EXPLICIT_GLUE	NOT_FIXED_BY_LATTICE_MONODROMY	M=[[0,1],[1,0]];H1=Z+(Z)	NOT_AUTOMATICALLY_DEFINED	FOUR_NOTIONS_DISTINCT
FC07::M_ORIENTATION_REVERSING_GLIDE	CLOSED_ONLY_AFTER_THIS_EXPLICIT_GLUE	NOT_FIXED_BY_LATTICE_MONODROMY	M=[[1,1],[0,-1]];H1=Z+(Z)	NOT_AUTOMATICALLY_DEFINED	FOUR_NOTIONS_DISTINCT
