completion_id	base_completion	orbit_completion	regularity	topology_family	infinite_family_rule	selection_status
FC01_BOUNDARY_BOUNDARY	FINITE_INTERVAL	NO_CAP_TWO_PHYSICAL_BOUNDARIES	REGULAR_WITH_BOUNDARY_IF_BOUNDARY_DATA_SUPPLIED	I_X_ORBIT	arbitrary compatible boundary geometries	REGISTERED_ALTERNATIVE
FC02_ONE_CAP_BOUNDARY	FINITE_INTERVAL	ONE_PRIMITIVE_CAP_ONE_PHYSICAL_BOUNDARY	REGULAR_IF_PRIMITIVE_CAP_JETS_HOLD	SOLID_TORUS_WITH_BOUNDARY	all primitive meridians and compatible profiles	REGISTERED_ALTERNATIVE
FC03_TWO_CAP_P0	FINITE_INTERVAL	TWO_PRIMITIVE_SAME_DEPENDENT_CYCLES	REGULAR_CAPS	S2_X_S1_STANDARD_OR_GENERAL_P0	all primitive determinant-zero ordered pairs	REGISTERED_ALTERNATIVE
FC04_TWO_CAP_P1	FINITE_INTERVAL	TWO_PRIMITIVE_DETERMINANT_ONE_CYCLES	REGULAR_CAPS	S3	all ordered unimodular primitive pairs	UNIQUE_ONLY_INSIDE_SUPPLIED_OPPOSITE_EIGENCIRCLE_PREMISES
FC05_TWO_CAP_P_GT1	FINITE_INTERVAL	TWO_PRIMITIVE_GENERAL_CYCLES	REGULAR_CAPS	LENS_L_P_Q	all primitive pairs with determinant magnitude greater than one	REGISTERED_ALTERNATIVE
FC06_NONPRIMITIVE_CAP	FINITE_INTERVAL	ONE_OR_TWO_NONPRIMITIVE_COLLAPSES	ORBIFOLD_OR_SINGULAR	SINGULAR_TORIC_COMPLETION	all nonprimitive cap vectors	RETAINED_MATHEMATICAL_BRANCH
FC07_PERIODIC_TORUS_BUNDLE	S1	NO_CAP_GL2Z_MAPPING_TORUS	REGULAR_IF_ENDPOINT_JETS_MATCH_MONODROMY	TORUS_BUNDLE_OVER_S1	all GL(2,Z) monodromies	REGISTERED_GLOBAL_ALTERNATIVE_NOT_CURRENT_PHYSICAL_CELL_WITHOUT_EXTRA_JOIN
FC08_MIRROR_DOUBLE	DOUBLED_INTERVAL	MIRROR_SEAL_WITH_REGISTERED_ANGULAR_LIFT	DEPENDS_ON_FIXED_SET_AND_JETS	DOUBLE_OR_REFLECTION_QUOTIENT	reciprocal F_b and angular +I,-I,axis-reflection/exchange lifts	MULTIPLE_REGISTERED_LIFTS
FC09_NONORIENTABLE_GLUE	S1_OR_QUOTIENT_INTERVAL	ORIENTATION_REVERSING_BUNDLE_GLUE	REGULAR_BUNDLE_POSSIBLE	NONORIENTABLE_ORIENTATION_TWISTED	all determinant-minus-one monodromies and line sign holonomies	REGISTERED_ALTERNATIVE_UNLESS_ORIENTATION_ADDED
FC10_STRATIFIED_PROJECTOR	FINITE_OR_PERIODIC	PROJECTOR_RANK_MERGER_OR_SPLIT	METRIC_MAY_BE_REGULAR_PROJECTOR_FINE_SPLIT_FAILS	STRATIFIED_DISTRIBUTION	all retained motif transitions and degeneracies	RETAINED_NOT_FILTERED
FC11_NONINTEGRABLE_DISTRIBUTION	FINITE_OR_PERIODIC	ANHOLONOMIC_NO_ORBIT_SURFACE	REGULAR_DISTRIBUTION	NONINTEGRABLE_PLANE_FIELD	all nonzero Frobenius branches	RETAINED_NOT_TORIC_ORBIT
FC12_RECIPROCAL_TORIC_DIAGONAL	FINITE_INTERVAL_OPEN_OR_CAP	GLOBAL_FIXED_INTEGRAL_T2_BASIS_WITH_RECIPROCAL_WEIGHTS	PROFILE_AND_ENDPOINT_DEPENDENT	BOUNDARY_P0_S3_LENS_OR_OTHER_PER_CAP_DATA	arbitrary positive A,Omega plus every disclosed endpoint class	CONDITIONAL_CONTROL_NOT_SELECTED
