selector_id	completion_id	exact_registered_consequence	branch_verdict	source	selection_power
RECIPROCITY	FC01_BOUNDARY_BOUNDARY	reciprocal exponential comparison and Z2-graded transition algebra	NO_UNIQUE_BRANCH_DECISION	udt_global_coframe_cocycle_audit_2026-07-20/AUDIT_REPORT.md	NONSELECTING_IN_CURRENT_REGISTRY
RECIPROCITY	FC02_ONE_CAP_BOUNDARY	reciprocal exponential comparison and Z2-graded transition algebra	NO_UNIQUE_BRANCH_DECISION	udt_global_coframe_cocycle_audit_2026-07-20/AUDIT_REPORT.md	NONSELECTING_IN_CURRENT_REGISTRY
RECIPROCITY	FC03_TWO_CAP_P0	reciprocal exponential comparison and Z2-graded transition algebra	NO_UNIQUE_BRANCH_DECISION	udt_global_coframe_cocycle_audit_2026-07-20/AUDIT_REPORT.md	NONSELECTING_IN_CURRENT_REGISTRY
RECIPROCITY	FC04_TWO_CAP_P1	reciprocal exponential comparison and Z2-graded transition algebra	NO_UNIQUE_BRANCH_DECISION	udt_global_coframe_cocycle_audit_2026-07-20/AUDIT_REPORT.md	NONSELECTING_IN_CURRENT_REGISTRY
RECIPROCITY	FC05_TWO_CAP_P_GT1	reciprocal exponential comparison and Z2-graded transition algebra	NO_UNIQUE_BRANCH_DECISION	udt_global_coframe_cocycle_audit_2026-07-20/AUDIT_REPORT.md	NONSELECTING_IN_CURRENT_REGISTRY
RECIPROCITY	FC06_NONPRIMITIVE_CAP	reciprocal exponential comparison and Z2-graded transition algebra	NO_UNIQUE_BRANCH_DECISION	udt_global_coframe_cocycle_audit_2026-07-20/AUDIT_REPORT.md	NONSELECTING_IN_CURRENT_REGISTRY
RECIPROCITY	FC07_PERIODIC_TORUS_BUNDLE	reciprocal exponential comparison and Z2-graded transition algebra	NO_UNIQUE_BRANCH_DECISION	udt_global_coframe_cocycle_audit_2026-07-20/AUDIT_REPORT.md	NONSELECTING_IN_CURRENT_REGISTRY
RECIPROCITY	FC08_MIRROR_DOUBLE	reciprocal exponential comparison and Z2-graded transition algebra	CONSTRAINS_TRANSITION_PARITY_BUT_DOES_NOT_SELECT_LIFT_OR_COVER	udt_global_coframe_cocycle_audit_2026-07-20/AUDIT_REPORT.md	NONSELECTING_IN_CURRENT_REGISTRY
RECIPROCITY	FC09_NONORIENTABLE_GLUE	reciprocal exponential comparison and Z2-graded transition algebra	NO_UNIQUE_BRANCH_DECISION	udt_global_coframe_cocycle_audit_2026-07-20/AUDIT_REPORT.md	NONSELECTING_IN_CURRENT_REGISTRY
RECIPROCITY	FC10_STRATIFIED_PROJECTOR	reciprocal exponential comparison and Z2-graded transition algebra	NO_UNIQUE_BRANCH_DECISION	udt_global_coframe_cocycle_audit_2026-07-20/AUDIT_REPORT.md	NONSELECTING_IN_CURRENT_REGISTRY
RECIPROCITY	FC11_NONINTEGRABLE_DISTRIBUTION	reciprocal exponential comparison and Z2-graded transition algebra	NO_UNIQUE_BRANCH_DECISION	udt_global_coframe_cocycle_audit_2026-07-20/AUDIT_REPORT.md	NONSELECTING_IN_CURRENT_REGISTRY
RECIPROCITY	FC12_RECIPROCAL_TORIC_DIAGONAL	reciprocal exponential comparison and Z2-graded transition algebra	COMPATIBLE_RATIO_STRUCTURE_NOT_GLOBAL_SELECTION	udt_global_coframe_cocycle_audit_2026-07-20/AUDIT_REPORT.md	NONSELECTING_IN_CURRENT_REGISTRY
CSN	FC01_BOUNDARY_BOUNDARY	positive common scale is calibration before material scale selection	NO_UNIQUE_BRANCH_DECISION	angular_toric_closure_selector_2026-07-19/AUDIT_REPORT.md	NONSELECTING_IN_CURRENT_REGISTRY
CSN	FC02_ONE_CAP_BOUNDARY	positive common scale is calibration before material scale selection	NO_UNIQUE_BRANCH_DECISION	angular_toric_closure_selector_2026-07-19/AUDIT_REPORT.md	NONSELECTING_IN_CURRENT_REGISTRY
CSN	FC03_TWO_CAP_P0	positive common scale is calibration before material scale selection	NO_UNIQUE_BRANCH_DECISION	angular_toric_closure_selector_2026-07-19/AUDIT_REPORT.md	NONSELECTING_IN_CURRENT_REGISTRY
CSN	FC04_TWO_CAP_P1	positive common scale is calibration before material scale selection	NO_UNIQUE_BRANCH_DECISION	angular_toric_closure_selector_2026-07-19/AUDIT_REPORT.md	NONSELECTING_IN_CURRENT_REGISTRY
CSN	FC05_TWO_CAP_P_GT1	positive common scale is calibration before material scale selection	NO_UNIQUE_BRANCH_DECISION	angular_toric_closure_selector_2026-07-19/AUDIT_REPORT.md	NONSELECTING_IN_CURRENT_REGISTRY
CSN	FC06_NONPRIMITIVE_CAP	positive common scale is calibration before material scale selection	NO_UNIQUE_BRANCH_DECISION	angular_toric_closure_selector_2026-07-19/AUDIT_REPORT.md	NONSELECTING_IN_CURRENT_REGISTRY
