identity_id	family_id	motif	selection_sha256	nodes_33_samples	nodes_65_samples	nodes_129_samples	intertwining_residual_129	metric_isometry_residual_129	kato_metric_skew_residual_129	kato_commutator_residual_129	refinement_33_65	refinement_65_129	transport_matrix_sha256	transport_status	error
B0_V007_M7	M01_R	FOUR_LINES	000787e38b82387f6913ca62c3a2b0ea68d36b808ce3bf221cebe0a7b0191def	65	129	257	6.3503924341290485e-11	2.8232686901654115e-10	2.2869236149376346e-07	9.575514747783842e-08	7.5415152178514621e-10	2.3589468373235355e-10	7601bddc4aecbfb176f0bacaa9ade1aca0528cbe40b60fd15f1eb15d3af1296a	DENSE_TRANSPORT_NUMERIC_MARGIN_RETAINED	-
B3_R04_3_MD	M02_H	FOUR_LINES	219ff64efa1edaed73d926f4dee29f54b162c1bac48f33c8790d4a92ab7a1c03	65	129	257	1.5638932790600946e-08	5.5953548642440322e-10	5.7920620063923315e-07	4.0106216214752521e-07	2.1507625677809085e-06	1.386595251839773e-07	36f1ca0d23b555cd6d1c4713056d84fcef0022bf79b6daf223da6d4dbee48075	DENSE_TRANSPORT_NUMERIC_MARGIN_RETAINED	-
B0_V012_M1	M03_R_H	FOUR_LINES	01e85bbc269d0a7276ccf03cc2571c00b77d3f8b6cff350f7a9f98a5a53fe14a	65	129	257	1.5540665055659583e-10	1.9785466950181035e-10	7.053480986737419e-08	9.5211736984965236e-08	4.2509460351905829e-10	3.5563823927243627e-10	dcd19382ac9c57cfcf6b6cb192f64a33dcf803082d8ff0cdbda14209bcd111f1	DENSE_TRANSPORT_PASS	-
B2_R08_1_M1	M05_R_D	FOUR_LINES	0004a2ebe7112ed99c2783cc0ee2b39b022589ae0663889669257edc4541b939	65	129	257	5.1684745372426733e-10	4.4252589230583814e-10	1.4819534892215821e-07	2.3544239364896302e-07	1.6812683191188389e-09	1.1410656120143719e-09	e6638cbefc4b53f592915abb181b63bfc3cfb6a503a7968f1850edbe98de62cb	DENSE_TRANSPORT_NUMERIC_MARGIN_RETAINED	-
B1_R04_1_M5	M07_R_H_D	FOUR_LINES	0102c491e1f2f32527c17e3091e99765c3cd44faee93940ba7e6875f11126b87	65	129	257	5.2723714283331446e-11	4.4080542745802348e-10	1.2871989026555849e-07	1.9546674780157591e-07	6.2796147979827624e-10	2.1867921867817934e-10	e3faed4c59eb61c5fae69747e2d682c74a3c3ad98816d14b2afcaad074a149b3	DENSE_TRANSPORT_PASS	-
B2_V008_MD	M03_R_H	FULL_IRREDUCIBLE_4	006ea69be8c0433c1d69ad57300fffa8f28ad443be45222e5023f6423e7d77b9	65	129	257	2.2204460492503131e-16	7.8599912685095364e-15	0	0	1.056402352415514e-12	6.4643317159964475e-14	c8eb9a752e7780481068a0d19015b73e766cf8763f1b316dc8b69f921e5dc7a6	DENSE_TRANSPORT_PASS	-
B3_R04_3_M9	M05_R_D	FULL_IRREDUCIBLE_4	000c478334ad80a23b8f8b41b622dc8360349a6b4e2aeedc0e82548e043d8453	65	129	257	2.2204460492503131e-16	1.7466647263354526e-15	0	0	5.9712027464101676e-14	4.5280060885612202e-15	0f3c2da6cb13b10711ffbb47987b4fc19216e0bd75883d2c75647b9ac1cc6f5f	DENSE_TRANSPORT_PASS	-
B1_R05_3_ME	M06_H_D	FULL_IRREDUCIBLE_4	001cc3cfbf500cfe135c5cbc25207bd61d23bca59901c1af452891cd9be7cd2b	65	129	257	3.3306690738754696e-16	1.8936992050136691e-15	0	0	1.0672651345512566e-12	6.6826803854353127e-14	03861f0c938f2db0b1d0e6278b5d449c5bdd4d61ea1dc99f4f5d22053cf862f6	DENSE_TRANSPORT_PASS	-
B0_R15_1_M8	M07_R_H_D	FULL_IRREDUCIBLE_4	003775b2209f1dd5220c8fb75b5b3e018306d4814155767bf3da803d4e8ac9d4	65	129	257	0	0	0	0	0	0	2163c9d76567ed72097e8c4d524c30a2163c6be4ef7565c48b3eb350242b07ae	DENSE_TRANSPORT_PASS	-
B1_R12_3_M7	M08_RG	FULL_IRREDUCIBLE_4	0011172707ec9f65566c3e12436318b4f943f060e8ff0cdef290f70ec3945d33	65	129	257	2.2204460492503131e-16	9.4367054612461654e-15	0	0	2.0641477778550912e-12	1.2904218065252278e-13	8b6bd5a2432c7353b6d2636ed7c63b77e820f17b82b8c3ccc59f04c60276606c	DENSE_TRANSPORT_PASS	-
