motif	frozen_stable_path_count	completion_id	local_to_global_compatibility	toric_orbit_gate	sampled_all_node_integrable_candidates	global_selection
SCALAR_4_AMBIGUITY	11328	FC01_BOUNDARY_BOUNDARY	WHOLE_TANGENT_GEOMETRY_CAN_EXIST__NO_PROPER_PROJECTOR_BUNDLE	NO_INTRINSIC_TWO_LINE_TORIC_DISTRIBUTION	0	NOT_SELECTED_BY_LOCAL_MOTIF
SCALAR_4_AMBIGUITY	11328	FC02_ONE_CAP_BOUNDARY	WHOLE_TANGENT_GEOMETRY_CAN_EXIST__NO_PROPER_PROJECTOR_BUNDLE	NO_INTRINSIC_TWO_LINE_TORIC_DISTRIBUTION	0	NOT_SELECTED_BY_LOCAL_MOTIF
SCALAR_4_AMBIGUITY	11328	FC03_TWO_CAP_P0	WHOLE_TANGENT_GEOMETRY_CAN_EXIST__NO_PROPER_PROJECTOR_BUNDLE	NO_INTRINSIC_TWO_LINE_TORIC_DISTRIBUTION	0	NOT_SELECTED_BY_LOCAL_MOTIF
SCALAR_4_AMBIGUITY	11328	FC04_TWO_CAP_P1	WHOLE_TANGENT_GEOMETRY_CAN_EXIST__NO_PROPER_PROJECTOR_BUNDLE	NO_INTRINSIC_TWO_LINE_TORIC_DISTRIBUTION	0	NOT_SELECTED_BY_LOCAL_MOTIF
SCALAR_4_AMBIGUITY	11328	FC05_TWO_CAP_P_GT1	WHOLE_TANGENT_GEOMETRY_CAN_EXIST__NO_PROPER_PROJECTOR_BUNDLE	NO_INTRINSIC_TWO_LINE_TORIC_DISTRIBUTION	0	NOT_SELECTED_BY_LOCAL_MOTIF
SCALAR_4_AMBIGUITY	11328	FC06_NONPRIMITIVE_CAP	WHOLE_TANGENT_GEOMETRY_CAN_EXIST__NO_PROPER_PROJECTOR_BUNDLE	NO_INTRINSIC_TWO_LINE_TORIC_DISTRIBUTION	0	NOT_SELECTED_BY_LOCAL_MOTIF
SCALAR_4_AMBIGUITY	11328	FC07_PERIODIC_TORUS_BUNDLE	WHOLE_TANGENT_GEOMETRY_CAN_EXIST__NO_PROPER_PROJECTOR_BUNDLE	NO_INTRINSIC_TWO_LINE_TORIC_DISTRIBUTION	0	NOT_SELECTED_BY_LOCAL_MOTIF
SCALAR_4_AMBIGUITY	11328	FC08_MIRROR_DOUBLE	WHOLE_TANGENT_GEOMETRY_CAN_EXIST__NO_PROPER_PROJECTOR_BUNDLE	NO_INTRINSIC_TWO_LINE_TORIC_DISTRIBUTION	0	NOT_SELECTED_BY_LOCAL_MOTIF
SCALAR_4_AMBIGUITY	11328	FC09_NONORIENTABLE_GLUE	WHOLE_TANGENT_GEOMETRY_CAN_EXIST__NO_PROPER_PROJECTOR_BUNDLE	NO_INTRINSIC_TWO_LINE_TORIC_DISTRIBUTION	0	NOT_SELECTED_BY_LOCAL_MOTIF
SCALAR_4_AMBIGUITY	11328	FC10_STRATIFIED_PROJECTOR	WHOLE_TANGENT_GEOMETRY_CAN_EXIST__NO_PROPER_PROJECTOR_BUNDLE	NO_INTRINSIC_TWO_LINE_TORIC_DISTRIBUTION	0	NOT_SELECTED_BY_LOCAL_MOTIF
