criterion	covered	open_or_dropped
FIELDS	founded_pair_phi_and_full_GL2_screen_in_bounded_control	pair_screen_offblocks_other_fields_and_matter
ACTION_TERMS	none_loaded	complete_native_action_and_boundary_terms
FULL_EQUATIONS	no_equation_claim_only_exact_kinematic_and_global_geometry	all_native_variations_and_dynamics
DOMAIN_COORDINATES	stationary_R_times_S3_control_plus_registered_toric_interval_taxonomy	time_live_and_all_other_complete_four_geometries
BOUNDARY_REGULARITY	primitive_caps_finite_boundaries_no_caps_and_descent_gates	physical_finite_cell_boundary_functional
TOPOLOGY	S3_lens_det_zero_orbifold_periodic_and_nontoric_classes_visible	physical_topology_selection
DYNAMICAL_CHARACTER	stationary_off_shell_only	nonstationary_E0P_and_evolution
BRANCH_BIFURCATION	full_screen_toric_contact_and_countermodel_strata	complete_on_shell_branch_space
STABILITY	unchanged_conditional_static_Hopfion_evidence_only	stability_of_geometric_quotient_and_time_live_persistence
REGIME_OF_VALIDITY	static_global_full_screen_compatibility_and_selector_regrade	generic_metric_action_source_density_mass_and_observation
