premise_id	object	provenance_tag	status_for_audit	source_or_reason	open_scope
P01	founded_phi_identity	pinned-by-THEORY	DERIVED_ADDITIVE_RECIPROCAL_DEPTH	CURRENT_SCIENTIFIC_PREMISES:G01	physical_assignment_profile_and_complete_extension
P02	founded_pair_action	pinned-by-THEORY	DIAG_EXP_MINUS_PLUS_PHI	CURRENT_SCIENTIFIC_PREMISES:G02	angular_extension_and_mixing
P03	c_E	pinned-by-OBSERVATION	CALIBRATION_RETAINED	CURRENT_SCIENTIFIC_PREMISES:G06	native_absolute_scale_closure
P04	strong_local_CSN	free-and-explored	INACTIVE_EXCEPT_ALGEBRAIC_COMMON_FACTOR_CANCELLATION	CURRENT_SCIENTIFIC_PREMISES:G04-G05	no_local_Weyl_gauge_theorem
P05	general_screen_P	free-and-explored	FULL_SMOOTH_GL2_INTERIOR	general_screen_complete_cell_atlas:S01-S04	physical_screen_selection
P06	screen_metric_h	pinned-by-THEORY	P_TRANSPOSE_P_THREE_METRIC_DOF	general_screen_complete_cell_atlas:S01-S02	direct_pair_screen_offblocks
P07	local_O2_coframe_angle	free-and-explored	GAUGE_NOT_METRIC_DOF	general_screen_complete_cell_atlas:S01	global_transition_data
P08	stationarity	pinned-by-HABIT	BOUNDED_CONTROL_ONLY	general_screen_complete_cell_atlas:clarification	E0P_and_time_live
P09	block_screen_R_times_S3	pinned-by-HABIT	CHOSE_EXISTENCE_CONTROL	general_screen_complete_cell_atlas:S04	other_complete_coframes_and_topologies
P10	Maurer_Cartan_kappa_nonzero	pinned-by-THEORY_WITHIN_CONTROL	REGISTERED_TWISTED_S3	general_screen_complete_cell_atlas:EXACT_DERIVATION	physical_topology_selection
P11	phi_profile	free-and-explored	ARBITRARY_SMOOTH_FINITE_ON_CONTROL	bounded_configuration_family	field_equation_or_selection
P12	T2_action_and_periods	free-and-explored	CONDITIONAL_SUBFAMILY_NOT_FOUNDATION	angular_toric_selector:T02	metric_native_toric_reduction
P13	cap_cycles	free-and-explored	ALL_PRIMITIVE_PAIRS_AND_NO_CAP_CASES	angular_toric_selector:T04-T08	physical_boundary_completion
P14	circle_generator	free-and-explored	ALL_PRIMITIVE_WEIGHTS	angular_toric_selector:T12-T14	native_quotient_selection
P15	orientation_and_chirality	free-and-explored	BOTH_SIGNS_RETAINED	angular_toric_selector:T13	physical_orientation_rule
P16	round_S2_carrier	pinned-by-HABIT	NOT_USED_AS_SELECTION_CRITERION	CURRENT_SCIENTIFIC_PREMISES:G09	carrier_emergence_or_replacement
P17	finite_cell	pinned-by-THEORY	CURRENT_BOUNDARY_SCOPE_ONLY	angular_toric_selector:T15	transverse_cap_and_boundary_functional
P18	bootstrap	pinned-by-THEORY	WORKING_ON_SHELL_ADMISSIBILITY_ONLY	CURRENT_SCIENTIFIC_PREMISES:G12	complete_response_and_fixed_point
P19	action_source_boundary_density_mass	pinned-by-THEORY	OPEN_NOT_LOADED	CURRENT_SCIENTIFIC_PREMISES:G16	all_complete_physics
P20	pair_screen_metric_offblocks	free-and-explored	DROPPED_OPEN	bounded_dispatch	nonblock_metric_family
P21	E0P	free-and-explored	DROPPED_OPEN	bounded_dispatch	nonstationary_first_jet
P22	Hopfion_resemblance_or_unit_charge	pinned-by-METHOD	NOT_AN_ACCEPTANCE_FILTER	solution_space_not_imposition	later_physical_interpretation
