id	mutation	expected	actual	status
F01	set_metric_dof_to_2	REJECT_F01	REJECT_F01	PASS
F02	count_coframe_gauge_as_second_metric_mode	REJECT_F02	REJECT_F02	PASS
F03	promote_arbitrary_screen_to_toric	REJECT_F03	REJECT_F03	PASS
F04	remove_nontoric_completion_row	REJECT_F04	REJECT_F04	PASS
F05	drop_general_P_contact_identity	REJECT_F05	REJECT_F05	PASS
F06	promote_contact_to_periodic	REJECT_F06	REJECT_F06	PASS
F07	reverse_Reeb_screen_component	REJECT_F07	REJECT_F07	PASS
F08	promote_coframe_form_to_all_screen_metric_invariant	REJECT_F08	REJECT_F08	PASS
F09	remove_fiber_equivariance_descent_gate	REJECT_F09	REJECT_F09	PASS
F10	make_connection_depend_on_common_scale	REJECT_F10	REJECT_F10	PASS
F11	treat_nonprimitive_cap_as_smooth	REJECT_F11	REJECT_F11	PASS
F12	corrupt_cap_determinant	REJECT_F12	REJECT_F12	PASS
F13	claim_mirror_family_is_unit	REJECT_F13	REJECT_F13	PASS
F14	weaken_free_cap_condition	REJECT_F14	REJECT_F14	PASS
F15	remove_standard_S3_free_class	REJECT_F15	REJECT_F15	PASS
F16	remove_lens_p4_witness	REJECT_F16	REJECT_F16	PASS
F17	corrupt_free_bundle_Chern_magnitude	REJECT_F17	REJECT_F17	PASS
F18	make_shear_change_fixed_bundle_class	REJECT_F18	REJECT_F18	PASS
F19	invent_canonical_real_screen_line	REJECT_F19	REJECT_F19	PASS
F20	promote_smooth_quotient_to_round	REJECT_F20	REJECT_F20	PASS
F21	promote_projection_to_carrier_space	REJECT_F21	REJECT_F21	PASS
F22	promote_connection_to_action	REJECT_F22	REJECT_F22	PASS
F23	close_T18_gate_chain	REJECT_F23	REJECT_F23	PASS
F24	invent_bootstrap_topology_selector	REJECT_F24	REJECT_F24	PASS
F25	erase_countermodels	REJECT_F25	REJECT_F25	PASS
F26	promote_beyond_fixed_bounded_scope	REJECT_F26	REJECT_F26	PASS
F27	erase_prior_N22_regrade	REJECT_F27	REJECT_F27	PASS
F28	claim_native_carrier_selection	REJECT_F28	REJECT_F28	PASS
F29	corrupt_fixed_source_sha256	REJECT_F29	REJECT_F29	PASS
F30	change_unrelated_dirty_identity	REJECT_F30	REJECT_F30	PASS
F31	regress_founded_phi_status	REJECT_F31	REJECT_F31	PASS
F32	fail_frozen_manifest_gate	REJECT_F32	REJECT_F32	PASS
