id	layer	object	classification	basis	remaining_open
R01	FULL_SCREEN	area_plus_two_shears	SURVIVES_ALL_FULL_SCREENS	h=P^T_P	physical_screen
R02	FULL_SCREEN	canonical_oriented_J	SURVIVES_ALL_FULL_SCREENS	J_h_squared_minus_I	no_real_line_or_circle_selected
R03	SYMMETRY	T2_reduction	SURVIVES_TORIC_INVARIANT_SUBFAMILY_ONLY	general_P_can_break_T2	native_global_symmetry
R04	CONTACT	theta1_contact_and_Reeb	SURVIVES_ALL_FULL_SCREENS	t1_nonzero_for_all_invertible_P	metric_ownership_and_periodicity
R05	CONTACT	unnormalized_theta1_free_circle	COUNTERMODEL_FAMILY_PRESENT	irrational_Reeb_slope	regularity_rule
R06	CONTACT	alpha0=exp_minus_phi_theta1	CONDITIONAL_TOPOLOGICAL_CLASS_INDEPENDENT_OF_SCREEN_SHAPE	alpha0=sigma3	selected_S3_coframe_and_pair_normalization
R07	TORIC_CONNECTION	A_h_w	SURVIVES_TORIC_INVARIANT_SUBFAMILY_ONLY	h_w_over_hww	w_selection
R08	TORIC_CONNECTION	common_scale_cancellation	SURVIVES_ALL_FULL_SCREENS	A_Omega2h=A_h	physical_scale_status_not_changed
R09	TOPOLOGY	fixed_bundle_Chern_class	CONDITIONAL_TOPOLOGICAL_CLASS_INDEPENDENT_OF_SCREEN_SHAPE	free_cap_lattice	cap_and_fiber_selection
R10	TOPOLOGY	unit_Hopf_class	SURVIVES_REGULAR_CONTACT_SUBFAMILY_ONLY	S3_plus_free_circle	global_branch_selection
R11	TOPOLOGY	unit_class_uniqueness_across_completions	COUNTERMODEL_FAMILY_PRESENT	L_p_1_has_abs_c1_p	topology_ranking
R12	MIRROR	exchange_selects_p1	COUNTERMODEL_FAMILY_PRESENT	mirror_odd_p_free_family	cap_rule
R13	DESCENT	quotient_metric	SURVIVES_TORIC_INVARIANT_SUBFAMILY_ONLY	Schur_complement	roundness_and_P_equivariance
R14	CARRIER	bundle_projection_equals_carrier	BLOCKED_BY_MISSING_NATIVE_SELECTOR	one_projection_not_full_map_space	section_deformation_and_action
N22	OVERALL	metric_to_Hopf_bridge	SUPERSEDED_OR_REFINED	depth_normalized_contact_Hopf_bundle_survives_full_screen_on_chosen_S3	complete_coframe_selection_metric_descent_carrier_action
T18	OVERALL	angular_toric_gate_chain	SUPERSEDED_OR_REFINED	toric_and_contact_routes_separate_then_require_global_regular_free_completion_and_descent	native_global_selector
