id	failure_condition	required_response
F01	a_screen_shear_is_silently_fixed_or_dropped	FAIL_FULL_SCREEN
F02	local_O2_coframe_rotation_is_counted_as_a_metric_mode	FAIL_DOF
F03	arbitrary_GL2_screen_is_called_toric_without_an_effective_T2_action	FAIL_TORIC_ASSUMPTION
F04	nontoric_or_angle_dependent_screens_are_filtered_out	FAIL_COMPLETENESS
F05	the_twisted_S3_contact_identity_is_not_checked_for_general_P	FAIL_CONTACT
F06	contact_is_promoted_to_periodic_or_free_Reeb_flow	FAIL_PERIODICITY
F07	the_general_Reeb_formula_fails_direct_contraction	FAIL_REEB
F08	the_chosen_ruler_contact_form_is_called_frame_independent_without_a_gate	FAIL_FRAME_SCOPE
F09	a_quotient_metric_is_claimed_without_Reeb_or_circle_invariance_of_h	FAIL_DESCENT
F10	positive_common_screen_scale_changes_the_normalized_connection	FAIL_SCALE_CANCELLATION
F11	nonprimitive_cap_cycles_are_treated_as_smooth_manifold_caps	FAIL_CAP_REGULARITY
F12	p_not_equal_abs_det_of_primitive_cap_cycles	FAIL_TORIC_LATTICE
F13	mirror_exchange_is_claimed_to_force_p_equal_one	FAIL_MIRROR_COUNTERMODEL
F14	free_circle_action_does_not_require_abs_det_vminus_w_and_abs_det_vplus_w_equal_one	FAIL_FREE_ACTION
F15	S3_free_weight_classification_is_not_reproduced	FAIL_S3_WEIGHTS
F16	lens_L_p_1_free_circle_bundle_family_is_omitted	FAIL_LENS_FAMILY
F17	Chern_magnitude_or_sign_disagrees_with_cap_lattice_and_orientation	FAIL_CHERN
F18	full_screen_shape_is_claimed_to_change_a_fixed_bundle_topological_class	FAIL_TOPOLOGY
F19	shears_are_claimed_to_select_a_circle_generator_without_a_naturalness_proof	FAIL_SELECTOR
F20	a_smooth_quotient_is_promoted_to_a_round_target_metric	FAIL_ROUNDNESS
F21	a_canonical_quotient_map_is_promoted_to_Map_S3_S2_carrier_freedom	FAIL_CARRIER
F22	a_connection_or_curvature_is_promoted_to_L2_plus_L4_or_an_action	FAIL_ACTION
F23	T18_is_closed_without_toric_reduction_cap_and_quotient_gates	FAIL_GATE_CHAIN
F24	bootstrap_or_finite_cell_is_used_as_an_unregistered_topology_ranking_law	FAIL_BOOTSTRAP
F25	countermodels_are_rejected_for_not_resembling_the_universe_or_particle	FAIL_IMPOSITION
F26	the_result_is_promoted_beyond_stationary_block_screen_scope	FAIL_SCOPE
F27	old_N22_or_T18_conditional_witnesses_are_erased_instead_of_regraded	FAIL_PROVENANCE
F28	maximum_conclusion_claims_native_carrier_or_physical_selection	FAIL_OVERCLAIM
F29	a_load_bearing_fixed_base_source_hash_or_blob_mismatches	FAIL_SOURCE_FREEZE
F30	an_unrelated_dirty_path_is_opened_modified_or_staged	FAIL_DIRTY_PRESERVATION
F31	current_phi_CSN_action_bootstrap_or_carrier_premise_regresses	FAIL_PREMISE_REGISTRY
F32	frozen_manifests_navigation_or_test_baseline_regresses	FAIL_REPOSITORY_GATES
