left_rate	right_rate	relation	R00	R01	R02	R03	R11	R12	R13	R22	R23	R33
d0_phi	d0_phi	SELF	-4	0	0	0	4	0	0	0	0	0
d0_phi	d0_sigma	CROSS	-1	0	0	0	1	0	0	1	0	1
d0_phi	d0_alpha	CROSS	0	0	0	0	0	0	0	-2	0	2
d0_phi	d0_k	CROSS	0	0	0	0	0	0	0	0	1	0
d0_phi	d1_sigma	CROSS	0	1	0	0	0	0	0	0	0	0
d0_sigma	d0_sigma	SELF	-1	0	0	0	0	0	0	1	0	1
d0_sigma	d0_alpha	CROSS	0	0	0	0	0	0	0	-1	0	1
d0_sigma	d0_k	CROSS	0	0	0	0	0	0	0	0	1/2	0
d0_sigma	d0_S11	CROSS	0	0	0	0	0	1	0	0	0	0
d0_sigma	d0_S21	CROSS	0	0	0	0	0	0	1	0	0	0
d0_sigma	d1_phi	CROSS	0	-1	0	0	0	0	0	0	0	0
d0_sigma	d1_sigma	CROSS	0	-1/2	0	0	0	0	0	0	0	0
d0_sigma	d1_S10	CROSS	0	0	0	0	0	-1	0	0	0	0
d0_sigma	d1_S20	CROSS	0	0	0	0	0	0	-1	0	0	0
d0_alpha	d0_alpha	SELF	-4	0	0	0	0	0	0	0	0	0
d0_alpha	d0_k	CROSS	0	0	0	0	0	0	0	0	-2	0
d0_alpha	d0_S11	CROSS	0	0	0	0	0	-1	0	0	0	0
d0_alpha	d0_S21	CROSS	0	0	0	0	0	0	1	0	0	0
d0_alpha	d1_alpha	CROSS	0	-2	0	0	0	0	0	0	0	0
d0_alpha	d1_S10	CROSS	0	0	0	0	0	1	0	0	0	0
d0_alpha	d1_S20	CROSS	0	0	0	0	0	0	-1	0	0	0
d0_k	d0_k	SELF	-1	0	0	0	0	0	0	-1	0	1
d0_k	d0_S11	CROSS	0	0	0	0	0	0	1/2	0	0	0
d0_k	d0_S21	CROSS	0	0	0	0	0	1/2	0	0	0	0
d0_k	d1_k	CROSS	0	-1/2	0	0	0	0	0	0	0	0
d0_k	d1_S10	CROSS	0	0	0	0	0	0	-1/2	0	0	0
d0_k	d1_S20	CROSS	0	0	0	0	0	-1/2	0	0	0	0
d0_S11	d0_S11	SELF	-1	0	0	0	1	0	0	-1	0	0
d0_S11	d0_S21	CROSS	0	0	0	0	0	0	0	0	-1/2	0
d0_S11	d1_sigma	CROSS	0	0	1	0	0	0	0	0	0	0
d0_S11	d1_alpha	CROSS	0	0	-1	0	0	0	0	0	0	0
d0_S11	d1_k	CROSS	0	0	0	1/2	0	0	0	0	0	0
d0_S11	d1_S10	CROSS	1	0	0	0	-1	0	0	1	0	0
d0_S11	d1_S20	CROSS	0	0	0	0	0	0	0	0	1/2	0
d0_S21	d0_S21	SELF	-1	0	0	0	1	0	0	0	0	-1
d0_S21	d1_sigma	CROSS	0	0	0	1	0	0	0	0	0	0
d0_S21	d1_alpha	CROSS	0	0	0	1	0	0	0	0	0	0
d0_S21	d1_k	CROSS	0	0	1/2	0	0	0	0	0	0	0
d0_S21	d1_S10	CROSS	0	0	0	0	0	0	0	0	1/2	0
d0_S21	d1_S20	CROSS	1	0	0	0	-1	0	0	0	0	1
d1_phi	d1_phi	SELF	4	0	0	0	-4	0	0	0	0	0
d1_phi	d1_sigma	CROSS	-1	0	0	0	1	0	0	1	0	1
d1_phi	d1_alpha	CROSS	0	0	0	0	0	0	0	-2	0	2
d1_phi	d1_k	CROSS	0	0	0	0	0	0	0	0	1	0
d1_sigma	d1_sigma	SELF	0	0	0	0	-1	0	0	-1	0	-1
d1_sigma	d1_alpha	CROSS	0	0	0	0	0	0	0	1	0	-1
d1_sigma	d1_k	CROSS	0	0	0	0	0	0	0	0	-1/2	0
d1_sigma	d1_S10	CROSS	0	0	-1	0	0	0	0	0	0	0
d1_sigma	d1_S20	CROSS	0	0	0	-1	0	0	0	0	0	0
d1_alpha	d1_alpha	SELF	0	0	0	0	-4	0	0	0	0	0
d1_alpha	d1_k	CROSS	0	0	0	0	0	0	0	0	2	0
d1_alpha	d1_S10	CROSS	0	0	1	0	0	0	0	0	0	0
d1_alpha	d1_S20	CROSS	0	0	0	-1	0	0	0	0	0	0
d1_k	d1_k	SELF	0	0	0	0	-1	0	0	1	0	-1
d1_k	d1_S10	CROSS	0	0	0	-1/2	0	0	0	0	0	0
d1_k	d1_S20	CROSS	0	0	-1/2	0	0	0	0	0	0	0
d1_S10	d1_S10	SELF	-1	0	0	0	1	0	0	-1	0	0
d1_S10	d1_S20	CROSS	0	0	0	0	0	0	0	0	-1/2	0
d1_S20	d1_S20	SELF	-1	0	0	0	1	0	0	0	0	-1
