output_id	phi	sigma	alpha	k	S10	S11	S20	S21
O01	DIRECT_RECIPROCAL	ZERO_EXACT	ZERO_EXACT	ZERO_EXACT	ZERO_EXACT	ZERO_EXACT	ZERO_EXACT	ZERO_EXACT
O02	ZERO_EXACT	DIRECT	ZERO_EXACT	ZERO_EXACT	ZERO_EXACT	ZERO_EXACT	ZERO_EXACT	ZERO_EXACT
O03	DIRECT	DIRECT	ZERO_EXACT	ZERO_EXACT	ZERO_EXACT	ZERO_EXACT	ZERO_EXACT	ZERO_EXACT
O04	ZERO_EXACT	ZERO_EXACT	DIRECT	DIRECT	ZERO_EXACT	ZERO_EXACT	ZERO_EXACT	ZERO_EXACT
O05	ZERO_EXACT	DIRECT	ZERO_EXACT	ZERO_EXACT	ZERO_EXACT	ZERO_EXACT	ZERO_EXACT	ZERO_EXACT
O06	ZERO_EXACT	ZERO_EXACT	ZERO_EXACT	ZERO_EXACT	DIRECT_GAUGE_COMPONENT	DIRECT_GAUGE_COMPONENT	DIRECT_GAUGE_COMPONENT	DIRECT_GAUGE_COMPONENT
O07	ZERO_EXACT	ZERO_EXACT	ZERO_EXACT	ZERO_EXACT	DERIVATIVE_GAUGE_INVARIANT	DERIVATIVE_GAUGE_INVARIANT	DERIVATIVE_GAUGE_INVARIANT	DERIVATIVE_GAUGE_INVARIANT
O08	ZERO_EXACT	ZERO_EXACT	PIECEWISE_SET_VALUED	PIECEWISE_SET_VALUED	ZERO_EXACT	ZERO_EXACT	ZERO_EXACT	ZERO_EXACT
O09	SELF_AND_DERIVATIVE	D04_GENERAL_DPHI_ONLY	D04_GENERAL_DPHI_ONLY	D04_GENERAL_DPHI_ONLY	D04_GENERAL_DPHI_ONLY	D04_GENERAL_DPHI_ONLY	D04_GENERAL_DPHI_ONLY	D04_GENERAL_DPHI_ONLY
O10	SELF_AND_DERIVATIVE	D04_GENERAL_DPHI_ONLY	D04_GENERAL_DPHI_ONLY	D04_GENERAL_DPHI_ONLY	D04_GENERAL_DPHI_ONLY	D04_GENERAL_DPHI_ONLY	D04_GENERAL_DPHI_ONLY	D04_GENERAL_DPHI_ONLY
O11	DERIVATIVE_COUPLING_CENSUSED	DERIVATIVE_COUPLING_CENSUSED	DERIVATIVE_COUPLING_CENSUSED	DERIVATIVE_COUPLING_CENSUSED	DERIVATIVE_COUPLING_CENSUSED	DERIVATIVE_COUPLING_CENSUSED	DERIVATIVE_COUPLING_CENSUSED	DERIVATIVE_COUPLING_CENSUSED
O12	CONDITIONAL_THROUGH_CURVATURE_AND_BOUNDARY	CONDITIONAL_THROUGH_CURVATURE_AND_BOUNDARY	CONDITIONAL_THROUGH_CURVATURE_AND_BOUNDARY	CONDITIONAL_THROUGH_CURVATURE_AND_BOUNDARY	CONDITIONAL_THROUGH_CURVATURE_AND_BOUNDARY	CONDITIONAL_THROUGH_CURVATURE_AND_BOUNDARY	CONDITIONAL_THROUGH_CURVATURE_AND_BOUNDARY	CONDITIONAL_THROUGH_CURVATURE_AND_BOUNDARY
O13	DIRECT	DIRECT	DIRECT	DIRECT	DIRECT_TANGENTIAL	ZERO_EXACT	DIRECT_TANGENTIAL	ZERO_EXACT
O14	DERIVATIVE_AND_FUNCTIONAL_DEPENDENT	DERIVATIVE_AND_FUNCTIONAL_DEPENDENT	DERIVATIVE_AND_FUNCTIONAL_DEPENDENT	DERIVATIVE_AND_FUNCTIONAL_DEPENDENT	DERIVATIVE_AND_FUNCTIONAL_DEPENDENT	DERIVATIVE_AND_FUNCTIONAL_DEPENDENT	DERIVATIVE_AND_FUNCTIONAL_DEPENDENT	DERIVATIVE_AND_FUNCTIONAL_DEPENDENT
O15	OBSERVER_PROTOCOL_OR_GLOBAL_PROFILE_DEPENDENT	OBSERVER_PROTOCOL_OR_GLOBAL_PROFILE_DEPENDENT	OBSERVER_PROTOCOL_OR_GLOBAL_PROFILE_DEPENDENT	OBSERVER_PROTOCOL_OR_GLOBAL_PROFILE_DEPENDENT	OBSERVER_PROTOCOL_OR_GLOBAL_PROFILE_DEPENDENT	OBSERVER_PROTOCOL_OR_GLOBAL_PROFILE_DEPENDENT	OBSERVER_PROTOCOL_OR_GLOBAL_PROFILE_DEPENDENT	OBSERVER_PROTOCOL_OR_GLOBAL_PROFILE_DEPENDENT
O16	DISCRETE_NOT_JACOBIAN	DISCRETE_NOT_JACOBIAN	DISCRETE_NOT_JACOBIAN	DISCRETE_NOT_JACOBIAN	DISCRETE_NOT_JACOBIAN	DISCRETE_NOT_JACOBIAN	DISCRETE_NOT_JACOBIAN	DISCRETE_NOT_JACOBIAN
