instrument	second_jet	status	R00	R01	R02	R03	R11	R12	R13	R22	R23	R33
phi	d00	NONZERO	-1	0	0	0	1	0	0	0	0	0
phi	d01	ZERO_EXACT	0	0	0	0	0	0	0	0	0	0
phi	d11	NONZERO	-1	0	0	0	1	0	0	0	0	0
sigma	d00	NONZERO	-1	0	0	0	0	0	0	1/2	0	1/2
sigma	d01	NONZERO	0	-1	0	0	0	0	0	0	0	0
sigma	d11	NONZERO	0	0	0	0	-1	0	0	-1/2	0	-1/2
alpha	d00	NONZERO	0	0	0	0	0	0	0	-1	0	1
alpha	d01	ZERO_EXACT	0	0	0	0	0	0	0	0	0	0
alpha	d11	NONZERO	0	0	0	0	0	0	0	1	0	-1
k	d00	NONZERO	0	0	0	0	0	0	0	0	1/2	0
k	d01	ZERO_EXACT	0	0	0	0	0	0	0	0	0	0
k	d11	NONZERO	0	0	0	0	0	0	0	0	-1/2	0
S10	d00	ZERO_EXACT	0	0	0	0	0	0	0	0	0	0
S10	d01	NONZERO	0	0	0	0	0	-1/2	0	0	0	0
S10	d11	NONZERO	0	0	-1/2	0	0	0	0	0	0	0
S11	d00	NONZERO	0	0	0	0	0	1/2	0	0	0	0
S11	d01	NONZERO	0	0	1/2	0	0	0	0	0	0	0
S11	d11	ZERO_EXACT	0	0	0	0	0	0	0	0	0	0
S20	d00	ZERO_EXACT	0	0	0	0	0	0	0	0	0	0
S20	d01	NONZERO	0	0	0	0	0	0	-1/2	0	0	0
S20	d11	NONZERO	0	0	0	-1/2	0	0	0	0	0	0
S21	d00	NONZERO	0	0	0	0	0	0	1/2	0	0	0
S21	d01	NONZERO	0	0	0	1/2	0	0	0	0	0	0
S21	d11	ZERO_EXACT	0	0	0	0	0	0	0	0	0	0
