rate	d0_phi	d0_sigma	d0_alpha	d0_k	d0_S10	d0_S11	d0_S20	d0_S21	d1_phi	d1_sigma	d1_alpha	d1_k	d1_S10	d1_S11	d1_S20	d1_S21
d0_phi	8	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0
d0_sigma	4	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0
d0_alpha	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0
d0_k	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
d0_S10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
d0_S11	0	0	0	0	0	1	0	0	0	0	0	0	-1	0	0	0
d0_S20	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
d0_S21	0	0	0	0	0	0	0	1	0	0	0	0	0	0	-1	0
d1_phi	0	0	0	0	0	0	0	0	-8	4	0	0	0	0	0	0
d1_sigma	0	0	0	0	0	0	0	0	4	-3	0	0	0	0	0	0
d1_alpha	0	0	0	0	0	0	0	0	0	0	-4	0	0	0	0	0
d1_k	0	0	0	0	0	0	0	0	0	0	0	-1	0	0	0	0
d1_S10	0	0	0	0	0	-1	0	0	0	0	0	0	1	0	0	0
d1_S11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
d1_S20	0	0	0	0	0	0	0	-1	0	0	0	0	0	0	1	0
d1_S21	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
