premise_id	object	status	use	not_supplied
P01	observer_frame_Reciprocity	FOUNDING_PINNED_BY_THEORY	founded_pair_and_no_preferred_frame	unrestricted_accelerated_micro_realization
P02	phi_reciprocal_pair_depth	DERIVED	clock_ruler_coframe_factors	physical_pair_profile_assignment
P03	observed_c_E	OBSERVED_ANCHOR	x0_equals_c_E_t_calibration	closure_selection
P04	observed_G	OBSERVED_ANCHOR	dimensional_context_only	native_mass_curvature_law
P05	block_triangular_complete_coframe	FREE_AND_EXPLORED_CHART	common_response_domain	physical_extension_selection
P06	integral_T2_angular_fiber	CONDITIONAL	lattice_connection_systole_outputs	selected_global_completion
P07	finite_x_interval_boundaries	FREE_AND_EXPLORED_FINITE_CELL	boundary_response_domain	seal_identity_or_boundary_functional
P08	fixed_torus_periods	CHOSE_FOR_DOMAIN	global lattice normalization	physical periods
P09	orientation_and_Lorentz_sign	PINNED_FOR_BRANCH	Hodge_and_metric_conventions	global orientation selection
P10	torus_invariant_fields_for_curvature	FREE_AND_EXPLORED_BOUNDED_SLICE	exact_complete_jet census	angularly_varying_curvature
P11	general_angular_dphi_components	FREE_AND_EXPLORED_LOCAL_EXTENSION	local_depth_norm coupling	global_same_branch_realization
P12	bootstrap_mutual_tuning	OWNER_STATED_WORKING	interpret typed R_geom target	physical A_and_R_maps
P13	scalar_extremization	OPEN_NOT_USED	rejected_as_unneeded_for_vector_closure	objective_ordering_weights
P14	native_energy_mass_density	OPEN_NOT_INPUT	authority boundary	functionals_sources_responses
P15	action_carrier_source	OPEN_NOT_INPUT	authority boundary	complete_physics
P16	curvature_scalar	METRIC_DERIVED_LOCAL_OBJECT	jet cross-response diagnostic	selected_global functional or equation
P17	moving_boundary_functional	OPEN_REQUIRED_FOR_CLOSURE	classify boundary types	polarization_corners_charge
P18	GPU_and_time_evolution	OUT_OF_SCOPE	zero runs	native_evolution_equations
