source_id	path	role	git_blob	sha256	size_bytes
S01	udt_founded_phi_complete_coframe_extension_audit_2026-07-25/AUDIT_REPORT.md	founded_phi_and_seven_parameter_complete_extension_class	3f134a87767bfeefbe98a8464ba115dfed788239	3c7fed27fae474c8718ffe8f09dad858c12b0aba068494e2a8248fe19f642783	5790
S02	udt_macro_phi_angular_xmax_extension_atlas_2026-07-25/EXACT_DERIVATION.md	complete_spatial_coframe_depth_norm_and_global_distance_channels	12cc9ba645398b19ebbd67a47395ffbc0f8df296	5202175a3ee9182a0bd3c108381a0d6f3f013c300164aa3242e4ca24c86fd2ae	5303
S03	udt_pre_density_substrate_response_atlas_2026-07-24/AUDIT_REPORT.md	angular_metric_lattice_connection_and_response_objects	ab23332f28e1a57ff44b662f222703408985ed1e	8f3a3947ce8421b53c95285266421f45df354c2bb5a6f96c6c5d6129e89f7d5a	8983
S04	udt_global_metric_assembly_atlas_2026-07-22/AUDIT_REPORT.md	transport_completion_holonomy_and_global_domain_limits	41ae13b2d01794988ce8a716e57ce8494c894b6c	7a596530a78a75aec03bac6f35db31ebe534e0115ca51dda64acffd0c781844a	14055
S05	udt_complete_metric_intrinsic_object_audit_2026-07-23/AUDIT_REPORT.md	dphi_reciprocal_3plus3_bundle_and_domain	43bc88afd8cabc055422d958490eadc2a18cad42	923e6e4e7d9b6478f8b281f7d48f4fd46cd194c292a01540c46509ee6fc89776	11332
S06	udt_dual_systole_global_transport_audit_2026-07-24/AUDIT_REPORT.md	continuous_systole_and_global_descent	5a8ac7ca1190fed19400295e67e45567bab623b0	a60dbce9e8908436b5038001be015c6a8b9d019cb74256cf63091f3f92f54582	5188
S07	udt_free_global_seal_transversality_audit_2026-07-21/AUDIT_REPORT.md	moving_boundary_and_missing_functional	31ea788da7aa9bec5865c471656ba7e596fa3b99	51c756fff55876b65d342dd075b6f215c20ad9af4b1767ccb20efdae1a9cc5a1	10302
S08	udt_observer_pair_clock_operator_audit_2026-07-24/AUDIT_REPORT.md	observer_pair_distance_and_path_limits	4b9004c84dff265ba97a8a5c694033a1d3ed26f6	a7ae3805927d7d8efe1a2daabfd07c0612c0f52375b60e727a6d0d0fabe66c87	4804
S09	udt_bootstrap_to_local_response_map_audit_2026-07-25/EXACT_DERIVATION.md	two_arrow_response_architecture_and_observable_types	783704fa943e45995d459b4b32abec8ad20dfb9a	c677aeb41e74d8d91978d661cd68db428d497a4bdf91c7a5ef78938c2e361fd4	9425
S10	udt_metric_native_nontriviality_connector_audit_2026-07-25/AUDIT_REPORT.md	connector_gates_and_next_partial_R_geom	b864e96778a3ffe33863845577fb493f853b3caa	23bca7be34fc777d626c532e10919243ba4d534d7175c202bc34b34d6f303821	5698
