instrument	second_jet	curvature_response	status
phi	d00	2	NONZERO
phi	d01	0	ZERO_EXACT
phi	d11	2	NONZERO
sigma	d00	2	NONZERO
sigma	d01	0	ZERO_EXACT
sigma	d11	-2	NONZERO
alpha	d00	0	ZERO_EXACT
alpha	d01	0	ZERO_EXACT
alpha	d11	0	ZERO_EXACT
k	d00	0	ZERO_EXACT
k	d01	0	ZERO_EXACT
k	d11	0	ZERO_EXACT
S10	d00	0	ZERO_EXACT
S10	d01	0	ZERO_EXACT
S10	d11	0	ZERO_EXACT
S11	d00	0	ZERO_EXACT
S11	d01	0	ZERO_EXACT
S11	d11	0	ZERO_EXACT
S20	d00	0	ZERO_EXACT
S20	d01	0	ZERO_EXACT
S20	d11	0	ZERO_EXACT
S21	d00	0	ZERO_EXACT
S21	d01	0	ZERO_EXACT
S21	d11	0	ZERO_EXACT
