object	status	evidence	open_scope
common_eight_instrument_coframe_domain	DERIVED_CONDITIONAL	EXACT_DERIVATION.md;ALGEBRA_RESULT.json	physical_realization_and_global_completion
reciprocal_phi_four_volume_cancellation	DERIVED	ALGEBRA_RESULT.json	no_profile_or_dynamics
angular_area_shape_factorization	DERIVED_CONDITIONAL	ALGEBRA_RESULT.json	angular_lattice_section_transport_and_selection
general_depth_all_sector_coupling	DERIVED_CONDITIONAL	ALGEBRA_RESULT.json	global_phi_profile_and_physical_interpretation
torus_connection_curvature	DERIVED_CONDITIONAL	ALGEBRA_RESULT.json	global_bundle_holonomy_and_selected_toric_branch
scalar_curvature_response	DERIVED_BOUNDED	CURVATURE_RATE_HESSIAN.tsv;CURVATURE_SECOND_JET_RESPONSE.tsv	full_nonlinear_non_neutral_profiles
full_Ricci_response_graph	DERIVED_BOUNDED	RICCI_RATE_COUPLINGS.tsv;RICCI_SECOND_JET_RESPONSE.tsv	full_nonlinear_non_neutral_profiles
tensor_orchestra_connectivity	OBSERVED_EXACT_BOUNDED	ENSEMBLE_ATLAS.tsv;INDEPENDENT_RESULT.json	not_a_global_solution_or_physical_coupling_theorem
complete_R_geom	OPEN	partial_typed_atlas_only	global_boundary_discrete_spectral_energy_mass_and_matter_outputs
reverse_admissibility_A	OPEN	A_ARROW_AUDIT.tsv	operational_same_branch_selector
action_source_carrier_density	OPEN	forbidden_by_scope	complete_native_derivation
bootstrap_fixed_point	OPEN	no_A_arrow_found	complete_law_parameter_solution_boundary_map
