sha256	path	role
9a598c2b11fb0cb9def27f43250896188e2865ea5834f600fdb3079d935f546e	udt_mixing_channel_lane_2026-08-06/MAP_AND_PREREG.md	August question and frozen scope
c789497d678eec991fce3375d24e2262524c90504f305413ad806b84cab73ff3	udt_mixing_channel_lane_2026-08-06/DERIVATION_NOTES.md	August consolidated derivation
ebfa0449e9433099bc8a125c9e9da79be3b94b753949abf09164860cb8a035b4	udt_mixing_channel_lane_2026-08-06/BLIND_VERIFICATION_FINAL.md	August final verified scope and carve-out
ea15d0f0dc344c566309a7f95cff4b0efc5d182f58858de5b0076857b746d64d	udt_uncompressed_pair_kernel_reconstruction_2026-08-14/EXACT_DERIVATION.md	modern complete evaluator
2ff964cfa8dcd7936e8deaea80fd1ba8e797dc8b000c4200ea7b92f348b55dad	udt_uncompressed_pair_kernel_reconstruction_2026-08-14/EXTERNAL_REVIEW_ADJUDICATION.md	modern evaluator external grade
a401260f919337418f51d4733b28e72ddb35c00d7f1f4a23d7c1d9f0a8bf1c47	udt_august6_mu_complete_kernel_crosswalk_2026-08-15/PREREGISTRATION.md	frozen crosswalk contract
89e30a8cd66cda02c94f940138a9a52c8ad228101d29815b76c86b7ac2727f3e	udt_august6_mu_complete_kernel_crosswalk_2026-08-15/PREMISE_LEDGER.tsv	frozen premise ledger
6d023fd7dc47ba3b6a1e7ca667ea4ad348789dc7b18f4d699859c3c7a1829dfb	udt_august6_mu_complete_kernel_crosswalk_2026-08-15/derive_crosswalk.py	primary exact derivation
84e4d8cadaa8513e6a7e036042500ebf9959f780e7da63770146e9b70a9e2530	udt_august6_mu_complete_kernel_crosswalk_2026-08-15/verify_independent.py	independent exact Fraction verification
e39928eaa8509f402e2e87c11589b301d0d9acc18c5147452463c7b8d5b581c3	udt_august6_mu_complete_kernel_crosswalk_2026-08-15/run_catch_proofs.py	hostile mutations
