item	status	qualification
UDT_metric_primary	PINNED_BY_THEORY	the metric is the theory
complete_pair_relation	SUPPLIED_CONDITIONAL	regular path-labelled realization
endpoint_clocks_frames	SUPPLIED_QUERY_DATA	metric-unit future clock plus oriented spatial screen frame
Levi_Civita_transport	PINNED_BY_THEORY	metric transport along supplied branch
open_ball_vector	DERIVED_CONDITIONAL	G272 and G273 on supplied transported relation
physical_position_attachment	CANDIDATE_WORKING_FOUNDATIONAL_CLARIFICATION_NOT_ADOPTED	tested conditionally only
dimensionful_X	FREE_AND_UNSELECTED	common symbolic positive factor may expose unit behavior
path_independence	NOT_ASSUMED	direct and concatenated paths may differ by holonomy
observational_outcomes	OMITTED	no anchor fit or target inspection
field_equation_action_source_matter	OMITTED	no history law imported
branch_population	OPEN_NOT_SELECTED	no preferred relation family
X_max	OPEN_NOT_USED	no boundary or asymptote supplied
