premise_id	premise	status	use_in_audit	open_or_excluded
P01	Reciprocal-c conversion directions and dual observer-frame reciprocity	FOUNDING	constrain reciprocal comparison character	do not infer complete dynamics
P02	Additive regular reciprocal depth gives diag(exp(-phi),exp(phi))	DERIVED	founded comparison control	physical depth assignment open
P03	Observer-pair/path query bundle and tautological reciprocal plane	DERIVED_CONTAINER	query-law home control	no realized spacetime section inferred
P04	Complete metric/coframe skeleton	DEFINED_CONFIGURATION_ARCHITECTURE	ambient and extension typing control	not on shell and not a field census
P05	Ambient Levi-Civita geometry	DEFINED_FROM_SUPPLIED_METRIC	basic-spacetime control	no native field equation inferred
P06	Strong local CSN	OPEN_INACTIVE	none	must not select action or quotient
P07	Realized reciprocal section	OPEN	candidate H03 only	must not be assumed
P08	Branch-derived regular selector	CONDITIONAL	candidate H04 and chain-rule control	undefined or set-valued at registered strata
P09	Fiber measure and aggregation data	OPEN	candidate H06 fail-closed control	must not be invented
P10	WR-L SNe clock/areal/optical assembly	CONDITIONAL_OBSERVATIONAL_COMPATIBILITY_ANCHOR	downstream codomain gate only	cannot select home variation action branch or X_max
P11	Round S2 carrier	POSIT	none	cannot enter architecture selection
P12	Bootstrap	WORKING_ON_SHELL_ADMISSIBILITY	type an eventual global output only	no local equation optimizer or density value
P13	Native action source boundary mass dynamics	OPEN	outputs to type not to derive	no reconstruction authorized
P14	Finite algebra controls	FREE_CATEGORY_A_METHOD	counterexamples and catch-proofs only	no physical meaning

