entailment_id	object	required_or_allowed_type	status	scope
E01	founded reciprocal comparison	EQUIVARIANT_TYPED_QUERY_MORPHISM	DERIVED	abstract depth assignment still open physically
E02	ambient metric connection curvature	BASIC_SPACETIME_GEOMETRY	DEFINED_FROM_METRIC	not a native equation
E03	pair-resolved response	QUERY_OR_REALIZED_BRANCH_REDUCTION	TYPE_DERIVED_LAW_OPEN	no generic basic descent
E04	one homogeneous home for all law classes	REJECTED_BY_EXISTING_TYPE_DISTINCTIONS	DERIVED_BOUNDED	typed layering is required for faithful bookkeeping
E05	basic native dynamics	ADMISSIBLE	OPEN_NOT_SELECTED	founding postulates do not mention a residual codomain
E06	nonbasic equivariant native dynamics	ADMISSIBLE	OPEN_NOT_SELECTED	covariance does not force basicness
E07	realized-section dynamics	ADMISSIBLE_WITH_NEW_OWNERSHIP	OPEN_NOT_SELECTED	section existence is not physical ownership
E08	branch-derived dynamics	ADMISSIBLE_REGULARLY	OPEN_NOT_SELECTED	parent law and chain rule required
E09	stratified completion	REQUIRED_IF_SELECTED_BRANCH_CROSSES_REGISTERED_STRATA	OPEN	no gluing/interface law derived
E10	fiber aggregation	FORMALLY_CONCEIVABLE	OPEN_UNAVAILABLE	measure weight normalization convergence meaning missing
E11	SNe conditional readout	FOUR_DISTINCT_DOWNSTREAM_CODOMAIN_SLOTS	CONDITIONAL_ANCHOR	cannot invert readout to law home
E12	complete native law home/codomain/ownership	MULTIPLE_ADMISSIBLE_EXTENSIONS	OPEN_FOUNDATIONS_DO_NOT_DECIDE	no action source or boundary premise added
