catch_id	expected	observed
X01_MISSING_ARCHITECTURE	REJECT	PASS
X02_DUPLICATE_ARCHITECTURE	REJECT	PASS
X03_EQUIVARIANCE_FALSE_BASIC	REJECT	PASS
X04_QUERY_FALSE_FIELD_VARIATION	REJECT	PASS
X05_CHAIN_RULE_REMOVED	REJECT	PASS
X06_FALSE_SMOOTH_STRATUM	REJECT	PASS
X07_INVENTED_AGGREGATION	REJECT	PASS
X08_COLLAPSED_SNE_SLOTS	REJECT	PASS
X09_SNE_SELECTS_HOME	REJECT	PASS
X10_PROPER_DISTANCE_COLLAPSE	REJECT	PASS
X11_WRL_PROMOTED_UNIVERSAL	REJECT	PASS
X12_CSN_REACTIVATED	REJECT	PASS
X13_ACTION_PROMOTED	REJECT	PASS
X14_READOUT_EQUALS_HOME	REJECT	PASS
X15_ESCAPE_REMOVED	REJECT	PASS
X16_LAYER_OWNER_LOST	REJECT	PASS
X17_PHI_ASSIGNMENT_FALSE_DERIVED	REJECT	PASS
X18_CONNECTION_FALSE_DYNAMICS	REJECT	PASS
X19_SOURCE_BOUNDARY_FALSE_SELECTED	REJECT	PASS
X20_INDEPENDENT_IMPORTS_PRODUCTION	REJECT	PASS
