status_id	object	status	scope	remaining_open
S01	founded reciprocal comparison	DERIVED_EQUIVARIANT_TYPED_QUERY_LAW	ordered reciprocal pair/path query with supplied signed depth	physical depth event and path assignment
S02	ambient metric geometry	DEFINED_BASIC_SPACETIME_OBJECTS	metric connection curvature causal and base-boundary geometry	which configurations satisfy native dynamics
S03	pair-resolved response	DERIVED_QUERY_OR_REDUCTION_TYPE__LAW_OPEN	screen mixing projected curvature and polarization	query interpretation or realized/branch reduction
S04	faithful current architecture	TYPED_LAYERING_REQUIRED_AS_BOOKKEEPING	already-derived query and basic objects cannot be one homogeneous basic tensor	physical dynamical architecture not selected
S05	native dynamical/closure law home	OPEN_MULTIPLE_ADMISSIBLE	basic equivariant realized branch-derived stratified and layered extensions tested	native selector or additional premise
S06	native law codomain	PARTIALLY_TYPED__COMPLETE_CODOMAIN_OPEN	known classes have required codomain kinds	actual residual relation evolution source and boundary targets
S07	variation ownership	ARCHITECTURE_DEPENDENT_TYPES_DERIVED__PHYSICAL_OWNERSHIP_OPEN	query versus base versus independent section versus derived chain rule distinguished	native variation domain and singular joins
S08	SNe readout	CONDITIONAL_OBSERVATIONAL_COMPATIBILITY_ANCHOR_NOT_SELECTOR	registered static WR-L clock areal optical join	global branch scale Xmax action and dynamics
S09	fiber aggregation	OPEN_UNAVAILABLE	no native measure weight normalization convergence or meaning	all aggregation data
S10	stratified ownership	OPEN	collision zero tie causal rank and boundary-defect strata	interface gluing tangent-cone or differential-inclusion law
S11	action source carrier boundary bootstrap mass dynamics	OPEN_OR_PRIOR_CONDITIONAL	unchanged	complete native physics
S12	overall_audit	VERIFIED_WITH_CAVEATS_BOUNDED_NATIVE_LAW_TYPE_AND_OWNERSHIP_ATLAS	bounded architecture and type universe	complete native dynamical law remains open
