architecture_id	law_id	law_class	home	input_type	codomain	variation_owner	ruling
H01	K01	FOUNDED_RECIPROCAL_COMPARISON	M	ordered pair/path query plus signed depth	base tensor/density or equation bundle :: morphism of reciprocal pair fibers / O(1,1) character	ambient metric/coframe or declared base fields	DOWNSTREAM_READOUT_ONLY
H01	K02	AMBIENT_METRIC_GEOMETRY	M	metric/coframe on M	base tensor/density or equation bundle :: metric connection curvature causal and identity objects on M	ambient metric/coframe or declared base fields	DERIVED_NATURAL_HOME
H01	K03	PAIR_RESOLVED_RESPONSE	M	ambient geometry plus ordered reciprocal query	base tensor/density or equation bundle :: associated screen mixing projected-response objects over query space	ambient metric/coframe or declared base fields	GENERICALLY_INSUFFICIENT_ALONE
H01	K04	NATIVE_DYNAMICAL_CLOSURE	M	admissible complete configuration and jets or disclosed nonlocal data	base tensor/density or equation bundle :: covariant residual constraint evolution or variational dual object	ambient metric/coframe or declared base fields	ADMISSIBLE_NOT_SELECTED
H01	K05	GLOBAL_BOOTSTRAP_ADMISSIBILITY	M	one complete on-shell solution and native global/local observables	base tensor/density or equation bundle :: relation subset or compatibility value on global-local observable space	ambient metric/coframe or declared base fields	ADMISSIBLE_GLOBAL_OUTPUT_NOT_DERIVED
H01	K06	BOUNDARY_COMPLETION	M	bulk/query/reduction data restricted to boundary seal corner or defect	base tensor/density or equation bundle :: boundary response polarization gluing flux or admissibility object	ambient metric/coframe or declared base fields	BASE_BOUNDARY_ONLY
H02	K01	FOUNDED_RECIPROCAL_COMPARISON	P or observer/path groupoid	ordered pair/path query plus signed depth	equivariant associated-bundle section or typed morphism :: morphism of reciprocal pair fibers / O(1,1) character	base fields only; queries are arguments	DERIVED_NATURAL_HOME
H02	K02	AMBIENT_METRIC_GEOMETRY	P or observer/path groupoid	metric/coframe on M	equivariant associated-bundle section or typed morphism :: metric connection curvature causal and identity objects on M	base fields only; queries are arguments	BASIC_PULLBACK_AVAILABLE
H02	K03	PAIR_RESOLVED_RESPONSE	P or observer/path groupoid	ambient geometry plus ordered reciprocal query	equivariant associated-bundle section or typed morphism :: associated screen mixing projected-response objects over query space	base fields only; queries are arguments	DERIVED_TYPE_HOME_LAW_ABSENT
H02	K04	NATIVE_DYNAMICAL_CLOSURE	P or observer/path groupoid	admissible complete configuration and jets or disclosed nonlocal data	equivariant associated-bundle section or typed morphism :: covariant residual constraint evolution or variational dual object	base fields only; queries are arguments	ADMISSIBLE_NOT_SELECTED
H02	K05	GLOBAL_BOOTSTRAP_ADMISSIBILITY	P or observer/path groupoid	one complete on-shell solution and native global/local observables	equivariant associated-bundle section or typed morphism :: relation subset or compatibility value on global-local observable space	base fields only; queries are arguments	QUERY_FAMILY_AVAILABLE_GLOBAL_JOIN_OPEN
H02	K06	BOUNDARY_COMPLETION	P or observer/path groupoid	bulk/query/reduction data restricted to boundary seal corner or defect	equivariant associated-bundle section or typed morphism :: boundary response polarization gluing flux or admissibility object	base fields only; queries are arguments	QUERY_BOUNDARY_AVAILABLE_POLARIZATION_OPEN
