history,alpha,max_tidal_contrast,max_optical_shear,fd_abs,fd_rel,null_drift,affine_residual,screen_metric_drift,min_abs_det_after_vertex
H0_flat,0,0,0,7.461364859295827e-12,6.5949771293957248e-12,0,0,8.8817841970012523e-16,2.4999999999999886e-05
H0_flat,0.2617993877991494,0,0,1.1437517599688363e-12,1.0351325572263786e-12,4.5449755070592346e-16,7.9700135380278425e-13,1.7763568394002505e-15,2.4999999999999886e-05
H0_flat,0.5235987755982988,0,0,5.9778848537916929e-12,5.2845852742592645e-12,4.9266146717741321e-16,1.0147438445073931e-12,1.7763568394002505e-15,2.4999999999999886e-05
H0_flat,0.7853981633974483,0,0,4.8354653614524068e-12,4.290396123127254e-12,1.3045120539345589e-15,1.2772005675287801e-12,1.7763568394002505e-15,2.4999999999999886e-05
H1_static_reciprocal,0,0,0,1.968092355753015e-12,1.7395643162107885e-12,1.3322676295501878e-15,1.4078183063759298e-12,4.8849813083506888e-15,2.4999999999999886e-05
H1_static_reciprocal,0.2617993877991494,0.0017627233372125885,0.00018417285408187326,3.0104807535735745e-12,2.6658005650060945e-12,2.8831104170734534e-15,1.2723155862204294e-12,1.9984014443252818e-15,2.4999999687753482e-05
H1_static_reciprocal,0.5235987755982988,0.006578573054164788,0.00070806049867414564,7.2242212212358936e-13,6.9057466615320624e-13,2.8310687127941492e-15,1.4193091146808001e-12,2.4424906541753444e-15,2.4999998834527484e-05
H1_static_reciprocal,0.7853981633974483,0.013157146108329479,0.0014858333922412852,2.0294876890147862e-12,1.8288543440789886e-12,2.1788126858268697e-15,1.4356293931427899e-12,1.3322676295501878e-15,2.4999997668567435e-05
H2_timelive_reciprocal,0,0,0,1.2082557176995579e-12,1.0752584618507601e-12,1.7763568394002505e-15,1.4498957590092232e-12,1.5543122344752192e-15,2.499999193874339e-05
H2_timelive_reciprocal,0.2617993877991494,0.0018509005202500817,0.00030486121295542729,3.7460035073877407e-12,3.3345666093049592e-12,1.6063539387545234e-15,1.847300090673798e-12,1.5543122344752192e-15,2.4999991898622786e-05
H2_timelive_reciprocal,0.5235987755982988,0.0069997191226872993,0.0011681073467401507,2.0446977444521508e-12,1.8352181173757051e-12,2.9351521213527576e-15,1.6856516182883752e-12,2.2204460492503131e-15,2.4999991843408659e-05
H2_timelive_reciprocal,0.7853981633974483,0.014339455649019582,0.0024392097928332729,1.2823075934420558e-11,1.1421724526467564e-11,1.27675647831893e-15,1.7103540805862849e-12,1.7763568394002505e-15,2.4999991947452864e-05
H3_timelive_full_spherical_base,0,0,0,3.8348213493577532e-12,3.4441654329632383e-12,1.5543122344752192e-15,1.2925216452686072e-12,8.8817841970012523e-16,2.4999956920768894e-05
H3_timelive_full_spherical_base,0.2617993877991494,0.0023991907613791219,6.412823106740892e-05,4.8102632987934157e-12,4.325249531065968e-12,1.3981871216373065e-15,1.5768497618751098e-12,1.7763568394002505e-15,2.499995700943697e-05
H3_timelive_full_spherical_base,0.5235987755982988,0.0089539018185166019,0.00025152435087760983,4.7351012000262926e-13,4.4892051537179318e-13,1.4988010832439613e-15,1.5154544286133387e-12,1.7763568394002505e-15,2.4999957293081501e-05
H3_timelive_full_spherical_base,0.7853981633974483,0.017907803637033232,0.00054712229100193396,2.2548629630136929e-12,2.0279484345971615e-12,2.3037127760971998e-15,1.6164847238542279e-12,1.2212453270876722e-15,2.4999957816955245e-05
