claim_id	object	status	basis	dependency_or_limit	maximum_claim
R01	projective null-direction S2 fiber	DERIVED_CONDITIONAL	4D conformal-Lorentzian null rays projectivize to celestial S2	4D Lorentzian readout and orientations remain conditional	conditional bundle of possible directions
R02	null Hamiltonian shell under Common Scale	DERIVED_CONDITIONAL	H_tilde=Omega^-2 H and X_(fH)=f X_H+H X_f	metric Hamiltonian readout; positive smooth Omega	unparametrized null flow is CSN-invariant
R03	null geodesic propagation	PROPAGATION_DERIVED_CONDITIONAL	on H=0 the spray changes only by positive reparametrization	an initial null ray is supplied	metric carries each chosen ray
R04	propagation as section selector	NO_SELECTION	the geodesic spray exists for every null ray in the fiber	contains no initial-ray ranking	transport of all options is not choice of one option
R05	Levi-Civita along-ray projective transport	CSN_COMPATIBLE_ALONG_RAY	conformal connection change C(k,k)=2k(omega)k for null k	only direction X=k	along a ray the projective direction is preserved
R06	Levi-Civita arbitrary-direction tangent-ray comparison	REPRESENTATIVE_DEPENDENT	explicit transverse X gives C(X,k)=aX not parallel to k	chosen metric representative or Weyl connection required	no CSN-invariant arbitrary tangent-ray comparison from Levi-Civita alone
R07	normal conformal Cartan/tractor connection	CANONICAL_CONDITIONAL_REPRESENTATION_TRANSPORT	standard normal conformal connection follows from a smooth conformal structure in dimension at least three	conditional conformal readout; acts naturally on tractor/Cartan bundles	canonical representation transport exists conditionally
R08	tractor transport as tangent-null section	TYPE_GATE_OPEN	tractor/frame transport does not itself give a canonical tangent linear connection or ray field	requires reduction/Weyl structure and a section or seed	no physical tangent-null section follows
R09	projective direction of sharp(dphi)	CSN_INVARIANT_WHERE_NONZERO	sharp_(Omega2g)(dphi)=Omega^-2 sharp_g(dphi)	undefined at dphi=0; causal type may vary	conditional projective vector direction
R10	dphi causal-type census	BRANCHED	zero null timelike and spacelike strata are all allowed	no foundation equation removes branches	no universal null-section theorem from dphi alone
R11	static spacelike-dphi longitudinal construction	CONDITIONAL_LONGITUDINAL_NULL_PAIR	u_hat plus/minus n_hat are null when a static orthogonal time direction and spacelike dphi are supplied	static time/observer branch is CHOSE or conditional; pair lies in temporal-parallel plane	conditional inward/outward causal rays only
R12	phi-only angular/celestial selector	UNDERDETERMINED	timelike dphi leaves a spatial S2; spacelike dphi needs time data; zero gives none; null gives one only on that stratum	all causal strata retained	no universal angular/carrier-like section
R13	general angular projected Hessian STF	REPRESENTATIVE_DEPENDENT	conformal change contains -2(omega_(A phi_B))_TF when d_A phi is nonzero	depends on representative and nondegenerate eigenvalues	conditional diagnostic not universal selector
R14	longitudinal-phi transverse Hessian STF	CSN_COMPATIBLE_CONDITIONAL	when d_A phi=0 the conformal change is pure trace in the transverse plane	requires a derived transverse distribution and nonzero nondegenerate STF tensor	conditional angular-axis candidate
R15	angular Hessian eigenlines	CONDITIONAL_STRATIFIED	nonzero 2D STF tensor has two eigenlines	eigenlines fail at zero/repeated strata and do not imply closed orbits or physical periods	local axes on declared strata only
R16	intrinsic two-dimensional Ricci selector	NO_TRACEFREE_AXIS	Ric_AB=K h_AB in two dimensions	projected ambient curvature is a separate route	intrinsic angular curvature alone supplies no axis
R17	Weyl principal-null directions	CONDITIONAL_STRATIFIED	mixed Weyl tensor is conformal; Petrov II III and N have one highest-multiplicity line locally	Petrov I has four simple roots D has two double roots O has none; type transitions obstruct global continuation; no type is foundation-forced	local selector on II III N strata only; no universal section
R18	unit Hopf connection	DERIVED_CONDITIONAL_VERTICAL	A=-i z-dagger dz is exact on a chosen normalized spin lift	spin lift frame norm and orientation are conditional/CHOSE	vertical representation connection only
R19	spacetime pullback of Hopf connection	SECTION_REQUIRED	a=z-star A requires a map z(x) or n(x)	the required map is the open physical section	cannot use the connection to derive its own base map
R20	connection transport versus selection	DISTINCT	parallel transport needs an initial fiber value and a path	no current metric rule ranks the initial value	transport is not selection
R21	global parallel-section closure	HOLONOMY_DEPENDENT	a parallel section value must be fixed by holonomy	identity fixes all rays axial rotation a pair generic noncommuting rotations none	global section and uniqueness remain open
R22	finite-cell selector	NO_CURRENT_OPERATOR	finite mirrored domain and static phi seal do not specify ray section representative or holonomy	boundary functional and variations remain open	finite cell does not close section gate
R23	bootstrap selector	NO_CURRENT_OPERATOR	bootstrap is working on-shell admissibility wording	complete action solution set and comparison map are absent	bootstrap cannot presently choose the section
R24	physical projective realization gate	NOT_PASSED	no route produces a global frame-independent carrier-like section from registered data	conditional longitudinal rays and representation transport are not the missing angular soldering	physical realization remains open
R25	carrier cap action source and mass	OPEN_NOT_ACTIVATED	section/soldering gate is not passed and downstream laws are absent	no carrier adoption or cap/action work authorized	no downstream physics conclusion
