current_path	blob_oid	sha256	size_bytes	last_commit	role	load_bearing_use
UDT_NATIVE_ACTION_COLD_PACKET.md	dbe0292e446291cdc620abfb261447cb9f7d969f	d38232792ac78188687db433a3f60a08c775c46e9ecf5fc42ad7953dc89fadb0	13221	c5732bedb7adb337e57cee72e1ea6fce481984e3	FOUNDATION	exact C0/C1 and open-slot ledger
UDT_COMMON_SCALE_NEUTRALITY_POSTULATE_2026-07-15.md	db2959c45beb48f7417b211039dd8e8c71d2f1ef	4bb0da9098da0a9970602e2449615eef151796b0d7fe7a9978f4b66145748a34	2886	167e9ea275fb7e4ef048ea1bbb7cf902992e0bf5	FOUNDATION	positive conformal equivalence
UDT_GLOBAL_BOOTSTRAP_PRINCIPLE_2026-07-15.md	5e2a9692a18dac25f4c8f5ace643fd11e7427e65	ce14075bad1ff4b6ea9b41e35dc6b63dfc5a9ae13478bd57c80b1502f33fb540	2693	167e9ea275fb7e4ef048ea1bbb7cf902992e0bf5	FOUNDATION	on-shell admissibility wording and limits
CANON.md	a67e518b623c8715679b26d5736c7409e3ffcae3	5d99c0ba09fcee0429a34ac6b3dda4faff489b7d214b622fcbd286deb3785314	35011	564ac41c15bb39b778d5b3181eefaf9e903bb275	FINITE_CELL_AUTHORITY	finite cell and static phi seal entries only
UDT_SCIENTIFIC_FRONTIER_2026-07-19.md	d6a53296e4827b9e522a602659179f229ddee288	b267fab1bb1b0b356e88315712f6ec6d9925732238e5a7ab90f6af59c25f59ec	13432	9f1a64af0eb7a9c8aa8e8698c40c84df39d0c9c7	FRONTIER	controlling pre-audit scientific status
transverse_reciprocal_realization_selector_2026-07-19/AUDIT_REPORT.md	266ccc71080fcebffbf9e3bcdf63303997a929f6	567994f42ecf608b4d5015d46cb6746067f24d29219a1c5ac9c460c8fd156745	19493	75c62d1a357821d4957588e640ba03f0bc0f285e	PRIOR_AUDIT	conditional reciprocal projective theorem and physical gate
transverse_reciprocal_realization_selector_2026-07-19/STATUS_LEDGER.tsv	a7725b33d03034730e7dcf3a0ff43311c9eb8104	e3460c54543dbaac2dfb4d6b33e4f23318a8abe00a25645c285214e04138cada	7318	75c62d1a357821d4957588e640ba03f0bc0f285e	PRIOR_LEDGER	premise-stamped reciprocal realization status
transverse_reciprocal_realization_selector_2026-07-19/DERIVATION_RESULT.json	1b965ae7f11b1931f4c499e19efb101e9dae411f	fac08f193a32491ff5a4df89805aec3c28b9e89da68b5dd2b6c49f81df1cee1e	7915	75c62d1a357821d4957588e640ba03f0bc0f285e	PRIOR_ALGEBRA	exact spin projective identities and counterfamilies
null_section_hopfion_metric_audit_2026-07-19/AUDIT_REPORT.md	bab9635818253250df63aec8102cb7e2b85cd70e	af15bf24f994ae43f6d0e54e07b83d83e977aed9fbe88462f582edec89cef618	16135	cc7b08381281fa104661df5b6af9fb030cabac95	PRIOR_AUDIT	null fiber Hopf witness and section caveats
null_section_hopfion_metric_audit_2026-07-19/STATUS_LEDGER.tsv	ca0de641261df9251d6e37c3f2f2dda179ae10f8	6f252615f91b41d6ea09eb33fc28c871d45205277c6a584d1fdd02eb4ed9dbcf	7726	cc7b08381281fa104661df5b6af9fb030cabac95	PRIOR_LEDGER	null section status distinctions
