id	failure_condition	required_response
F01	one_of_the_two_metric_shears_is_fixed_or_dropped	FAIL_FULL_SCREEN
F02	coframe_gauge_rotation_is_counted_as_a_metric_shear	FAIL_DOF
F03	rank_three_at_one_point_is_called_universal_across_all_P	FAIL_SCOPE
F04	continuity_is_used_without_the_required_C3_metric_neighborhood	FAIL_PERSISTENCE
F05	failure_of_the_old_rank_certificate_is_called_proof_of_no_intrinsic_clock	FAIL_LOGIC
F06	K_is_called_metric_selected_merely_because_coordinates_are_stationary	FAIL_INTRINSICITY
F07	clock_twist_is_not_rederived_for_general_P	FAIL_RULER
F08	twist_off_alpha_zero_control_is_omitted	FAIL_CONTROL
F09	detP_or_orientation_dependence_is_silently_removed	FAIL_ORIENTATION
F10	exp_minus_phi_theta1_is_called_strong_local_CSN	FAIL_CSN
F11	contact_is_promoted_to_periodic_without_global_period_normalization	FAIL_PERIODICITY
F12	the_spacetime_ruler_vector_and_orbit_space_Hopf_generator_are_conflated	FAIL_TYPE
F13	full_metric_descent_is_claimed_from_sigma3_invariance_alone	FAIL_DESCENT
F14	phi_fiber_dependence_is_ignored_in_the_orbit_metric	FAIL_PHI_INVARIANCE
F15	P_coframe_equivariance_and_h_metric_invariance_are_conflated	FAIL_GAUGE
F16	a_fiber_dependent_screen_counterbranch_is_filtered_out	FAIL_COMPLETENESS
F17	fiber_invariance_is_claimed_without_a_Lie_derivative_test	FAIL_SYMMETRY
F18	a_second_continuous_fiber_symmetry_is_ignored_in_the_Killing_rank_test	FAIL_COMPATIBILITY
F19	rank_three_is_claimed_on_a_fiber_invariant_metric	FAIL_RANK
F20	failure_of_simultaneous_unique_K_and_descent_is_promoted_to_no_Hopf_bridge	FAIL_OVERREACH
F21	a_quotient_bundle_is_promoted_to_a_round_carrier_or_Map_S3_S2	FAIL_CARRIER
F22	a_kinematic_identity_is_promoted_to_an_action_or_dynamics	FAIL_ACTION
F23	stationary_S3_scope_is_promoted_to_generic_spacetime	FAIL_SCOPE
F24	countermodels_are_rejected_for_not_resembling_the_universe	FAIL_IMPOSITION
F25	fixed_base_source_or_premise_hash_mismatches	FAIL_SOURCE_FREEZE
F26	unrelated_dirty_paths_are_opened_modified_or_staged	FAIL_DIRTY_PRESERVATION
F27	current_phi_CSN_carrier_bootstrap_or_action_status_regresses	FAIL_PREMISE_REGISTRY
F28	frozen_manifests_navigation_or_test_baseline_regresses	FAIL_REPOSITORY_GATES
