premise_id	object	provenance_tag	status_for_audit	source_or_reason	open_scope
P01	founded_phi	pinned-by-THEORY	DERIVED_ADDITIVE_RECIPROCAL_DEPTH	CURRENT_SCIENTIFIC_PREMISES:G01	absolute_profile_and_on_shell_selection
P02	founded_pair_weights	pinned-by-THEORY	EXP_MINUS_PLUS_PHI	CURRENT_SCIENTIFIC_PREMISES:G02	complete_dynamical_extension
P03	c_E	pinned-by-OBSERVATION	NONZERO_CALIBRATION	CURRENT_SCIENTIFIC_PREMISES:G06	native_global_scale_closure
P04	strong_local_CSN	free-and-explored	INACTIVE	CURRENT_SCIENTIFIC_PREMISES:G04-G05	no_Weyl_gauge_theorem
P05	stationarity	pinned-by-HABIT	CHOSE_BOUNDED_CONTROL	parent_intrinsic_pair_audit	nonstationary_metric
P06	global_R_x_S3_coframe	pinned-by-HABIT	CHOSE_EXISTENCE_CONTROL	general_screen_atlas	physical_topology
P07	general_screen_P	free-and-explored	ALL_SMOOTH_GL2_INTERIOR	general_screen_atlas	pair_screen_offblocks_and_det_zero_boundary
P08	both_screen_shears	free-and-explored	RELEASED_IN_REGULAR_LOG_COORDINATES	general_screen_atlas	physical_screen_equation
P09	coframe_O2_angle	free-and-explored	GAUGE_NOT_METRIC_MODE	general_screen_atlas	global_transition_data
P10	phi_profile	free-and-explored	ALL_SMOOTH_FINITE_PROFILES_IN_CONTROL	bounded_configuration_space	field_equation
P11	twist_alpha	free-and-explored	NONZERO_AND_ZERO_CONTROL	intrinsic_pair_audit	native_value
P12	Maurer_Cartan_kappa	pinned-by-THEORY_WITHIN_CONTROL	NONZERO_REGISTERED_S3_CONVENTION	general_screen_atlas	physical_topology
P13	stationary_K	pinned-by-HABIT	SUPPLIED_KILLING_FIELD;METRIC_SELECTION_TESTED	stationary_control	physical_clock_field
P14	Hopf_generator_V	free-and-explored	SUPPLIED_REGISTERED_GLOBAL_CIRCLE_FOR_DESCENT_TEST	full_screen_Hopf_rederivation	native_fiber_selection
P15	fiber_invariance	free-and-explored	PRESENT_AND_ABSENT_BRANCHES	bounded_solution_space	physical_descent
P16	spatial_slice_sign	free-and-explored	POSITIVE_ZERO_NEGATIVE_RETAINED	general_screen_atlas	physical_slice
P17	round_S2_carrier	pinned-by-HABIT	NOT_USED	CURRENT_SCIENTIFIC_PREMISES:G09	carrier_emergence
P18	finite_cell	pinned-by-THEORY	BOUNDARY_SCOPE_ONLY	CURRENT_SCIENTIFIC_PREMISES:G11	selected_completion
P19	bootstrap	pinned-by-THEORY	WORKING_ON_SHELL_ADMISSIBILITY_ONLY	CURRENT_SCIENTIFIC_PREMISES:G12	complete_fixed_point
P20	action_source_boundary_density_mass	pinned-by-THEORY	OPEN_NOT_LOADED	CURRENT_SCIENTIFIC_PREMISES:G16	complete_physics
P21	co_presence	pinned-by-INTERPRETATION	WORKING_NOT_USED_IN_ALGEBRA	CURRENT_SCIENTIFIC_PREMISES	operational_access
P22	desired_Hopf_or_particle_outcome	pinned-by-METHOD	NOT_AN_ACCEPTANCE_FILTER	solution_space_not_imposition	later_physical_interpretation
