id	branch	clock_certificate	ruler	normalized_Hopf	full_descent	classification
B01	all_stationary_invertible_P_with_supplied_K_and_nonzero_alpha_kappa	SUPPLIED_K_ONLY_UNLESS_EXTRA_TEST	EXACT_TWIST_LINE_THETA1	EXACT_COFRAME_ORBIT_CONNECTION	CONDITIONAL	GENERAL_P_RULER_ALIGNMENT_DERIVED
B02	C3_open_neighborhoods_of_old_C01_C06_in_both_shear_directions	RANK3_UNIQUE_K_PERSISTS	EXACT	EXACT	GENERALLY_ABSENT	OPEN_INTRINSIC_PAIR_STRATUM
B03	old_C01_C06_exact_profiles	RANK3_UNIQUE_K	EXACT	EXACT	FAIL_VPHI_3_OVER_50_AT_CERTIFICATE	NO_FULL_HOPF_METRIC_DESCENT
B04	Vphi_zero_and_Vh_plus_kappa_hR_minus_Rh_zero	OLD_RANK3_IMPOSSIBLE	EXACT_IF_K_SUPPLIED_OR_SELECTED_OTHERWISE	EXACT	PASS	FIBER_INVARIANT_TWO_KILLING_STRATUM
B05	global_pullback_of_generic_positive_S2_metric_with_smooth_P_equals_positive_sqrt_h	OLD_RANK3_IMPOSSIBLE	CONDITIONAL_ON_K	EXACT	PASS	GLOBAL_CONSTRUCTIVE_TWO_SHEAR_DESCENT_WITNESS
B06	fiber_dependent_phi_or_h	CAN_BE_RANK3	EXACT_IF_K_SELECTED	EXACT	FAIL_GENERIC	COUNTERBRANCH_RETAINED
B07	sigma3_contact_bundle_without_metric_invariance	NOT_REQUIRED	COFRAME	EXACT_FREE_CIRCLE	FAIL_OR_OPEN	BUNDLE_NOT_METRIC_QUOTIENT
B08	alpha_zero	MAY_PERSIST	FAIL_ZERO_TWIST	COFRAME_ONLY	SEPARATE	TWIST_OFF_CONTROL
B09	constant_phi	OLD_PROFILE_CERTIFICATE_FAILS	MAY_EXIST_IF_ALPHA_NONZERO	EXACT	DEPENDS_ON_h	DEPTH_OFF_CONTROL
B10	fiber_invariant_metric_with_possible_new_clock_selector	OPEN_BEYOND_RANK3_METHOD	OPEN_UNTIL_K_SELECTED	AVAILABLE	PASS	SMALLEST_REMAINING_SELECTOR_SEAM
