id	mutation	expected	actual	status
F01	drop_second_shear_tangent_and_global_witness	REJECT_F01	REJECT_F01	PASS
F02	count_coframe_gauge_as_metric_mode	REJECT_F02	REJECT_F02	PASS
F03	promote_open_rank_neighborhood_to_all_P	REJECT_F03	REJECT_F03	PASS
F04	replace_C3_open_scope_by_unspecified_continuity	REJECT_F04	REJECT_F04	PASS
F05	turn_old_certificate_failure_into_global_nogo	REJECT_F05	REJECT_F05	PASS
F06	select_K_from_stationary_coordinates	REJECT_F06	REJECT_F06	PASS
F07	rotate_twist_away_from_ruler	REJECT_F07	REJECT_F07	PASS
F08	remove_twist_off_control	REJECT_F08	REJECT_F08	PASS
F09	erase_orientation_and_detP_scope	REJECT_F09	REJECT_F09	PASS
F10	reactivate_strong_local_CSN	REJECT_F10	REJECT_F10	PASS
F11	erase_regular_Hopf_period_result	REJECT_F11	REJECT_F11	PASS
F12	identify_spacetime_E1_with_orbit_V	REJECT_F12	REJECT_F12	PASS
F13	promote_sigma3_bundle_to_metric_descent	REJECT_F13	REJECT_F13	PASS
F14	ignore_phi_fiber_dependence	REJECT_F14	REJECT_F14	PASS
F15	require_gauge_dependent_P_invariance	REJECT_F15	REJECT_F15	PASS
F16	remove_fiber_dependent_counterbranch	REJECT_F16	REJECT_F16	PASS
F17	corrupt_screen_Lie_derivative_condition	REJECT_F17	REJECT_F17	PASS
F18	ignore_second_Killing_direction	REJECT_F18	REJECT_F18	PASS
F19	claim_rank3_on_fiber_invariant_metric	REJECT_F19	REJECT_F19	PASS
F20	promote_compatibility_obstruction_to_no_Hopf	REJECT_F20	REJECT_F20	PASS
F21	promote_quotient_to_round_carrier	REJECT_F21	REJECT_F21	PASS
F22	promote_kinematics_to_action	REJECT_F22	REJECT_F22	PASS
F23	promote_beyond_stationary_constant_alpha_fixed_base	REJECT_F23	REJECT_F23	PASS
F24	filter_counterbranches_by_desired_outcome	REJECT_F24	REJECT_F24	PASS
F25	corrupt_source_sha	REJECT_F25	REJECT_F25	PASS
F26	change_dirty_identity	REJECT_F26	REJECT_F26	PASS
F27	regress_founded_phi	REJECT_F27	REJECT_F27	PASS
F28	fail_frozen_gate	REJECT_F28	REJECT_F28	PASS
