premise_id	object	status	use	forbidden_promotion
P01	reciprocal_c_conversion_pair	pinned-by-THEORY:FOUNDING	defines typed clock/ruler pair	arithmetic inverse alone called full theory
P02	observer_frame_Reciprocity	pinned-by-THEORY:FOUNDING	requires covariance/naturality	unique law or invariant state inferred
P03	regular_additive_composition	pinned-by-THEORY:FOUNDATIONAL_POSIT	derives real exponential character	physical spacetime path law inferred
P04	founded_phi	pinned-by-THEORY:DERIVED_ADDITIVE_LOG_DEPTH	character coordinate	physical observer/path assignment inferred
P05	physical_depth_assignment	OPEN_NOT_SUPPLIED	object under audit	chosen gradient or distance inserted
P06	observer_pair_query_bundle	pinned-by-THEORY:DERIVED_CONTAINER	types pair/path arrows	physical section inferred
P07	complete_metric	free-and-explored:SUPPLIED_CONTROL	defines Levi_Civita transport	called on-shell or selected
P08	Levi_Civita_connection	pinned-by-THEORY:DEFINED_FROM_SUPPLIED_METRIC	metric transport control	reciprocal dilation identified with isometry
P09	path_family	free-and-explored:ALGEBRAIC_AND_QUOTIENT_CONTROLS	open/closed and same-endpoint comparisons	preferred path or topology selected
P10	endpoint_only_semantics	OPEN	conditional implication only	zero periods imposed
P11	universal_all_queries	ADMISSIBLE_NOT_SELECTED	candidate quantifier	promoted from covariance or convenience
P12	SNe_relation	CONDITIONAL_DOWNSTREAM_ANCHOR	codomain compatibility only	residual or path law selected
P13	strong_local_CSN	OPEN_INACTIVE	none	used to quotient or select
P14	bootstrap	WORKING_ON_SHELL_ADMISSIBILITY	future compatibility only	local residual invented
P15	S2_carrier	POSIT	none	enters path audit
P16	action_source_boundary_Xmax_mass_matter_dynamics	OPEN_OR_PRIOR_CONDITIONAL	outputs not inputs	reconstruction or promotion

