implication_id	antecedent	consequent	status	extra_premise
I01	additive_depth	character_composition	DERIVED_IDENTITY	NONE
I02	endpoint_potential	zero_triangle_residual	DERIVED_IDENTITY	NONE
I03	path_integral	concatenation_additivity	DERIVED_IDENTITY	NONE
I04	path_integral	d_alpha_zero	NOT_DERIVED	LOCAL_ENDPOINT_INDEPENDENCE
I05	d_alpha_zero	all_loop_periods_zero	NOT_DERIVED_GLOBAL	GLOBAL_EXACTNESS_OR_TOPOLOGY
I06	all_loop_periods_zero	endpoint_depth_potential	DERIVED_UNDER_REGULAR_CONNECTED_SCOPE	PATH_CONNECTED_REGULAR_DOMAIN
I07	Levi_Civita_transport	path_composition	DEFINED_FUNCTORIAL	SUPPLIED_METRIC
I08	transport_plus_additive_depth	typed_full_composition	DERIVED_CONDITIONAL	MATCHED_PAIR_OBJECTS_OR_VERTICAL_RESET
I09	typed_full_composition	T_loop_identity	NOT_DERIVED	ENDPOINT_COLLAPSE_AND_TRIVIAL_LOOP_RETURN
I10	observer_Reciprocity	future_law_equivariance	DERIVED_SCOPED	TYPED_DOMAIN_CODOMAIN_ACTIONS
I11	observer_Reciprocity	unique_or_nontrivial_metric_law	NOT_DERIVED	LAW_GENERATING_PRINCIPLE
I12	universal_query_admissibility	universal_query_dynamics_selected	NOT_DERIVED	PHYSICAL_QUANTIFIER_SELECTION
