path	role	composition_claim	metric_depth_assignment	loop_requirement	ruling
UDT_NATIVE_ACTION_COLD_PACKET.md	FOUNDING_PACKET	intermediate_position_composition	NOT_SUPPLIED	NOT_SUPPLIED	ABSTRACT_COMPOSITION_ONLY
UDT_RECIPROCAL_C_FOUNDING_POSTULATE_DERIVATION_RESULTS.md	FOUNDING_DERIVATION	one_parameter_character	NOT_SUPPLIED	NOT_SUPPLIED	KINEMATIC_IDENTITY
CURRENT_SCIENTIFIC_PREMISES.md	CURRENT_PREMISE_CONTROL	founded_phi_identity	PHYSICAL_ASSIGNMENT_OPEN	OPEN	BLOCKS_PROMOTION
CURRENT_SCIENTIFIC_PREMISES.tsv	CURRENT_PREMISE_CONTROL	founded_phi_identity	PHYSICAL_ASSIGNMENT_OPEN	OPEN	BLOCKS_PROMOTION
udt_founding_reciprocity_object_audit_2026-07-27/AUDIT_REPORT.md	FOUNDING_ENTAILMENT	abstract_comparison_exact	OPEN	NOT_FOUNDED	NO_METRIC_RESIDUAL
udt_founding_reciprocity_object_audit_2026-07-27/EXACT_DERIVATION.md	FOUNDING_ENTAILMENT	abstract_comparison_exact	OPEN	NOT_FOUNDED	NO_METRIC_RESIDUAL
udt_founding_reciprocity_object_audit_2026-07-27/OBJECT_CLASSIFICATION.tsv	FOUNDING_ENTAILMENT	object_by_object_classification	OPEN	ENDPOINT_CLOSURE_NOT_DERIVED	NO_METRIC_RESIDUAL
udt_founding_observer_comparison_semantics_audit_2026-07-27/AUDIT_REPORT.md	SEMANTICS_AUTHORITY	abstract_not_path_homotopy	OPEN	ZERO_SOURCES_FORCE_ROUTE	SEMANTICS_OPEN
udt_founding_observer_comparison_semantics_audit_2026-07-27/SOURCE_CLAIM_OUTCOMES.tsv	SEMANTICS_AUTHORITY	36_claim_census	OPEN	ZERO_SOURCES_FORCE_ROUTE	SEMANTICS_OPEN
udt_founding_observer_comparison_semantics_audit_2026-07-27/IMPLICATION_MATRIX.tsv	SEMANTICS_AUTHORITY	endpoint_and_path_implications	OPEN	EXTRA_REQUIREMENTS_ABSENT	SEMANTICS_OPEN
udt_observer_pair_clock_operator_audit_2026-07-24/EXACT_DERIVATION.md	OPERATOR_TYPE	character_and_endpoint_identity	OPEN	PATH_INDEPENDENCE_OPEN	TYPE_DISTINCTION
udt_observer_pair_path_groupoid_assembly_audit_2026-07-26/AUDIT_REPORT.md	PATH_GROUPOID	typed_composition_all_lambda	OPEN_SMALLEST_JOIN	PERIODS_ALLOWED	CONDITIONAL_KINEMATICS
udt_observer_pair_path_groupoid_assembly_audit_2026-07-26/EXACT_DERIVATION.md	PATH_GROUPOID	typed_composition_all_lambda	OPEN_SMALLEST_JOIN	PERIODS_ALLOWED	CONDITIONAL_KINEMATICS
udt_observer_pair_path_groupoid_assembly_audit_2026-07-26/ROUTE_OUTCOMES.tsv	PATH_GROUPOID	twelve_route_classification	OPEN_SMALLEST_JOIN	PERIODS_VISIBLE	NONSELECTING
udt_observer_pair_path_groupoid_assembly_audit_2026-07-26/STATUS_LEDGER.tsv	PATH_GROUPOID	current_route_status	OPEN_SMALLEST_JOIN	ENDPOINT_COLLAPSE_EXTRA	NONSELECTING
udt_native_global_coframe_definition_audit_2026-07-28/EXACT_DERIVATION.md	GLOBAL_COFRAME	every_endpoint_f_composes	OPEN	NOT_SELECTED	COMPOSITION_NO_SELECTOR
udt_native_global_coframe_definition_audit_2026-07-28/MINIMAL_SELECTOR_SET.tsv	GLOBAL_COFRAME	missing_physical_comparison_base	OPEN	NOT_SELECTED	INDEPENDENT_GAP
