candidate_id	candidate	mathematical_home	metric_dependence	registered_question
C01	character_composition_identity	real_character	NONE_AFTER_DELTA	identity_or_residual
C02	endpoint_triangle_cocycle	pair_edge_data	NONE_UNLESS_DEPTH_MAP_SUPPLIED	data_consistency_or_metric_equation
C03	endpoint_coboundary_delta_f	object_potential	OPTIONAL_THROUGH_UNSELECTED_f_of_g	tautological_composition
C04	general_path_groupoid_1_cocycle	path_groupoid	NONE_UNLESS_COCYCLE_MAP_SUPPLIED	periods_allowed_or_forbidden
C05	one_form_path_integral	path_groupoid	OPTIONAL_IF_ALPHA_METRIC_DERIVED	additivity_versus_closedness
C06	local_flatness_d_alpha	spacetime_two_form	OPTIONAL	founded_or_endpoint_independence_extra
C07	global_zero_periods	loop_space	OPTIONAL	founded_or_endpoint_independence_extra
C08	Levi_Civita_transport_composition	frame_path_groupoid	YES_FROM_SUPPLIED_METRIC	kinematic_identity_or_field_equation
C09	full_semidirect_comparison	pair_frame_path_groupoid	YES_THROUGH_TRANSPORT_ONLY	composition_and_loop_return
C10	trivial_full_loop_comparison	loop_space	YES_IF_IMPOSED	founded_or_extra_holonomy_restriction
C11	observer_naturality_residual	future_law_bundle	DEPENDS_ON_FUTURE_LAW	gate_on_law_or_metric_equation
C12	universal_all_path_query_residual	metric_configuration_space	POSSIBLE_NOT_YET_SUPPLIED	selected_or_merely_admissible

