failure_id	mutation	mutation_target	result
F01	missing_source_or_hash_mismatch	SOURCE_MANIFEST.tsv row set	CAUGHT
F02	missing_or_duplicate_candidate	CANDIDATE_OUTCOMES.tsv identity map	CAUGHT
F03	character_identity_called_metric_equation	CANDIDATE_OUTCOMES.tsv C01.home	CAUGHT
F04	cocycle_condition_called_metric_residual_without_depth_map	CANDIDATE_OUTCOMES.tsv C02.metric_residual	CAUGHT
F05	endpoint_coboundary_called_selected_phi_profile	CANDIDATE_OUTCOMES.tsv C03.foundation_status	CAUGHT
F06	path_additivity_called_local_closedness	CONDITIONAL_IMPLICATION_LEDGER.tsv I04.status	CAUGHT
F07	local_closedness_called_global_zero_periods	CONDITIONAL_IMPLICATION_LEDGER.tsv I05.status	CAUGHT
F08	nonzero_real_period_hidden_as_identity	DERIVATION_RESULT.json nonclosed period	CAUGHT
F09	Levi_Civita_isometry_called_reciprocal_dilation	LOOP_OBJECT_SEPARATION.tsv L02.owner	CAUGHT
F10	Levi_Civita_holonomy_called_reciprocal_period	LOOP_OBJECT_SEPARATION.tsv L02.object	CAUGHT
F11	path_label_retention_called_endpoint_independence	CANDIDATE_OUTCOMES.tsv C04.outcome	CAUGHT
F12	trivial_loop_return_imposed_without_source	CANDIDATE_OUTCOMES.tsv C10.foundation_status	CAUGHT
F13	observer_naturality_called_unique_law	CANDIDATE_OUTCOMES.tsv C11.outcome	CAUGHT
F14	universal_quantifier_promoted_from_admissibility	CANDIDATE_OUTCOMES.tsv C12.foundation_status	CAUGHT
F15	conditional_SNe_anchor_selects_residual	SOURCE_PROVENANCE_RULINGS.tsv S11.ruling	CAUGHT
F16	strong_CSN_bootstrap_carrier_or_action_enters	PREMISE_LEDGER.tsv P13.use	CAUGHT
F17	one_control_metric_called_complete_solution_space	COMPLETENESS_MAP.md scope statement	CAUGHT
F18	zero_depth_only_test_makes_composition_vacuous	DERIVATION_RESULT.json check-name set	CAUGHT
F19	production_and_independent_checks_share_symbolic_engine	INDEPENDENT_RESULT.json dependency declaration	CAUGHT
F20	identity_result_spawns_unregistered_architecture_search	NEXT_STEP.md termination statement	CAUGHT
F21	frozen_evidence_or_startup_controls_mutated_before_verdict	SOURCE_MANIFEST.tsv source digest	CAUGHT
F22	unrelated_untracked_contents_read_or_metadata_changed	live unrelated-checkout metadata state	CAUGHT
