failure_id	forbidden_false_pass	guard
F01	missing_source_or_hash_mismatch	source_manifest_complete
F02	missing_or_duplicate_candidate	candidate_universe_exact
F03	character_identity_called_metric_equation	home_type_guard
F04	cocycle_condition_called_metric_residual_without_depth_map	metric_dependency_guard
F05	endpoint_coboundary_called_selected_phi_profile	selector_guard
F06	path_additivity_called_local_closedness	additivity_closedness_guard
F07	local_closedness_called_global_zero_periods	local_global_guard
F08	nonzero_real_period_hidden_as_identity	faithful_character_guard
F09	Levi_Civita_isometry_called_reciprocal_dilation	transport_type_guard
F10	Levi_Civita_holonomy_called_reciprocal_period	loop_object_guard
F11	path_label_retention_called_endpoint_independence	semantic_guard
F12	trivial_loop_return_imposed_without_source	loop_premise_guard
F13	observer_naturality_called_unique_law	naturality_nonselection_guard
F14	universal_quantifier_promoted_from_admissibility	quantifier_guard
F15	conditional_SNe_anchor_selects_residual	downstream_anchor_guard
F16	strong_CSN_bootstrap_carrier_or_action_enters	premise_exclusion_guard
F17	one_control_metric_called_complete_solution_space	bounded_scope_guard
F18	zero_depth_only_test_makes_composition_vacuous	nonzero_witness_guard
F19	production_and_independent_checks_share_symbolic_engine	independence_guard
F20	identity_result_spawns_unregistered_architecture_search	termination_guard
F21	frozen_evidence_or_startup_controls_mutated_before_verdict	preservation_guard
F22	unrelated_untracked_contents_read_or_metadata_changed	dirty_checkout_guard

