source_id	source_object	owned_content	metric_path_quantifier	depth_assignment	ruling
S01	cold_packet_intermediate_position	ABSTRACT_INTERMEDIATE_COMPOSITION	ABSENT	SUPPLIED_RELATIVE_DEPTH	NO_METRIC_RESIDUAL
S02	founding_exponential_derivation	ONE_PARAMETER_CHARACTER	ABSENT	ADDITIVE_COORDINATE	KINEMATIC_IDENTITY
S03	current_premise_registry	FOUNDED_PHI_IDENTITY	OPEN	PHYSICAL_ASSIGNMENT_OPEN	BLOCKS_PROMOTION
S04	founding_semantics_census	ABSTRACT_OPERATOR_PRECEDES_PATH	ZERO_SOURCES_FORCE_ENDPOINT_OR_PATH	OPEN	SEMANTICS_OPEN
S05	typed_path_groupoid	EXACT_COMPOSITION_FOR_ALL_LAMBDA	CONDITIONAL_PATH_LABEL	METRIC_NATIVE_COCYCLE_OPEN	NONSELECTING_GIVEN_INPUT
S06	global_coframe_definition	ALL_ENDPOINT_FUNCTIONS_COMPOSE	NONE	ARBITRARY_f	COMPOSITION_DOES_NOT_SELECT_DEPTH
S07	whole_configuration_Reciprocity	NATURALITY_AND_RELATIVE_RECONSTRUCTION	FUTURE_TYPED	REALIZATION_NOT_DERIVED	LAW_GATE_NOT_GENERATOR
S08	intrinsic_holonomy_control	PATH_LIFT_GIVEN_PATH_AND_CONNECTION	CONDITIONAL	NOT_SUPPLIED	ENDPOINT_CLOSURE_NOT_FOUNDED
S09	native_law_type_audit	TYPED_QUERY_HOME	OPEN	OPEN	NO_COMPLETE_LAW_SELECTED
S10	basic_vs_universal_audit	UNIVERSAL_ARCHITECTURE_ADMISSIBLE	NOT_SELECTED	OPEN	NO_NONTRIVIAL_RESIDUAL
S11	SNe_anchor	DOWNSTREAM_READOUT_COMPATIBILITY	NONE	CONDITIONAL_READOUT	NO_UPSTREAM_SELECTION
