status_id	object	status	scope_or_open
S01	founded_reciprocal_character	DERIVED_EXACT	given_real_additive_depth_and_current_founding_stamps
S02	character_composition	DERIVED_KINEMATIC_IDENTITY	contains_no_metric_path_or_loop_variable
S03	free_edge_depth_triangle_system	DERIVED_RANK_THREE_QUERY_DATA_CONSTRAINT	not_a_metric_residual_without_depth_map
S04	endpoint_potential_composition	DERIVED_IDENTITY_FOR_EVERY_PHI	zero_profile_Jacobian_and_no_profile_selection
S05	metric_profile_selection_from_composition	NOT_DERIVED	distinct_curvature_profiles_all_pass
S06	path_integral_additivity	DERIVED_BY_CONCATENATION	closed_and_nonclosed_forms_both_pass
S07	local_depth_flatness	CONDITIONAL_EXTRA_PREMISE	requires_local_endpoint_independence_and_supplied_alpha
S08	global_zero_depth_periods	CONDITIONAL_EXTRA_PREMISE	requires_global_endpoint_independence_topology_and_supplied_alpha
S09	Levi_Civita_transport_composition	DEFINED_FROM_SUPPLIED_METRIC	functorial_for_every_metric_not_an_EOM
S10	full_typed_semidirect_composition	DERIVED_CONDITIONAL_KINEMATICS	requires_supplied_metric_path_pair_and_additive_depth
S11	trivial_full_loop_return	NOT_FOUNDED_EXTRA	would_be_nontrivial_only_if_imposed
S12	observer_Reciprocity	DERIVED_LAW_NATURALITY_GATE	does_not_generate_unique_or_nontrivial_law
S13	universal_all_queries	ADMISSIBLE_NOT_SELECTED	no_actual_residual_supplied
S14	metric_native_signed_depth	OPEN	physical_observer_path_assignment_missing
S15	composition_to_native_residual_route	TERMINATED_CURRENTLY	reopen_only_with_new_source_backed_depth_or_loop_premise
S16	SNe	CONDITIONAL_DOWNSTREAM_COMPATIBILITY_ANCHOR	no_upstream_selection
S17	action_source_carrier_boundary_bootstrap_Xmax_mass_matter_dynamics	OPEN_OR_PRIOR_CONDITIONAL	unchanged
S18	overall_audit	VERIFIED_WITH_CAVEATS_BOUNDED_COMPOSITION_NONSELECTION	bounded_32_source_12_candidate_scope
