sample_id	geometry	parameter_1	parameter_2	paths	geodesics	status
R17_M1_N	R17_GLOBAL	lambda=-1	epsilon=-0.12	HOPF_FIBER;LOCAL_RECTANGLE	TIMELIKE;SPACELIKE	PREREGISTERED
R17_M1_Z	R17_GLOBAL	lambda=-1	epsilon=0	HOPF_FIBER;LOCAL_RECTANGLE	TIMELIKE;SPACELIKE	PREREGISTERED
R17_M1_P	R17_GLOBAL	lambda=-1	epsilon=+0.12	HOPF_FIBER;LOCAL_RECTANGLE	TIMELIKE;SPACELIKE	PREREGISTERED
R17_0_N	R17_GLOBAL	lambda=0	epsilon=-0.12	HOPF_FIBER;LOCAL_RECTANGLE	TIMELIKE;SPACELIKE	PREREGISTERED
R17_0_Z	R17_GLOBAL	lambda=0	epsilon=0	HOPF_FIBER;LOCAL_RECTANGLE	TIMELIKE;SPACELIKE	PREREGISTERED
R17_0_P	R17_GLOBAL	lambda=0	epsilon=+0.12	HOPF_FIBER;LOCAL_RECTANGLE	TIMELIKE;SPACELIKE	PREREGISTERED
R17_P1_N	R17_GLOBAL	lambda=1	epsilon=-0.12	HOPF_FIBER;LOCAL_RECTANGLE	TIMELIKE;SPACELIKE	PREREGISTERED
R17_P1_Z	R17_GLOBAL	lambda=1	epsilon=0	HOPF_FIBER;LOCAL_RECTANGLE	TIMELIKE;SPACELIKE	PREREGISTERED
R17_P1_P	R17_GLOBAL	lambda=1	epsilon=+0.12	HOPF_FIBER;LOCAL_RECTANGLE	TIMELIKE;SPACELIKE	PREREGISTERED
TL_N2	TIMELIVE_LOCAL	epsilon=-0.15	all_channels_live	TX_RECTANGLE;YZ_RECTANGLE	TIMELIKE;SPACELIKE	PREREGISTERED
TL_N1	TIMELIVE_LOCAL	epsilon=-0.075	all_channels_live	TX_RECTANGLE;YZ_RECTANGLE	TIMELIKE;SPACELIKE	PREREGISTERED
TL_Z	TIMELIVE_LOCAL	epsilon=0	all_channels_live	TX_RECTANGLE;YZ_RECTANGLE	TIMELIKE;SPACELIKE	PREREGISTERED
TL_P1	TIMELIVE_LOCAL	epsilon=+0.075	all_channels_live	TX_RECTANGLE;YZ_RECTANGLE	TIMELIKE;SPACELIKE	PREREGISTERED
TL_P2	TIMELIVE_LOCAL	epsilon=+0.15	all_channels_live	TX_RECTANGLE;YZ_RECTANGLE	TIMELIKE;SPACELIKE	PREREGISTERED
