sample_id	path	solver_steps	lc_holonomy_norm	lc_metric_defect	normal_connection_angle	holonomy_matrix	classification
R17_M1_N	HOPF_FIBER	102	1.0467440749581089	1.8895534841794303e-15	6.8498463203834845	1.0113344472625974;-0.039426276115976149;-0.071337190664508304;0.02025853928296328;-0.18141917787267126;0.82713123595961635;0.29638815784199812;-0.3386589813859493;-0.13209956195421249;-0.62709402227353561;0.6934490073904761;-0.26532538868168759;0.03528858724656752;0.38165515270299855;0.30871095915859115;1.0766929240537837	NONIDENTITY
R17_M1_N	LOCAL_RECTANGLE	404	0.0121467739682177	1.2620604546918953e-15	-0.0056550695754192283	0.99997381638913885;-0.00012561481265460154;5.6268736304819379e-05;4.7568668961236831e-05;0.0032457884717255366;0.99997085951676334;0.0012057159888883659;-0.0068994465137081967;-9.3018895974339652e-05;-0.0057283187680935901;1.0002347008198089;0.00052518265619751073;0.0001813682089661797;0.0073869213507676799;-0.00034768942201875884;0.99976221882722494	NONIDENTITY
R17_M1_Z	HOPF_FIBER	102	1.1027551252919454	1.5183968506839359e-15	6.85705813669479	1.0139482015310879;-0.035279203238021951;-0.080578174865366739;0.02531408411330378;-0.19106995076335612;0.82405337047195382;0.28723908074666804;-0.35793583373073645;-0.16380693578371991;-0.63442009048934001;0.65281916951611796;-0.3266233271168566;0.044294326035754672;0.37527783713714713;0.34816885355028926;1.094079064516118	NONIDENTITY
R17_M1_Z	LOCAL_RECTANGLE	404	0.012575473887010654	8.2319550551713951e-16	-0.0052773801581281745	0.99997907628905058;-9.8168047121547508e-05;0.00012127483815035072;3.8482718381333351e-05;0.0032740024174288344;0.99996906442340483;0.0016567978990980753;-0.0068010904611709626;-5.951821983320067e-05;-0.0062456323836710109;1.0005469779721543;0.0011934271442216476;0.00013938493845362123;0.0075283547083845985;-0.00080930324249798343;0.99944234726275927	NONIDENTITY
R17_M1_P	HOPF_FIBER	102	1.1633046577225898	1.8250617301075038e-15	6.8609994005877688	1.017200608279023;-0.032513645261143011;-0.089435687485879517;0.031695413054588707;-0.20349201093203559;0.82169047211699275;0.27251003571026389;-0.38306875668992357;-0.19461507532015709;-0.63961399147504727;0.61239486361960349;-0.38711135739808961;0.05147419155860708;0.37114454227469695;0.38670833963416629;1.1081641116640617	NONIDENTITY
R17_M1_P	LOCAL_RECTANGLE	404	0.013102602136458631	1.3047712810140847e-15	-0.004896792158645062	0.99998431222710404;-7.1091872441994951e-05;0.00018622919366148471;2.9285706906186892e-05;0.0033015958653635118;0.99996702207333443;0.0021125719259251917;-0.0067013542133505773;-2.5924133684926137e-05;-0.0067682176265946616;1.0008649528978777;0.0018747123434388121;9.7478270763953106e-05;0.0076733216260270933;-0.0012735346793942926;0.99911613166898949	NONIDENTITY
R17_0_N	HOPF_FIBER	102	1.3909734213973066	1.0198830151762733e-15	7.1474541788314268	1.0122701136631596;-0.052168026913970079;-0.08187418284058097;0.021808094980748857;-0.19492097491814264;0.62298906761277928;0.47494371487115877;-0.36659852739038551;-0.047961488448041767;-0.87680361304556342;0.58087691475620284;-0.1044778464947799;-0.0064396166724646955;0.52759386041691458;0.38547471450670978;0.9974669476961221	NONIDENTITY
R17_0_N	LOCAL_RECTANGLE	404	0.0094193055968349107	7.0194268026338965e-16	-0.012713659438746434	0.99994687913836;-0.00014540217103121094;4.9236280446131962e-05;9.6445752264682827e-05;0.0021806414277238187;0.99998139926985452;-0.0058762184114234074;-0.0048808233149351546;0.00020393125897575688;0.0045955447936766747;0.99982984769791916;-0.00034349394045915874;0.00017335680106264872;0.0020241704539270462;0.00032086786206407281;1.0002046256263639	NONIDENTITY
R17_0_Z	HOPF_FIBER	102	1.4199052831707921	9.4806949655473375e-16	7.1490326873216006	1.014874115932241;-0.043329663219471889;-0.094343378442878961;0.0268390586229654;-0.20704437705682513;0.62483287397343823;0.45669650145352408;-0.390437920305512;-0.081832534332300588;-0.87845136658330769;0.54273099900403676;-0.16879897500704744;0.0036202520935611571;0.50785169704874811;0.43084181696665663;1.0163576101113847	NONIDENTITY
R17_0_Z	LOCAL_RECTANGLE	404	0.0092201821679521179	7.2887511057232787e-16	-0.012594014515259537	0.99996736391257091;-0.0001271466296583725;9.2468134366634135e-05;5.9948100797207497e-05;0.0022034472696339548;0.99998221794605802;-0.0057181176477313555;-0.0048565908887057757;0.0003089550263664486;0.0044082194491532204;0.99997181704108606;-4.3777615156765151e-05;2.1520072302777295e-05;0.0020748945241769734;7.3996181744757293e-05;1.0000430653109948	NONIDENTITY
R17_0_P	HOPF_FIBER	102	1.4562636840747294	5.9537769434349886e-16	7.1499635923344433	1.0182476830221721;-0.035286742319083159;-0.10632353097751376;0.033436897802072089;-0.22028159691706362;0.62635988524163677;0.43620286452494761;-0.41703552063772764;-0.11451277117537399;-0.87950506632676528;0.50328100932960029;-0.23169153728776964;0.011421228190931974;0.48978790094449581;0.47574885963076435;1.0311113141184212	NONIDENTITY
R17_0_P	LOCAL_RECTANGLE	404	0.0090488412301828799	1.8363493255416107e-15	-0.012473823357353928	0.99998748149781025;-0.00010890964454968966;0.00013564596466829272;2.3329076871915829e-05;0.0022259775090003389;0.99998301159862346;-0.005559280147584702;-0.0048320906614588051;0.00041281230378516833;0.0042201020320862294;1.0001149780526728;0.00025861523105051202;-0.00012789580228451518;0.0021260681738603671;-0.00017332731774679516;0.99988057391089502	NONIDENTITY
R17_P1_N	HOPF_FIBER	102	1.6008068756258615	1.5161774356362508e-15	7.312883521244899	1.0137546522303122;-0.077627339695227227;-0.090251499934705048;0.024354329296032755;-0.1871010585191219;0.47759259096306922;0.56452252739884123;-0.35275433183351446;0.017450529707525041;-0.98000068815770913;0.5128706398946643;0.021386205014569133;-0.040588527526151427;0.63367699762888297;0.43632380432053242;0.93246703531178776	NONIDENTITY
R17_P1_N	LOCAL_RECTANGLE	404	0.018523485971575108	5.3575912746860502e-16	-0.018277968155976976	0.99991951578843563;-0.00018036003441902979;2.1569151979716033e-05;0.00014613334125617033;0.0014914682282621652;0.9999244900880313;-0.012010234422705031;-0.0036068086806663856;0.00033512338562837959;0.013251222737677091;0.99949553423888982;-0.00092463207621621519;0.00024696082486466318;-0.0023303766241049226;0.0010032690359538597;1.0005088127472528	NONIDENTITY
R17_P1_Z	HOPF_FIBER	102	1.6149328198961781	1.076666415111076e-15	7.3113477812366909	1.0162343428414287;-0.064091531229068993;-0.10751442677349901;0.029151713503949944;-0.20234480215934517;0.48373202667402815;0.53944569410115351;-0.38232447588756419;-0.018347031351128494;-0.98156874728754639;0.47770049447999291;-0.045795694022807004;-0.029328531450574891;0.6031612986804632;0.49093911754986685;0.953255066923829	NONIDENTITY
R17_P1_Z	LOCAL_RECTANGLE	404	0.018620123627761789	4.5698480115551567e-16	-0.018331409006286197	0.99995546895650078;-0.00017575487796336317;3.8238443060846795e-05;8.1786287262376557e-05;0.0015139556876438622;0.99992363847969812;-0.012083287004637327;-0.003657639916596918;0.00047591333850354009;0.013314415636797973;0.99951257839806418;-0.00088713868966767018;9.0612869531992763e-07;-0.0023049916735158622;0.00097015258684908653;1.0004549690530948	NONIDENTITY
R17_P1_P	HOPF_FIBER	102	1.6376701745560045	1.5757410574534139e-15	7.3102093385754641	1.0196469332015545;-0.050660977807348136;-0.12390610498987648;0.035814294244846744;-0.21713585144088537;0.48929854141641099;0.5138994299595665;-0.41171216611302247;-0.053199399122649968;-0.98230098346983197;0.43950499480793315;-0.11200216578422389;-0.020580894862379739;0.57268918057473628;0.54501155626059294;0.969445353670353	NONIDENTITY
R17_P1_P	LOCAL_RECTANGLE	404	0.018718100336711264	9.7469289655442649e-16	-0.018385204833142984	0.99999075694273976;-0.0001706221749272403;5.4572324013936699e-05;1.7229132630693053e-05;0.0015361442555560248;0.99992281352261214;-0.012153594831441697;-0.0037065064115277373;0.00061343231688327571;0.013375272847069629;0.99952900144053358;-0.00085101964845409137;-0.00024018452673514511;-0.0022805289015613208;0.00093822707502673897;1.0004024749596592	NONIDENTITY
TL_N2	TX_RECTANGLE	404	0.0042014367354160156	2.223550753197336e-15	NA	0.99993337066428123;0.0034133430395949867;7.3684532374113131e-05;0.00032637618091433703;0.0023146287705453155;1.0000678785634263;3.696967167931934e-05;-0.00017384032266916697;6.0158271091619241e-05;-0.00021989445323897106;0.99999575573539801;0.00033505059813521935;0.00025985308924838331;0.00034344048047472639;-0.00037580253067438665;1.0000107957146349	NONIDENTITY
TL_N2	YZ_RECTANGLE	404	0.0015800853721955319	5.02794426156877e-15	NA	1.000055973852864;-0.0003777485485080522;0.00075038442412959862;-0.00028589656668958306;-0.00027924354064525695;0.99999178398047217;-0.00016174266576122903;0.00049801997087827398;0.00056987283686907753;0.00022254871845264773;0.99995969425733278;0.00050200608784560659;-0.00025678849712713414;-0.00064335514852921884;-0.00049596448278219085;0.99999255149537325	NONIDENTITY
TL_N1	TX_RECTANGLE	404	0.0045346186212748942	1.1966872048824649e-15	NA	0.99992965602803896;0.0036921029026579259;9.7885178879254036e-05;0.0002864996616732391;0.0024517245854966444;1.0000752142718532;6.4028366143286267e-05;-0.00034164305233028532;7.661160082889803e-05;-0.0002656095381637966;0.99999517740364563;0.00033561976860700698;0.00021617501736025991;0.00056813086572597986;-0.0003720721841993399;1.0000087430824798	NONIDENTITY
TL_N1	YZ_RECTANGLE	404	0.001571669106796245	3.1360072229684828e-15	NA	1.0000588369195389;-0.00037826310231481287;0.0007558074472937455;-0.00035663668086491839;-0.00027217908169355215;0.99999193022851429;-0.0001199359418241557;0.00050043489175470948;0.00057051122153576304;0.00017776120948311287;0.99996073131066354;0.00045626178756252378;-0.00030956813304558147;-0.00065495905295711546;-0.00044098229297607279;0.99998859840811449	NONIDENTITY
TL_Z	TX_RECTANGLE	404	0.0048941005401774229	4.5750557116263312e-15	NA	0.99992561171121941;0.0039834998888058255;0.00012171732749606893;0.00024760633120341825;0.0025898304009540764;1.0000825696391864;9.0665175223933047e-05;-0.00050917247570562377;9.2253208175985442e-05;-0.00031286746968753288;0.99999456059947034;0.0003365141787074675;0.00017377551779595613;0.00079693695207544196;-0.00036844330766843856;1.0000070769308018	NONIDENTITY
TL_Z	YZ_RECTANGLE	404	0.0015749699574292906	2.6205102632029035e-15	NA	1.000061836930501;-0.00037903414604318302;0.00076134430362147774;-0.00042941723414422752;-0.00026533433235537786;0.99999217797559958;-7.8683203448279903e-05;0.00050301311800481823;0.0005714817067529128;0.00013234250231978435;0.99996149288363967;0.00041037687599823175;-0.00036237575812087067;-0.00066674960734797021;-0.00038628344959549583;0.99998468196802104	NONIDENTITY
TL_P1	TX_RECTANGLE	404	0.0052775236194570283	4.6287669651993698e-15	NA	0.99992123753970463;0.0042879726898583529;0.00014518002798167242;0.00020968571096806096;0.0027289185896618769;1.0000899494984909;0.00011688618788987696;-0.00067643330778038445;0.0001070839298590108;-0.00036170581146144961;0.99999390673152799;0.0003377513051375004;0.00013260204994341448;0.0010299423802083349;-0.00036493229752474404;1.0000057960092343	NONIDENTITY
