test_id	test	failure_trigger	required_landing_effect
F01	source ownership sufficiency	constructing a witness requires an uncited metric/query/path premise	classify witness NOT_OWNED or land INSUFFICIENT_OWNED_SOLVED_GEOMETRY_DATA
F02	matched type check	endpoint and path homes cannot be placed on the same declared metric/query state	land TYPE_FAILURE_IN_MATCHED_COMPARISON for that class
F03	sector liveness	any advertised complete witness silently freezes beta Q S phi kappa time or path	withdraw complete label and scope as a slice
F04	production residual	geodesic Jacobi transport or constraint residual exceeds preregistered numeric tolerance	classify NUMERIC_UNRESOLVED not geometric failure
F05	independent method	a second implementation does not reproduce survivor class and load-bearing invariants	no banked verdict
F06	perturbation symmetry	positive and negative perturbations or coupled directions are omitted	no persistence claim
F07	coordinate gauge	classification changes under an allowed presentation transform	classify PRESENTATION_DEPENDENT
F08	endpoint descent	claimed endpoint home has nonidentity direct/composite defect on a genuine common atlas	refute that witness construction
F09	path holonomy	claimed path family silently forces nontrivial owned holonomy to identity	refute solver coverage
F10	regularity	failure strata are discarded rather than recorded	invalidate atlas completeness
F11	causal scope	local cone preservation is promoted to global causal faithfulness	mandatory correction
F12	stability language	perturbation persistence is called dynamical or physical stability	mandatory correction
F13	selection inference	one sampled family survives and is called the physical UDT relation	mandatory correction
F14	cE semantics	cE is used to choose a path profile or set all endpoint ratios to one	mandatory correction
F15	xmax semantics	Xmax is imposed as a wall boundary or fitted target	mandatory correction
F16	bootstrap leakage	density curvature or background tuning is introduced	stop and remove it
F17	protected scope	protected atlas or stopped draft enters sources or computation	invalidate package
F18	full-space wording	bounded witness atlas is called exhaustive metric solution space	mandatory correction
