sample_id	object	kind	endpoint_diff	holonomy_diff	normal_angle_diff	independent_class	production_class	pass
R17_M1_N	TIMELIKE	GEODESIC	2.2024896676957404e-12	NA	NA	REGULAR_PROPAGATOR	REGULAR_PROPAGATOR	TRUE
R17_M1_N	SPACELIKE	GEODESIC	1.0178915384461286e-11	NA	NA	REGULAR_PROPAGATOR	REGULAR_PROPAGATOR	TRUE
R17_M1_N	HOPF_FIBER	PATH	NA	6.6328558039711519e-10	6.0396132539608516e-14	NONIDENTITY	NONIDENTITY	TRUE
R17_M1_N	LOCAL_RECTANGLE	PATH	NA	7.4262164883568454e-12	1.8995915951336428e-13	NONIDENTITY	NONIDENTITY	TRUE
R17_M1_Z	TIMELIKE	GEODESIC	2.1199496435561809e-12	NA	NA	REGULAR_PROPAGATOR	REGULAR_PROPAGATOR	TRUE
R17_M1_Z	SPACELIKE	GEODESIC	1.0452028766198584e-11	NA	NA	REGULAR_PROPAGATOR	REGULAR_PROPAGATOR	TRUE
R17_M1_Z	HOPF_FIBER	PATH	NA	6.5832699688881781e-10	7.1942451995710144e-14	NONIDENTITY	NONIDENTITY	TRUE
R17_M1_Z	LOCAL_RECTANGLE	PATH	NA	7.7558821260767883e-12	2.0004917861138338e-13	NONIDENTITY	NONIDENTITY	TRUE
R17_M1_P	TIMELIKE	GEODESIC	2.0512286789242781e-12	NA	NA	REGULAR_PROPAGATOR	REGULAR_PROPAGATOR	TRUE
R17_M1_P	SPACELIKE	GEODESIC	1.0777702837323036e-11	NA	NA	REGULAR_PROPAGATOR	REGULAR_PROPAGATOR	TRUE
R17_M1_P	HOPF_FIBER	PATH	NA	6.5231841486746586e-10	8.4376949871511897e-14	NONIDENTITY	NONIDENTITY	TRUE
R17_M1_P	LOCAL_RECTANGLE	PATH	NA	8.0998453957449662e-12	2.1001256289565617e-13	NONIDENTITY	NONIDENTITY	TRUE
