premise_id	premise	status	use	forbidden_promotion
P01	complete Lorentzian metric is the geometric arena	DERIVED_ARENA	construct metric-owned comparison equations	metric alone called an on-shell law
P02	founded reciprocal character on supplied ordered depth	DERIVED	evaluate matched reciprocal channels	bare endpoints called a selected physical depth
P03	terminal cE pair readout on supplied calibrated regular pair metric	DERIVED_CONDITIONAL	report dimensionless T over L	cE called a path selector or every endpoint set to cE
P04	endpoint-atlas transition home	DERIVED_PRESENTATION_HOME	construct direct descended controls	presentation transition called physical nonisometric arrow
P05	path-labelled transport and holonomy home	DERIVED_CONDITIONAL	integrate supplied metric-owned connections/paths	path called physically selected
P06	physical calibrated relation-family owner	OPEN	primary unresolved comparison type	silently supplied by solver
P07	native metric-history/evolution law	OPEN	no physical time evolution claim	off-shell time-live histories called dynamics
P08	bootstrap background selector	WORKING_INACTIVE	not used	background tuned to rescue or select a family
P09	cE observational scale anchor	PINNED_BY_THEORY_AND_OBSERVATION	calibrate time/ruler units; ratios dimensionless	metric called fundamentally scale free or cE used as dynamics
P10	Xmax observer-pair asymptote	WORKING_GATE_ONLY	report compatibility only after a solved relation exists	wall boundary or numeric target imposed
P11	R17 and other source-owned branches	CONDITIONAL_WITNESS_FAMILIES	construct only what cited sources own	one branch promoted universally
P12	regularity and perturbation persistence	GEOMETRIC_DIAGNOSTIC	characterize survivors	called physical or dynamical stability
