sample_id	geometry	lambda	epsilon	completion_scope	endpoint_atlas_defect	pair_regular_p	pair_regular_q	pair_min_abs_invariant	phi_pair_delta	field_phi_delta	r17_phi_identity_defect	endpoint_family
R17_M1_N	R17_GLOBAL	-1	-0.12	GLOBAL_RxS3_SOURCE_OWNED	3.8551811528957821e-16	TRUE	TRUE	0.83797554581165379	-0.00072956098246501622	-0.00072956098246512724	1.1102230246251565e-16	REGULAR
R17_M1_Z	R17_GLOBAL	-1	0	GLOBAL_RxS3_SOURCE_OWNED	3.8159445229445528e-16	TRUE	TRUE	0.83340072861210823	-0.00036977325373085956	-0.00036977325373083181	2.7755575615628914e-17	REGULAR
R17_M1_P	R17_GLOBAL	-1	0.12	GLOBAL_RxS3_SOURCE_OWNED	6.4024103861132731e-17	TRUE	TRUE	0.82885148711290402	-9.9855249967029103e-06	-9.9855249965363768e-06	1.6653345369377348e-16	REGULAR
R17_0_N	R17_GLOBAL	0	-0.12	GLOBAL_RxS3_SOURCE_OWNED	3.7235647417006113e-16	TRUE	TRUE	0.83797554581165379	-0.00072956098246501622	-0.00072956098246512724	1.1102230246251565e-16	REGULAR
R17_0_Z	R17_GLOBAL	0	0	GLOBAL_RxS3_SOURCE_OWNED	3.7125382886511164e-16	TRUE	TRUE	0.83340072861210823	-0.00036977325373085956	-0.00036977325373083181	2.7755575615628914e-17	REGULAR
R17_0_P	R17_GLOBAL	0	0.12	GLOBAL_RxS3_SOURCE_OWNED	2.7574773059880292e-16	TRUE	TRUE	0.82885148711290402	-9.9855249967029103e-06	-9.9855249965363768e-06	1.6653345369377348e-16	REGULAR
R17_P1_N	R17_GLOBAL	1	-0.12	GLOBAL_RxS3_SOURCE_OWNED	3.7894667722915332e-16	TRUE	TRUE	0.83797554581165379	-0.00072956098246501622	-0.00072956098246512724	1.1102230246251565e-16	REGULAR
R17_P1_Z	R17_GLOBAL	1	0	GLOBAL_RxS3_SOURCE_OWNED	6.718286562879488e-16	TRUE	TRUE	0.83340072861210823	-0.00036977325373085956	-0.00036977325373083181	2.7755575615628914e-17	REGULAR
R17_P1_P	R17_GLOBAL	1	0.12	GLOBAL_RxS3_SOURCE_OWNED	2.138823648239561e-16	TRUE	TRUE	0.82885148711290402	-9.9855249967029103e-06	-9.9855249965363768e-06	1.6653345369377348e-16	REGULAR
TL_N2	TIMELIVE_LOCAL	0	-0.15	LOCAL_OFFSHELL_ONLY	3.1410861968523256e-16	TRUE	TRUE	0.85816366921216358	-1.4558361099425987e-05	NA	NA	REGULAR
TL_N1	TIMELIVE_LOCAL	0	-0.075	LOCAL_OFFSHELL_ONLY	1.1147222408741263e-16	TRUE	TRUE	0.84861362116489492	-3.8193251809121032e-05	NA	NA	REGULAR
TL_Z	TIMELIVE_LOCAL	0	0	LOCAL_OFFSHELL_ONLY	2.4850822008957387e-16	TRUE	TRUE	0.83916893469033116	-6.1933555571117016e-05	NA	NA	REGULAR
TL_P1	TIMELIVE_LOCAL	0	0.075	LOCAL_OFFSHELL_ONLY	2.4832802862812217e-16	TRUE	TRUE	0.82982838286100946	-8.5777549483481708e-05	NA	NA	REGULAR
TL_P2	TIMELIVE_LOCAL	0	0.15	LOCAL_OFFSHELL_ONLY	1.1813824286535253e-17	TRUE	TRUE	0.82059075426194916	-0.0001097235305370925	NA	NA	REGULAR
